#HM(0) Cen_All(1) Err+(2) Err-(3) Sat_All(4) Err+(5) Err-(6) SF_All(7) Err+(8) Err-(9) Q_All(10) Err+(11) Err-(12) Cen_Sat(13) Err+(14) Err-(15) SF_Q(16) Err+(17) Err-(18) 
9.100000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
9.300000 0.000000 0.000000 0.000000 0.000001 0.000001 0.000001 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -0.000001 0.000001 0.000001 0.000000 0.000000 0.000000
9.500000 -0.000008 0.000006 0.000002 0.000040 0.000015 0.000031 -0.000003 0.000003 0.000000 1.010346 -0.034015 0.444457 -0.000047 0.000037 0.000016 -1.010349 0.444458 -0.034018
9.700000 -0.000130 0.000062 0.000058 0.001207 0.020502 0.000660 -0.000003 -0.000000 0.000012 1.088948 0.029568 0.254986 -0.001337 0.000721 0.020560 -1.088950 0.254975 0.029573
9.900000 -0.019468 0.006924 0.006075 0.181477 0.010036 0.065326 -0.000179 0.000056 0.000261 1.095461 0.049958 0.166558 -0.200945 0.074135 0.014420 -1.095639 0.166380 0.050002
10.100000 -0.024358 0.001053 0.007923 0.140415 0.037522 0.009833 -0.000061 0.000022 0.000180 0.580921 0.310884 0.152861 -0.164773 0.010739 0.046031 -0.580982 0.152623 0.310877
10.300000 -0.025627 0.000498 0.009858 0.124102 0.035223 0.007006 -0.000089 0.000043 0.000168 0.452756 0.516814 0.063308 -0.149729 0.007559 0.045364 -0.452845 0.063257 0.516798
10.500000 -0.032495 -0.000752 0.019231 0.139092 0.058239 0.001557 -0.000335 0.000147 0.000513 0.418790 0.325260 0.029827 -0.171587 0.000000 0.076653 -0.419125 0.029171 0.325071
10.700000 -0.051080 -0.001342 0.029707 0.181207 0.039341 0.009051 -0.000885 0.000310 0.001024 0.353354 0.183630 0.038103 -0.232287 0.006078 0.066848 -0.354239 0.036865 0.183830
10.900000 -0.056090 0.000000 0.022747 0.170526 0.014371 0.015163 -0.001634 0.000422 0.001374 0.240200 0.171387 0.029236 -0.226616 0.012751 0.037387 -0.241834 0.027991 0.171216
11.100000 -0.052862 -0.000937 0.019530 0.173274 0.012703 0.011610 -0.002827 0.000349 0.002105 0.180587 0.128756 0.022045 -0.226136 0.008460 0.030910 -0.183414 0.020745 0.130150
11.300000 -0.050963 0.000000 0.015501 0.173336 0.012002 0.013642 -0.003193 0.000155 0.003042 0.096760 0.102263 0.018508 -0.224298 0.010535 0.027361 -0.099953 0.018193 0.105536
11.500000 -0.047740 0.002352 0.010432 0.166575 0.010009 0.022053 -0.001534 0.000277 0.005117 0.022666 0.084651 0.005389 -0.214315 0.023806 0.019308 -0.024200 0.005577 0.089902
11.700000 -0.036452 0.003147 0.010204 0.126936 0.015245 0.021370 0.006656 0.000866 0.007694 -0.044541 0.052488 -0.000063 -0.163388 0.024823 0.025671 0.051198 0.000838 0.060172
