#HM(0) Cen_All(1) Err+(2) Err-(3) Sat_All(4) Err+(5) Err-(6) SF_All(7) Err+(8) Err-(9) Q_All(10) Err+(11) Err-(12) Cen_Sat(13) Err+(14) Err-(15) SF_Q(16) Err+(17) Err-(18) 
9.100000 -0.001226 0.000532 0.000083 0.129777 0.018344 0.038616 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -0.131003 0.039144 0.018406 0.000000 0.000000 0.000000
9.300000 -0.001146 0.000143 0.000156 0.140407 0.018521 0.016719 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -0.141553 0.016890 0.018667 0.000000 0.000000 0.000000
9.500000 -0.002592 0.000210 0.000275 0.181377 0.014270 0.021853 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -0.183969 0.022083 0.014584 0.000000 0.000000 0.000000
9.700000 -0.002600 0.000636 0.000144 0.108117 0.012182 0.025656 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -0.110717 0.026158 0.012360 0.000000 0.000000 0.000000
9.900000 -0.003785 0.001590 0.000200 0.095158 0.009521 0.039711 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -0.098943 0.041486 0.009693 0.000000 0.000000 0.000000
10.100000 -0.004303 0.001859 0.000612 0.081393 0.007122 0.040847 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -0.085697 0.042717 0.007779 0.000000 0.000000 0.000000
10.300000 -0.004318 0.002066 0.000473 0.080044 0.005907 0.041419 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -0.084362 0.043465 0.006729 0.000000 0.000000 0.000000
10.500000 -0.001335 0.002062 -0.000312 0.015583 0.001325 0.023963 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -0.016917 0.026071 0.000621 0.000000 0.000000 0.000000
10.700000 0.000419 0.000620 0.000252 0.005151 0.002858 0.013991 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -0.004731 0.014575 0.003025 0.000000 0.000000 0.000000
10.900000 0.002996 0.000478 0.001567 -0.018090 0.001989 0.013948 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.021086 0.014153 0.002722 0.000000 0.000000 0.000000
11.100000 -0.002688 0.003065 0.000005 0.030467 0.043615 -0.006701 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -0.033154 -0.005343 0.041441 0.000000 0.000000 0.000000
11.300000 -0.005112 0.002266 0.005259 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
11.500000 0.000816 0.000646 0.009588 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
11.700000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
11.900000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
12.100000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
12.300000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
