#HM(0) Cen_All(1) Err+(2) Err-(3) Sat_All(4) Err+(5) Err-(6) SF_All(7) Err+(8) Err-(9) Q_All(10) Err+(11) Err-(12) Cen_Sat(13) Err+(14) Err-(15) SF_Q(16) Err+(17) Err-(18) 
9.100000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
9.300000 0.000000 0.000000 0.000000 0.000002 0.000004 0.000001 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -0.000002 0.000001 0.000004 0.000000 0.000000 0.000000
9.500000 -0.000012 0.000007 0.000009 0.000109 0.000081 0.000061 -0.000000 0.000000 0.000000 0.993297 0.106627 0.204454 -0.000121 0.000067 0.000090 -0.993297 0.204453 0.106628
9.700000 -0.000193 0.000076 0.000083 0.023148 0.035929 0.022119 -0.000001 -0.000000 0.000016 1.334114 0.034954 0.274507 -0.023340 0.022195 0.038982 -1.334115 0.274500 0.034958
9.900000 -0.025468 0.009951 0.004454 0.215090 0.016374 0.049741 -0.000147 0.000058 0.000378 1.316059 0.024540 0.140849 -0.240558 0.056123 0.022071 -1.316206 0.140922 0.024776
10.100000 -0.025110 0.001367 0.009405 0.149098 0.048197 0.012391 -0.000030 0.000009 0.000164 0.932899 0.156367 0.231487 -0.174207 0.014675 0.057914 -0.932929 0.231388 0.156415
10.300000 -0.027574 -0.000092 0.014129 0.132863 0.051836 0.005418 -0.000035 0.000020 0.000085 0.736156 0.268293 0.146316 -0.160437 0.006412 0.065616 -0.736190 0.146264 0.268297
10.500000 -0.039722 -0.001529 0.026024 0.163579 0.065830 0.000551 -0.000115 0.000088 0.000237 0.570699 0.280395 0.065007 -0.203302 -0.002162 0.092640 -0.570814 0.064770 0.280368
10.700000 -0.055527 -0.000959 0.028183 0.182021 0.026998 0.011782 -0.000317 0.000221 0.000458 0.406523 0.216874 0.062198 -0.237547 0.007308 0.054671 -0.406840 0.061869 0.216845
10.900000 -0.054510 -0.000198 0.021971 0.176981 0.016796 0.014396 -0.000800 0.000507 0.000720 0.320308 0.245925 0.028439 -0.231492 0.012069 0.039304 -0.321108 0.027616 0.246173
11.100000 -0.051494 -0.000123 0.018105 0.179482 0.016360 0.013443 -0.001381 0.000536 0.001194 0.229621 0.211620 0.035656 -0.230977 0.012052 0.035827 -0.231001 0.035812 0.211648
11.300000 -0.046778 0.000206 0.014354 0.172215 0.016022 0.011562 -0.002261 0.000586 0.001745 0.138719 0.163816 0.018541 -0.218993 0.011010 0.029418 -0.140980 0.018025 0.164299
11.500000 -0.041102 0.000998 0.010386 0.164769 0.013773 0.014953 -0.002606 0.000153 0.002741 0.064297 0.129867 0.008534 -0.205871 0.015801 0.023524 -0.066903 0.008152 0.132046
11.700000 -0.035759 0.002187 0.007998 0.148894 0.013045 0.018800 0.001429 0.000434 0.006044 -0.012108 0.093490 0.001811 -0.184653 0.021179 0.020998 0.013537 0.002300 0.099350
11.900000 -0.026029 0.003461 0.006659 0.113046 0.016157 0.023582 0.013619 -0.000521 0.011487 -0.071432 0.059674 -0.003610 -0.139075 0.026372 0.023490 0.085051 -0.003714 0.070749
12.100000 -0.014385 0.004987 0.003923 0.058612 0.015826 0.019824 0.030356 -0.000418 0.013602 -0.093308 0.035993 -0.005634 -0.072996 0.024293 0.020835 0.123664 -0.005873 0.050006
12.300000 -0.003545 0.002061 0.002397 0.021102 0.009721 0.014436 0.049109 -0.001158 0.021437 -0.078022 0.028310 -0.000638 -0.024647 0.016611 0.012219 0.127131 -0.000581 0.048789
12.500000 -0.002776 0.001618 0.001242 0.021650 0.003232 0.015359 0.051328 0.008071 0.017012 -0.047154 0.013097 0.004445 -0.024426 0.016992 0.003923 0.098482 0.011855 0.028515
12.700000 0.001496 0.002139 0.001567 -0.009601 0.011313 0.009492 0.038588 0.016390 0.014217 -0.021989 0.008003 0.004369 0.011096 0.011412 0.012800 0.060576 0.020623 0.021321
12.900000 -0.000273 0.000728 0.002218 0.009686 0.016435 0.008180 0.017897 0.019862 0.016395 -0.006870 0.005882 0.006827 -0.009959 0.008860 0.018747 0.024766 0.026415 0.022417
13.100000 0.001258 0.001724 0.001796 -0.016165 0.017980 0.010037 -0.051787 0.022916 0.022303 0.010070 0.007262 0.003626 0.017423 0.011169 0.019327 -0.061857 0.025659 0.028238
13.300000 0.005700 0.002450 0.002428 -0.063147 0.017956 0.022928 -0.063198 0.037364 0.032494 0.012098 0.003844 0.006215 0.068848 0.024228 0.018102 -0.075296 0.042297 0.034400
13.500000 0.008439 -0.000200 0.006846 -0.148565 0.097895 -0.006627 -0.013248 -0.017407 0.164002 0.009272 0.010445 0.000268 0.157004 -0.008470 0.103510 -0.022520 -0.018176 0.170911
13.700000 0.001594 0.001639 0.008720 0.000000 0.000000 0.000000 -0.102964 0.061124 0.024447 0.026183 0.009751 0.009378 0.000000 0.000000 0.000000 -0.129148 0.069824 0.026937
13.900000 -0.013402 0.012301 0.006659 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.010055 0.010627 0.019965 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
14.100000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.071219 0.002656 0.090591 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
14.300000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
14.500000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
14.700000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
14.900000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
15.100000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
15.300000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
15.500000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
15.700000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
15.900000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
