#HM(0) Cen_All(1) Err+(2) Err-(3) Sat_All(4) Err+(5) Err-(6) SF_All(7) Err+(8) Err-(9) Q_All(10) Err+(11) Err-(12) Cen_Sat(13) Err+(14) Err-(15) SF_Q(16) Err+(17) Err-(18) 
9.100000 0.000000 0.000000 0.000000 0.000001 0.000000 0.000001 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -0.000001 0.000001 0.000000 0.000000 0.000000 0.000000
9.300000 -0.000000 0.000000 0.000000 0.000003 0.000013 0.000002 -0.000000 0.000000 0.000000 0.000000 0.879998 0.000000 -0.000004 0.000002 0.000013 0.000000 0.000000 0.879998
9.500000 -0.000027 0.000012 0.000012 0.000340 0.000166 0.000156 -0.000000 0.000000 0.000001 1.554783 -0.132943 0.765419 -0.000368 0.000168 0.000178 -1.554784 0.765419 -0.132943
9.700000 -0.002235 0.002044 0.006277 0.088427 0.060598 0.065692 -0.000011 0.000010 0.000061 1.615036 0.024034 0.264802 -0.090662 0.067733 0.067010 -1.615047 0.264808 0.024158
9.900000 -0.031532 0.005832 0.006284 0.216633 0.048460 0.018188 -0.000061 0.000010 0.000431 1.446293 0.047789 0.114035 -0.248165 0.022796 0.053066 -1.446354 0.113773 0.047991
10.100000 -0.027095 0.001225 0.009765 0.157346 0.047102 0.011215 -0.000019 0.000003 0.000163 1.139970 0.105214 0.160681 -0.184441 0.012955 0.057072 -1.139988 0.160669 0.105248
10.300000 -0.030403 -0.001181 0.017802 0.146541 0.062614 0.000957 -0.000014 0.000007 0.000055 0.983041 0.139850 0.255080 -0.176944 -0.000488 0.080333 -0.983055 0.255050 0.139845
10.500000 -0.046637 -0.001500 0.028158 0.177196 0.052340 0.002985 -0.000041 0.000037 0.000111 0.562903 0.424504 0.562903 -0.223833 0.000355 0.081292 -0.562944 0.562944 0.424469
10.700000 -0.052256 -0.000757 0.023088 0.172750 0.023330 0.010916 -0.000127 0.000124 0.000244 0.479301 0.276942 0.479301 -0.225006 0.007528 0.047207 -0.479428 0.479428 0.276835
10.900000 -0.050659 0.000000 0.018638 0.175824 0.018851 0.011200 -0.000345 0.000323 0.000410 0.356723 0.294001 0.157558 -0.226483 0.010311 0.038816 -0.357067 0.157218 0.293713
11.100000 -0.047669 0.000327 0.015248 0.183572 0.015699 0.013890 -0.000813 0.000697 0.000623 0.268818 0.338814 0.030476 -0.231241 0.012334 0.030659 -0.269632 0.029826 0.338669
11.300000 -0.042094 0.000721 0.011871 0.175271 0.014680 0.013468 -0.001568 0.001199 0.000923 0.188488 0.264440 0.030641 -0.217365 0.013588 0.025560 -0.190056 0.029975 0.263238
11.500000 -0.035061 0.000216 0.008871 0.168531 0.012754 0.014532 -0.002179 0.001163 0.001535 0.094068 0.207422 0.010545 -0.203593 0.015483 0.020698 -0.096247 0.009933 0.208993
11.700000 -0.032785 0.002145 0.005421 0.160478 0.012450 0.017984 -0.001273 0.000220 0.002813 0.027200 0.133063 0.001044 -0.193263 0.020416 0.018204 -0.028473 0.000790 0.136888
11.900000 -0.022559 0.001677 0.005790 0.126409 0.012300 0.020454 0.005796 0.001392 0.008915 -0.039994 0.087677 0.003746 -0.148968 0.022000 0.017560 0.045790 0.003619 0.095998
12.100000 -0.015474 0.002787 0.003961 0.090711 0.015628 0.022256 0.021047 -0.001884 0.015793 -0.079641 0.053433 -0.003590 -0.106185 0.025209 0.019660 0.100688 -0.003891 0.069255
12.300000 -0.005928 0.003162 0.001826 0.043198 0.007887 0.021653 0.045145 -0.000139 0.026930 -0.089662 0.041639 -0.002176 -0.049127 0.024394 0.009371 0.134807 -0.004015 0.067306
12.500000 -0.000749 0.001494 0.001045 0.004881 0.012760 0.003521 0.051904 0.007261 0.028180 -0.060427 0.026969 0.003131 -0.005630 0.004567 0.013662 0.112331 0.008385 0.055914
12.700000 -0.003637 0.002900 -0.000134 0.009477 0.010841 0.010429 0.041580 0.015597 0.025802 -0.026455 0.015622 0.004221 -0.013113 0.012926 0.010294 0.068035 0.021747 0.040724
12.900000 0.003116 0.000358 0.002018 -0.014618 0.005195 0.024311 -0.016483 0.027349 0.035046 0.004812 0.008058 0.008851 0.017734 0.023530 0.007031 -0.021296 0.034660 0.041707
13.100000 0.007851 0.000980 0.005887 -0.129708 0.067228 -0.021579 -0.083706 0.028752 0.072741 0.031940 0.001636 0.016488 0.137558 -0.023010 0.071256 -0.115646 0.042034 0.070476
13.300000 -0.005543 0.005147 0.000000 0.166916 0.075938 0.063850 -0.024063 0.033852 0.051054 0.012289 0.006441 0.012143 -0.172460 0.064112 0.071925 -0.036352 0.045610 0.058055
13.500000 0.005001 0.017010 -0.001384 -0.250948 0.068291 0.008496 -0.121651 0.104263 0.003317 0.005867 0.027117 -0.001048 0.255948 0.020413 0.062725 -0.127517 0.095394 0.016050
13.700000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -0.004066 0.043051 0.005347 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
13.900000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.105000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
14.100000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
14.300000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
14.500000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
