#HM(0) Med_All(1) Err+(2) Err-(3) Med_Cen(4) Err+(5) Err-(6) Med_Cen_SF(7) Err+(8) Err-(9) Med_Cen_Q(10) Err+(11) Err-(12) Med_Sat(13) Err+(14) Err-(15) Med_SF(16) Err+(17) Err-(18) Med_Q(19) Err+(20) Err-(21) True_Med_All(22) Err+(23) Err-(24) True_Cen(25) Err+(26) Err-(27) True_Cen_SF(28) Err+(29) Err-(30) True_Cen_Q(31) Err+(32) Err-(33) True_Sat(34) Err+(35) Err-(36) True_SF(37) Err+(38) Err-(39) True_Q(40) Err+(41) Err-(42) 
11.700000 0.386051 0.002704 0.014519 0.380295 0.002337 0.013546 0.380283 0.002389 0.013534 0.358263 0.007005 0.358263 0.434877 0.002156 0.021563 0.385948 0.002817 0.014416 0.392945 0.001008 0.392945 0.247023 0.005501 0.018884 0.240492 0.005004 0.018425 0.240126 0.004408 0.018086 0.242091 0.004460 0.242091 0.293105 0.005950 0.025456 0.246383 0.004911 0.018309 0.297234 0.000000 0.297234
11.900000 0.382230 0.002243 0.015073 0.377683 0.002290 0.014373 0.376278 0.002727 0.013799 0.378616 0.021149 0.378616 0.415783 0.000746 0.020131 0.380474 0.002531 0.014244 0.394768 0.025179 0.394768 0.248006 0.003732 0.020835 0.241465 0.003769 0.020138 0.238855 0.003971 0.017970 0.270854 0.013500 0.270854 0.294091 0.002831 0.027125 0.245084 0.003915 0.018439 0.289322 0.015857 0.289322
12.100000 0.385699 0.000594 0.018820 0.384309 0.000435 0.018303 0.380794 0.002069 0.015011 0.414764 -0.007832 0.414764 0.397541 0.001576 0.024094 0.382599 0.001665 0.016210 0.412337 -0.006988 0.412337 0.249491 0.002065 0.026536 0.246908 0.002172 0.026257 0.242058 0.003867 0.021455 0.268118 0.003205 0.268118 0.266394 0.005308 0.029527 0.244836 0.003325 0.022030 0.274081 0.005792 0.274081
12.300000 0.402339 0.007253 0.024032 0.401788 0.007514 0.024007 0.406651 0.004926 0.028232 0.343370 0.041375 0.343370 0.400606 0.003936 0.022306 0.407428 0.002887 0.028225 0.349665 0.045986 0.349665 0.259689 0.011371 0.038365 0.259139 0.011489 0.038581 0.247922 0.006338 0.027972 0.263675 0.020498 0.263675 0.249633 0.014613 0.027266 0.248179 0.006547 0.027378 0.273542 0.025363 0.273542
12.500000 0.411163 0.010960 0.039615 0.400539 0.013473 0.037220 0.416612 0.008716 0.050926 0.351064 0.047571 0.086707 0.559738 0.007286 0.073616 0.415296 0.005805 0.043553 0.382167 0.034490 0.126661 0.266972 0.022891 0.059890 0.255267 0.024132 0.054145 0.242955 0.005447 0.043399 0.250478 0.028295 0.156006 0.405391 0.021422 0.109946 0.242779 0.007558 0.038313 0.276732 0.026475 0.182260
12.700000 0.391975 0.030520 0.034330 0.396357 0.030117 0.034270 0.393220 0.023906 0.036289 0.338158 0.049923 0.069370 0.000000 0.000000 0.000000 0.384302 0.026105 0.032065 0.342405 0.044723 0.071673 0.254462 0.041265 0.054565 0.253557 0.041336 0.054514 0.205082 0.026253 0.024980 0.261766 0.030961 0.104816 0.000000 0.000000 0.000000 0.210835 0.024919 0.028135 0.262074 0.032520 0.105124
12.900000 0.322945 0.032230 0.025558 0.325627 0.033265 0.025145 0.278227 0.039507 0.278227 0.326050 0.088421 0.025023 0.000000 0.000000 0.000000 0.278227 0.031966 0.278227 0.326050 0.088421 0.025023 0.208617 0.046941 0.038493 0.210713 0.047752 0.038247 0.161909 0.003625 0.161909 0.197527 0.073928 0.021545 0.000000 0.000000 0.000000 0.161909 0.005735 0.161909 0.197527 0.072772 0.021914
13.100000 0.270035 0.076664 0.021150 0.270035 0.076664 0.021150 0.000000 0.000000 0.000000 0.000000 0.316297 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.316297 0.000000 0.183695 0.018666 0.044770 0.183695 0.018666 0.044770 0.000000 0.000000 0.000000 0.000000 0.184962 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.184962 0.000000
13.300000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
13.500000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
13.700000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
