#HM(0) Med_All(1) Err+(2) Err-(3) Med_Cen(4) Err+(5) Err-(6) Med_Cen_SF(7) Err+(8) Err-(9) Med_Cen_Q(10) Err+(11) Err-(12) Med_Sat(13) Err+(14) Err-(15) Med_SF(16) Err+(17) Err-(18) Med_Q(19) Err+(20) Err-(21) True_Med_All(22) Err+(23) Err-(24) True_Cen(25) Err+(26) Err-(27) True_Cen_SF(28) Err+(29) Err-(30) True_Cen_Q(31) Err+(32) Err-(33) True_Sat(34) Err+(35) Err-(36) True_SF(37) Err+(38) Err-(39) True_Q(40) Err+(41) Err-(42) 
11.500000 -2.399845 0.028373 0.055841 -2.413615 0.028697 0.055081 -2.413518 0.028599 0.049550 -2.468358 2.468358 -0.005628 -2.280326 0.029792 0.058299 -2.400042 0.027753 0.049706 -2.322216 2.322216 0.045948 -2.376577 0.030296 0.074748 -2.388686 0.030868 0.073935 -2.388615 0.034112 0.073291 -2.404618 2.404618 0.031311 -2.251184 0.033516 0.079307 -2.376720 0.034475 0.073359 -2.313983 2.313983 0.040630
11.700000 -2.256394 0.024640 0.061145 -2.262603 0.022423 0.061836 -2.262181 0.022000 0.055205 -2.375594 2.375594 0.012543 -2.166358 0.021033 0.065691 -2.256254 0.024219 0.053470 -2.259353 2.259353 0.069658 -2.231046 0.026673 0.083688 -2.237652 0.027810 0.083539 -2.236773 0.028783 0.080575 -2.366409 2.366409 0.006031 -2.149879 0.023737 0.091056 -2.230406 0.028595 0.080106 -2.295013 2.295013 0.015840
11.900000 -2.104563 0.010525 0.068693 -2.112576 0.010188 0.068356 -2.110189 0.009615 0.066315 -2.192400 2.192400 0.051174 -2.008238 0.011389 0.074029 -2.102360 0.009684 0.065505 -2.154917 2.154917 0.060809 -2.087151 0.025359 0.103121 -2.094250 0.024571 0.103181 -2.091163 0.023471 0.104686 -2.205713 2.205713 0.056438 -1.990826 0.018809 0.109661 -2.084235 0.023435 0.104812 -2.188704 2.188704 0.032185
12.100000 -1.976888 0.008483 0.069355 -1.980289 0.008564 0.070201 -1.976491 0.009814 0.071463 -2.033171 2.033171 0.018762 -1.931163 0.001881 0.080878 -1.974988 0.008891 0.068432 -1.996060 1.996060 0.047837 -1.947101 0.017300 0.115572 -1.952694 0.018101 0.115219 -1.943036 0.020141 0.122447 -2.083173 2.083173 0.053068 -1.900098 0.032413 0.106882 -1.939535 0.020945 0.122538 -2.068418 2.068418 0.047611
12.300000 -1.864412 0.008008 0.071598 -1.867504 0.007925 0.071013 -1.847970 0.012693 0.079521 -1.982110 1.982110 0.063628 -1.765972 -0.005690 0.089806 -1.846184 0.006979 0.079615 -1.965217 1.965217 0.065189 -1.843360 0.026236 0.103925 -1.844375 0.026833 0.103491 -1.825168 0.025308 0.121121 -1.949164 1.949164 0.089026 -1.805466 0.004333 0.125580 -1.823086 0.023373 0.119299 -1.940143 1.940143 0.072592
12.500000 -1.840406 0.020502 0.069888 -1.836594 0.024159 0.067835 -1.786254 0.007701 0.087123 -1.948820 0.144011 0.066180 -1.853308 0.027071 0.070044 -1.791390 0.006837 0.088092 -1.945500 0.129389 0.069500 -1.820500 0.035912 0.106022 -1.817630 0.032492 0.107243 -1.767703 0.038232 0.115015 -1.915300 0.140844 0.095837 -1.812989 0.041626 0.099627 -1.765559 0.032095 0.118980 -1.918648 0.137305 0.095152
12.700000 -1.942429 0.093190 0.063886 -1.941604 0.092501 0.066477 -1.852229 0.107276 0.055662 -2.062023 0.106923 0.073210 0.000000 0.000000 0.000000 -1.878211 0.121226 0.039326 -2.060872 0.105804 0.073757 -1.913146 0.080980 0.086513 -1.909914 0.075362 0.093513 -1.850523 0.098677 0.063022 -2.040353 0.111474 0.096745 0.000000 0.000000 0.000000 -1.858334 0.107005 0.058233 -2.024669 0.103288 0.106010
12.900000 -2.099835 0.172900 0.062402 -2.133319 0.203190 0.046061 -1.979392 1.979392 0.001818 -2.033494 0.108097 0.174444 0.000000 0.000000 0.000000 -1.979392 1.979392 0.004729 -2.033494 0.108097 0.174444 -2.116093 0.167635 0.102799 -2.120775 0.172237 0.108128 -2.056298 2.056298 0.001179 -2.148511 0.181604 0.106489 0.000000 0.000000 0.000000 -2.056298 2.056298 -0.001528 -2.148511 0.178511 0.106489
13.100000 -2.215000 0.145000 0.080000 -2.215000 0.145000 0.080000 0.000000 0.000000 0.000000 0.000000 0.000000 2.265000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 2.265000 -2.230000 0.170000 0.120000 -2.230000 0.170000 0.120000 0.000000 0.000000 0.000000 0.000000 0.000000 2.330000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 2.330000
13.300000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
