#HM(0) Cen_All(1) Err+(2) Err-(3) Sat_All(4) Err+(5) Err-(6) SF_All(7) Err+(8) Err-(9) Q_All(10) Err+(11) Err-(12) Cen_Sat(13) Err+(14) Err-(15) SF_Q(16) Err+(17) Err-(18) 
9.100000 -0.000001 0.000000 0.000002 0.000147 0.000189 0.000066 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -0.000148 0.000067 0.000191 0.000000 0.000000 0.000000
9.300000 -0.000011 0.000004 0.000008 0.000685 0.000503 0.000257 0.000000 0.000000 0.000000 0.000000 0.000024 0.000000 -0.000697 0.000261 0.000511 0.000000 0.000000 0.000029
9.500000 -0.000132 0.000038 0.005753 0.112479 0.106600 0.072978 0.000000 0.000000 0.000003 0.000000 2.095984 0.000000 -0.112611 0.073017 0.112018 0.000000 0.000000 2.095984
9.700000 -0.024445 0.005549 0.001924 0.276055 0.030998 0.022552 -0.000008 0.000005 0.000041 1.994170 -0.025984 0.220932 -0.300500 0.027541 0.029511 -1.994179 0.220936 -0.025988
9.900000 -0.021447 0.001693 0.003687 0.171017 0.031048 0.015762 -0.000016 0.000004 0.000061 1.614723 -0.007311 0.200553 -0.192464 0.017518 0.034283 -1.614739 0.200537 -0.007316
10.100000 -0.021783 0.001026 0.006043 0.140864 0.034710 0.009655 -0.000008 0.000003 0.000043 1.440623 0.015844 1.197846 -0.162647 0.010775 0.040662 -1.440632 1.197756 0.015890
10.300000 -0.037936 0.000108 0.013113 0.181672 0.037547 0.009629 -0.000005 0.000002 0.000023 1.442750 -0.002312 1.442750 -0.219609 0.010136 0.048750 -1.442755 1.442755 -0.002311
10.500000 -0.039884 0.000780 0.011023 0.154027 0.020963 0.012381 -0.000002 0.000001 0.000014 0.000000 0.265725 0.000000 -0.193912 0.013403 0.031882 0.000000 0.000000 0.265745
10.700000 -0.034575 0.000595 0.008055 0.154310 0.017548 0.012077 -0.000010 0.000010 0.000018 0.413940 -0.085555 0.413940 -0.188884 0.012576 0.024797 -0.413949 0.413949 -0.085474
10.900000 -0.030455 0.000917 0.006113 0.155005 0.013546 0.012329 -0.000017 0.000017 0.000058 0.181889 0.020406 0.181889 -0.185459 0.012817 0.019108 -0.181906 0.181906 0.020472
11.100000 -0.027750 0.001486 0.004200 0.155450 0.010878 0.013945 -0.000031 0.000031 0.000108 0.093246 0.085869 0.093246 -0.183199 0.015031 0.014511 -0.093277 0.093277 0.087831
11.300000 -0.023350 0.001270 0.003054 0.156820 0.008478 0.014837 -0.000121 0.000121 0.000159 0.097256 0.125137 0.097256 -0.180170 0.015776 0.011533 -0.097377 0.097377 0.125165
11.500000 -0.018089 0.001631 0.001410 0.130172 0.009965 0.012305 -0.000372 0.000372 0.000300 0.065395 0.135047 0.065395 -0.148261 0.013899 0.011579 -0.065767 0.065767 0.135636
11.700000 -0.012623 0.001089 0.001366 0.121259 0.003228 0.016033 -0.000275 0.000285 0.000381 0.025982 0.127407 0.025982 -0.133882 0.016784 0.004510 -0.026256 0.026256 0.128175
11.900000 -0.008660 0.000571 0.001554 0.097461 0.004741 0.013799 0.003127 0.001774 0.003242 -0.088797 0.138627 -0.013258 -0.106121 0.014104 0.006631 0.091923 -0.012355 0.141958
12.100000 -0.007163 -0.000521 0.002619 0.119697 0.000000 0.024060 0.007882 0.002898 0.008339 -0.075156 0.118249 -0.002821 -0.126860 0.023612 0.001956 0.083038 0.003837 0.126350
12.300000 -0.006440 0.001701 0.001349 0.070565 0.023596 0.002980 0.023568 0.007037 0.023743 -0.115729 0.115729 -0.004442 -0.077005 0.004399 0.023676 0.139297 -0.003187 0.139297
12.500000 0.005552 0.002480 0.002432 -0.073308 0.003851 0.026059 0.036654 0.023959 0.030761 -0.102819 0.044955 0.040260 0.078860 0.026168 0.004901 0.139473 0.042211 0.040104
12.700000 -0.000173 0.005113 0.000753 0.254240 0.043194 0.040214 0.054975 0.029923 0.035530 -0.053259 0.028654 0.021824 -0.254413 0.040252 0.039365 0.108234 0.034718 0.044805
12.900000 -0.000810 0.000729 0.000240 0.000000 0.000000 0.000000 0.003330 0.092768 0.003330 -0.001190 0.009635 0.037825 0.000000 0.000000 0.000000 0.004520 0.108585 0.004520
