#Peak halo masses in Msun
#Average fraction of mass accreted from galaxy mergers as opposed to formed in situ.
#Log10(HM) F_ex_situ Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 1.47191e-08 -4.45333e-12 3.05875e-10 8.625 8.875 43455
9.00 1.46096e-08 1.99088e-10 7.09264e-11 8.875 9.125 65118
9.25 0.000238551 2.25626e-05 5.94307e-05 9.125 9.375 260594
9.50 0.000147836 1.92633e-05 3.50815e-05 9.375 9.625 768728
9.75 7.27324e-05 2.60509e-05 2.17818e-05 9.625 9.875 1.89734e+06
10.00 0.000205635 8.0128e-05 8.69143e-05 9.875 10.125 2.90284e+06
10.25 0.0030609 0.000734624 0.00113332 10.125 10.375 2.23516e+06
10.50 0.0124293 0.00294414 0.00324515 10.375 10.625 1.43217e+06
10.75 0.0213487 0.00498616 0.00353988 10.625 10.875 894511
11.00 0.0251861 0.00528901 0.00334096 10.875 11.125 553896
11.25 0.0260396 0.00321605 0.00399438 11.125 11.375 334468
11.50 0.0248986 0.000938227 0.00543828 11.375 11.625 200030
11.75 0.0275548 0 0.00782471 11.625 11.875 119368
12.00 0.04148 -0.00108827 0.0119034 11.875 12.125 70407
12.25 0.0776853 -0.0029095 0.0215041 12.125 12.375 41475
12.50 0.142798 -0.00421825 0.0354558 12.375 12.625 24431
12.75 0.247483 -0.00662668 0.0524334 12.625 12.875 14358
13.00 0.377291 -0.00682324 0.0695317 12.875 13.125 8128
13.25 0.507956 -0.00343883 0.0732879 13.125 13.375 4595
13.50 0.626344 -0.00100309 0.074687 13.375 13.625 2489
13.75 0.721659 0.00410295 0.0632134 13.625 13.875 1337
14.00 0.798905 0.0108264 0.0508335 13.875 14.125 646
14.25 0.844623 0.0117491 0.0422583 14.125 14.375 321
14.50 0.866805 0.0146986 0.0372515 14.375 14.625 130
14.75 0.925144 0.0123941 0.0202645 14.625 14.875 43
15.00 0.90115 0.0205052 0.0369304 14.875 15.125 6
15.25 0.973194 0.00336993 0.0130608 15.125 15.375 2
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
