#Peak halo masses in Msun
#Average fraction of mass accreted from galaxy mergers as opposed to formed in situ.
#Log10(HM) F_ex_situ Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 2.49911e-06 1.00733e-07 1.02019e-07 8.625 8.875 183510
9.00 4.97373e-07 5.52473e-08 1.11105e-07 8.875 9.125 296444
9.25 0.000188492 1.06304e-05 3.63341e-05 9.125 9.375 1.0557e+06
9.50 0.000247355 1.92231e-05 4.77883e-05 9.375 9.625 3.07079e+06
9.75 0.000265856 3.52764e-05 6.34782e-05 9.625 9.875 4.80744e+06
10.00 0.00091713 0.000212432 0.000329536 9.875 10.125 3.71128e+06
10.25 0.00551259 0.00124624 0.00212096 10.125 10.375 2.27448e+06
10.50 0.0178709 0.00322734 0.00651064 10.375 10.625 1.35465e+06
10.75 0.0274725 0.00529666 0.0100857 10.625 10.875 746622
11.00 0.0294309 0.00488087 0.0117169 10.875 11.125 393853
11.25 0.0287794 0.00353447 0.0132871 11.125 11.375 202426
11.50 0.0288671 0.00243295 0.014358 11.375 11.625 100677
11.75 0.0291392 0.00210714 0.0142522 11.625 11.875 48640
12.00 0.028865 0.000794761 0.0133821 11.875 12.125 22481
12.25 0.0295804 -0.000101035 0.0143296 12.125 12.375 9602
12.50 0.0370993 -0.00215781 0.0177038 12.375 12.625 3939
12.75 0.0592452 -0.00171072 0.0261531 12.625 12.875 1305
13.00 0.104794 0.00228768 0.0409701 12.875 13.125 433
13.25 0.166726 0.00331251 0.0628455 13.125 13.375 98
13.50 0.336894 -0.00577232 0.136789 13.375 13.625 21
13.75 0 0 0 13.625 13.875 0
14.00 0 0 0 13.875 14.125 0
14.25 0 0 0 14.125 14.375 0
14.50 0 0 0 14.375 14.625 0
14.75 0 0 0 14.625 14.875 0
15.00 0 0 0 14.875 15.125 0
15.25 0 0 0 15.125 15.375 0
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
