#Peak halo masses in Msun
#Average fraction of mass accreted from galaxy mergers as opposed to formed in situ.
#Log10(HM) F_ex_situ Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 2.99147e-06 -8.71733e-07 2.97722e-06 8.625 8.875 206619
9.00 4.67474e-06 -9.80581e-08 1.75278e-06 8.875 9.125 332689
9.25 0.000191918 1.29813e-05 3.90945e-05 9.125 9.375 1.14561e+06
9.50 0.00024682 1.83887e-05 5.12555e-05 9.375 9.625 3.27395e+06
9.75 0.000264561 3.12197e-05 6.30173e-05 9.625 9.875 4.67224e+06
10.00 0.000887043 0.000178163 0.00031183 9.875 10.125 3.50441e+06
10.25 0.00537805 0.00113864 0.00202438 10.125 10.375 2.08897e+06
10.50 0.017047 0.0025992 0.00627352 10.375 10.625 1.1964e+06
10.75 0.0255315 0.00489668 0.00957771 10.625 10.875 635542
11.00 0.0266634 0.00430668 0.0106925 10.875 11.125 326520
11.25 0.0260371 0.00245237 0.0123208 11.125 11.375 161885
11.50 0.0268621 0.00148938 0.0141885 11.375 11.625 77037
11.75 0.0273688 0.00176993 0.0141736 11.625 11.875 35451
12.00 0.0269079 0.00142367 0.0129346 11.875 12.125 15130
12.25 0.0277723 0.000603663 0.0132488 12.125 12.375 6147
12.50 0.0340905 -0.000953298 0.0157173 12.375 12.625 2151
12.75 0.0538327 3.65749e-05 0.0218069 12.625 12.875 658
13.00 0.0994011 -0.00221964 0.0446747 12.875 13.125 193
13.25 0.141973 0.0107899 0.0604522 13.125 13.375 35
13.50 0.495292 -0.0296319 0.250841 13.375 13.625 4
13.75 0 0 0 13.625 13.875 0
14.00 0 0 0 13.875 14.125 0
14.25 0 0 0 14.125 14.375 0
14.50 0 0 0 14.375 14.625 0
14.75 0 0 0 14.625 14.875 0
15.00 0 0 0 14.875 15.125 0
15.25 0 0 0 15.125 15.375 0
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
