#Peak halo masses in Msun
#Average fraction of mass accreted from galaxy mergers as opposed to formed in situ.
#Log10(HM) F_ex_situ Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 1.47914e-08 -4.3304e-11 4.57783e-10 8.625 8.875 28905
9.00 1.85992e-05 1.87785e-07 6.41094e-07 8.875 9.125 52011
9.25 0.000170092 6.80164e-06 3.63551e-05 9.125 9.375 247756
9.50 0.000155919 2.78909e-05 2.79158e-05 9.375 9.625 976127
9.75 0.000123424 4.72673e-05 2.84166e-05 9.625 9.875 2.7249e+06
10.00 0.000308987 0.000104334 0.000113355 9.875 10.125 3.64061e+06
10.25 0.00352449 0.000736733 0.00140038 10.125 10.375 2.56237e+06
10.50 0.014033 0.00299322 0.00435398 10.375 10.625 1.59570e+06
10.75 0.0239345 0.00552407 0.00599493 10.625 10.875 984468
11.00 0.0276969 0.0058433 0.00641479 10.875 11.125 597642
11.25 0.0257671 0.00369203 0.00607713 11.125 11.375 348321
11.50 0.020652 0.00112289 0.00605961 11.375 11.625 203385
11.75 0.0184704 0.000215376 0.00606519 11.625 11.875 118246
12.00 0.0249383 -0.000742519 0.00876629 11.875 12.125 68111
12.25 0.0502774 -0.00245182 0.0182186 12.125 12.375 39030
12.50 0.10108 -0.0053222 0.0344152 12.375 12.625 21894
12.75 0.18926 -0.00759022 0.0577244 12.625 12.875 12091
13.00 0.303509 -0.00944018 0.0797887 12.875 13.125 6515
13.25 0.428124 -0.00534624 0.0910971 13.125 13.375 3367
13.50 0.547659 -0.00043124 0.0974451 13.375 13.625 1639
13.75 0.628468 0.014058 0.0807163 13.625 13.875 767
14.00 0.721023 0.0171142 0.0726092 13.875 14.125 305
14.25 0.783688 0.0299261 0.0590081 14.125 14.375 110
14.50 0.844394 0.0243295 0.0492774 14.375 14.625 23
14.75 0.881861 0.0355806 0.0391684 14.625 14.875 3
15.00 0.906896 0.030974 0.0394114 14.875 15.125 2
15.25 0 0 0 15.125 15.375 0
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
