#Peak halo masses in Msun
#Average fraction of mass accreted from galaxy mergers as opposed to formed in situ.
#Log10(HM) F_ex_situ Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 1.46279e-08 1.49375e-09 2.90354e-10 8.625 8.875 34077
9.00 1.46346e-08 1.45291e-10 1.52291e-10 8.875 9.125 55281
9.25 0.000264843 5.82068e-06 6.80048e-05 9.125 9.375 236305
9.50 0.000157689 1.35105e-05 4.04505e-05 9.375 9.625 753838
9.75 7.73291e-05 2.51961e-05 2.22854e-05 9.625 9.875 1.93952e+06
10.00 0.000205609 8.46655e-05 8.71692e-05 9.875 10.125 2.97379e+06
10.25 0.00305296 0.000738481 0.001128 10.125 10.375 2.2692e+06
10.50 0.0124888 0.00279915 0.00341779 10.375 10.625 1.44981e+06
10.75 0.02137 0.00492211 0.0037622 10.625 10.875 904093
11.00 0.0250174 0.00496238 0.00359556 10.875 11.125 560174
11.25 0.0253741 0.00292283 0.00413884 11.125 11.375 336926
11.50 0.0237518 0.000552995 0.00554726 11.375 11.625 201004
11.75 0.026028 -0.000204831 0.00793071 11.625 11.875 119863
12.00 0.0395047 -0.00129791 0.0117961 11.875 12.125 70584
12.25 0.0748856 -0.00308685 0.0220138 12.125 12.375 41509
12.50 0.139206 -0.00486238 0.036113 12.375 12.625 24270
12.75 0.24205 -0.00594905 0.0534817 12.625 12.875 14291
13.00 0.370352 -0.00726658 0.0719822 12.875 13.125 8008
13.25 0.501487 -0.0054 0.0764524 13.125 13.375 4538
13.50 0.620035 -0.00194418 0.0780929 13.375 13.625 2421
13.75 0.721785 0.00217348 0.0674541 13.625 13.875 1282
14.00 0.795221 0.0099563 0.0546442 13.875 14.125 626
14.25 0.837395 0.0131654 0.0441236 14.125 14.375 306
14.50 0.862486 0.0160987 0.0369055 14.375 14.625 108
14.75 0.92073 0.0117652 0.0234972 14.625 14.875 42
15.00 0.907993 0.0331782 0.0300391 14.875 15.125 5
15.25 0.956089 0.0110329 0.0132736 15.125 15.375 1
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
