#Peak halo masses in Msun
#Average fraction of mass accreted from galaxy mergers as opposed to formed in situ.
#Log10(HM) F_ex_situ Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 1.42558e-08 1.84802e-10 2.88754e-10 8.625 8.875 20642
9.00 1.42428e-08 2.44816e-10 1.64737e-10 8.875 9.125 26051
9.25 4.1537e-05 1.12314e-06 9.13169e-06 9.125 9.375 51772
9.50 5.53064e-05 4.42692e-06 9.60201e-06 9.375 9.625 65872
9.75 2.79973e-05 9.68941e-07 8.61561e-06 9.625 9.875 41713
10.00 6.8764e-05 1.2434e-05 1.47883e-05 9.875 10.125 14724
10.25 0.000178043 9.67205e-05 0.000133982 10.125 10.375 3937
10.50 0.00145447 0.00129103 0.00102044 10.375 10.625 949
10.75 0.00103482 0.00565057 0.000751176 10.625 10.875 173
11.00 0.0006858 0.00113678 0.000578552 10.875 11.125 26
11.25 0 0 0 11.125 11.375 1
11.50 0.582095 0.38578 0.579397 11.375 11.625 1
11.75 0 0 0 11.625 11.875 0
12.00 0 0 0 11.875 12.125 0
12.25 0 0 0 12.125 12.375 0
12.50 0 0 0 12.375 12.625 0
12.75 0 0 0 12.625 12.875 0
13.00 0 0 0 12.875 13.125 0
13.25 0 0 0 13.125 13.375 0
13.50 0 0 0 13.375 13.625 0
13.75 0 0 0 13.625 13.875 0
14.00 0 0 0 13.875 14.125 0
14.25 0 0 0 14.125 14.375 0
14.50 0 0 0 14.375 14.625 0
14.75 0 0 0 14.625 14.875 0
15.00 0 0 0 14.875 15.125 0
15.25 0 0 0 15.125 15.375 0
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
