#Peak halo masses in Msun
#Average fraction of mass accreted from galaxy mergers as opposed to formed in situ.
#Log10(HM) F_ex_situ Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 1.44208e-08 2.54445e-10 9.4178e-11 8.625 8.875 36075
9.00 2.42263e-08 1.37925e-09 3.05961e-09 8.875 9.125 65366
9.25 0.000149334 5.73893e-06 3.06011e-05 9.125 9.375 313315
9.50 0.000160303 1.9437e-05 3.06181e-05 9.375 9.625 1.2773e+06
9.75 0.000148859 4.60782e-05 3.37498e-05 9.625 9.875 3.25114e+06
10.00 0.000392578 0.000130319 0.000138984 9.875 10.125 3.8774e+06
10.25 0.00381564 0.00079545 0.00152523 10.125 10.375 2.66094e+06
10.50 0.0150943 0.00355769 0.0049502 10.375 10.625 1.6468e+06
10.75 0.025858 0.0058784 0.00732287 10.625 10.875 1.01206e+06
11.00 0.0306108 0.00615486 0.00769751 10.875 11.125 600008
11.25 0.0285639 0.00430817 0.00760855 11.125 11.375 345582
11.50 0.0235643 0.00169511 0.00730348 11.375 11.625 198680
11.75 0.0191851 0.000685679 0.0063417 11.625 11.875 113381
12.00 0.0217391 -3.90336e-05 0.00749323 11.875 12.125 64388
12.25 0.0389277 -0.00178097 0.0143912 12.125 12.375 35795
12.50 0.0825976 -0.00400917 0.0305513 12.375 12.625 19703
12.75 0.15866 -0.00854865 0.0530909 12.625 12.875 10345
13.00 0.260188 -0.00658199 0.0752995 12.875 13.125 5358
13.25 0.382176 -0.00295457 0.0944342 13.125 13.375 2601
13.50 0.486024 0.0017364 0.0991985 13.375 13.625 1182
13.75 0.562299 0.0201982 0.0894813 13.625 13.875 480
14.00 0.690104 0.0222412 0.0897146 13.875 14.125 179
14.25 0.751874 0.0307925 0.0592251 14.125 14.375 41
14.50 0.818636 0.0260707 0.0737132 14.375 14.625 7
14.75 0.892575 0.0181082 0.0450411 14.625 14.875 2
15.00 0 0 0 14.875 15.125 0
15.25 0 0 0 15.125 15.375 0
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
