#Peak halo masses in Msun
#Average fraction of mass accreted from galaxy mergers as opposed to formed in situ.
#Log10(HM) F_ex_situ Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 1.48001e-08 -1.06807e-10 4.83773e-10 8.625 8.875 28461
9.00 1.46668e-08 1.34153e-10 1.65312e-10 8.875 9.125 48763
9.25 0.000213096 7.72643e-06 5.73353e-05 9.125 9.375 219509
9.50 0.000162447 2.04504e-05 3.99913e-05 9.375 9.625 753201
9.75 8.55923e-05 3.04287e-05 2.26127e-05 9.625 9.875 1.99979e+06
10.00 0.000225943 7.99293e-05 9.44138e-05 9.875 10.125 3.07222e+06
10.25 0.00309642 0.000699287 0.001183 10.125 10.375 2.31384e+06
10.50 0.012679 0.00257988 0.00361774 10.375 10.625 1.47187e+06
10.75 0.0214644 0.0046219 0.00431233 10.625 10.875 916421
11.00 0.024893 0.00478633 0.00418211 10.875 11.125 567191
11.25 0.0247096 0.00280058 0.00436792 11.125 11.375 339883
11.50 0.0224632 0.000220509 0.00568928 11.375 11.625 202334
11.75 0.0242096 -0.00031534 0.00759359 11.625 11.875 120266
12.00 0.0373456 -0.00134218 0.0117503 11.875 12.125 70599
12.25 0.0714848 -0.00339435 0.0222192 12.125 12.375 41430
12.50 0.134171 -0.00578114 0.0367638 12.375 12.625 24122
12.75 0.235865 -0.00726083 0.0565162 12.625 12.875 14008
13.00 0.360332 -0.00763062 0.071826 12.875 13.125 7938
13.25 0.492949 -0.00663012 0.0819377 13.125 13.375 4375
13.50 0.610247 -0.00370121 0.0815763 13.375 13.625 2377
13.75 0.714274 0.00409424 0.0683679 13.625 13.875 1231
14.00 0.781833 0.0104676 0.0592536 13.875 14.125 584
14.25 0.826474 0.0183727 0.0435278 14.125 14.375 279
14.50 0.858521 0.0173995 0.0342622 14.375 14.625 86
14.75 0.912337 0.0138177 0.0285034 14.625 14.875 33
15.00 0.90821 0.0313683 0.0280176 14.875 15.125 3
15.25 0.949272 0.0142111 0.0130934 15.125 15.375 1
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
