#Peak halo masses in Msun
#Average fraction of mass accreted from galaxy mergers as opposed to formed in situ.
#Log10(HM) F_ex_situ Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 1.43477e-08 4.01476e-10 4.93428e-11 8.625 8.875 26575
9.00 1.4778e-08 0 3.24408e-10 8.875 9.125 47537
9.25 0.000204632 9.60856e-06 3.64321e-05 9.125 9.375 224886
9.50 0.000173841 1.78572e-05 3.94688e-05 9.375 9.625 825162
9.75 0.00010655 3.98891e-05 2.72746e-05 9.625 9.875 2.26963e+06
10.00 0.000251267 8.86135e-05 0.000100519 9.875 10.125 3.3757e+06
10.25 0.00325997 0.000625224 0.00128924 10.125 10.375 2.44303e+06
10.50 0.0132371 0.00249337 0.00413894 10.375 10.625 1.53476e+06
10.75 0.0223666 0.00477421 0.00529126 10.625 10.875 952068
11.00 0.0255384 0.0047852 0.00514334 10.875 11.125 585263
11.25 0.0241062 0.00274033 0.00496054 11.125 11.375 346043
11.50 0.0203767 0.000719318 0.00541859 11.375 11.625 204235
11.75 0.0204562 1.52681e-05 0.00673545 11.625 11.875 119891
12.00 0.0307049 -0.00110495 0.0102845 11.875 12.125 70121
12.25 0.0612881 -0.00337247 0.0212627 12.125 12.375 40785
12.50 0.120944 -0.00606465 0.0376293 12.375 12.625 23173
12.75 0.213955 -0.00793271 0.0583394 12.625 12.875 13323
13.00 0.33796 -0.00862405 0.0749062 12.875 13.125 7387
13.25 0.463431 -0.00852823 0.0893215 13.125 13.375 3979
13.50 0.583817 0 0.0842207 13.375 13.625 2040
13.75 0.677778 0.00848871 0.0745221 13.625 13.875 1034
14.00 0.759704 0.00916088 0.0694691 13.875 14.125 454
14.25 0.798286 0.0267932 0.0494474 14.125 14.375 203
14.50 0.856441 0.0315719 0.0266011 14.375 14.625 44
14.75 0.895452 0.0180417 0.0375664 14.625 14.875 15
15.00 0.941314 0.0201476 0.0125222 14.875 15.125 2
15.25 0 0 0 15.125 15.375 0
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
