#Peak halo masses in Msun
#Average fraction of mass accreted from galaxy mergers as opposed to formed in situ.
#Log10(HM) F_ex_situ Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 1.4424e-08 4.31131e-11 1.23494e-10 8.625 8.875 163136
9.00 2.14545e-06 3.646e-07 1.22188e-06 8.875 9.125 265932
9.25 0.000172575 1.47841e-05 2.95885e-05 9.125 9.375 971638
9.50 0.000259697 2.09929e-05 4.83119e-05 9.375 9.625 2.90041e+06
9.75 0.00026365 3.98978e-05 6.19454e-05 9.625 9.875 4.80467e+06
10.00 0.000915563 0.000221837 0.000328436 9.875 10.125 3.82407e+06
10.25 0.00531526 0.00123494 0.00208509 10.125 10.375 2.39186e+06
10.50 0.0180051 0.00341355 0.00660259 10.375 10.625 1.44984e+06
10.75 0.0285118 0.00584298 0.0103812 10.625 10.875 819018
11.00 0.0310699 0.00539841 0.0118629 10.875 11.125 438204
11.25 0.0303534 0.0038487 0.0133438 11.125 11.375 229921
11.50 0.0299342 0.00330957 0.0144592 11.375 11.625 117845
11.75 0.0300743 0.00236384 0.0139585 11.625 11.875 58759
12.00 0.0289767 0.000106635 0.0129242 11.875 12.125 28331
12.25 0.0306677 -0.00100978 0.0142933 12.125 12.375 12678
12.50 0.0407373 -0.00311245 0.0191371 12.375 12.625 5418
12.75 0.0650562 -0.00285947 0.0291412 12.625 12.875 2054
13.00 0.121067 -0.00158777 0.0488884 12.875 13.125 698
13.25 0.172358 0.00449854 0.0616499 13.125 13.375 201
13.50 0.255395 0.0141939 0.100443 13.375 13.625 43
13.75 0.448791 0.00735903 0.190972 13.625 13.875 3
14.00 0 0 0 13.875 14.125 0
14.25 0 0 0 14.125 14.375 0
14.50 0 0 0 14.375 14.625 0
14.75 0 0 0 14.625 14.875 0
15.00 0 0 0 14.875 15.125 0
15.25 0 0 0 15.125 15.375 0
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
