#Peak halo masses in Msun
#Average fraction of mass accreted from galaxy mergers as opposed to formed in situ.
#Log10(HM) F_ex_situ Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 1.45179e-08 2.36704e-10 1.27948e-10 8.625 8.875 27951
9.00 1.47059e-08 1.41972e-10 2.01034e-10 8.875 9.125 48913
9.25 0.00020469 1.52475e-05 5.26376e-05 9.125 9.375 230806
9.50 0.000181145 2.02439e-05 3.35666e-05 9.375 9.625 859091
9.75 0.000106778 4.19303e-05 2.84495e-05 9.625 9.875 2.38151e+06
10.00 0.000270155 9.13143e-05 0.000104534 9.875 10.125 3.44893e+06
10.25 0.0033378 0.000679101 0.00131936 10.125 10.375 2.47606e+06
10.50 0.0134969 0.00254528 0.00412275 10.375 10.625 1.5517e+06
10.75 0.0228098 0.00497524 0.00542907 10.625 10.875 960427
11.00 0.0260557 0.004909 0.00550289 10.875 11.125 589031
11.25 0.0244665 0.00297746 0.00526274 11.125 11.375 346244
11.50 0.0202492 0.00063494 0.00556339 11.375 11.625 204197
11.75 0.0198264 0 0.00647574 11.625 11.875 119375
12.00 0.0294279 -0.00109677 0.0101292 11.875 12.125 69584
12.25 0.0587855 -0.0034256 0.0207089 12.125 12.375 40380
12.50 0.1174 -0.00618592 0.0377724 12.375 12.625 22775
12.75 0.207061 -0.00851594 0.0586205 12.625 12.875 12969
13.00 0.331897 -0.00882623 0.0784469 12.875 13.125 7227
13.25 0.458578 -0.00798136 0.0906669 13.125 13.375 3792
13.50 0.579009 -3.82662e-05 0.0902951 13.375 13.625 1933
13.75 0.66739 0.0106397 0.0741367 13.625 13.875 957
14.00 0.743172 0.0134151 0.0669169 13.875 14.125 418
14.25 0.808077 0.0256811 0.0530789 14.125 14.375 170
14.50 0.854045 0.0327433 0.0316908 14.375 14.625 37
14.75 0.896891 0.0171121 0.0386577 14.625 14.875 10
15.00 0.936664 0.0197514 0.0166855 14.875 15.125 2
15.25 0 0 0 15.125 15.375 0
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
