#Peak halo masses in Msun
#Average fraction of mass accreted from galaxy mergers as opposed to formed in situ.
#Log10(HM) F_ex_situ Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 1.45151e-08 2.45742e-10 2.1912e-10 8.625 8.875 29106
9.00 1.44397e-08 3.70538e-10 -6.0103e-11 8.875 9.125 49344
9.25 0.000233766 5.28774e-06 6.43837e-05 9.125 9.375 220724
9.50 0.000161666 2.10762e-05 3.87134e-05 9.375 9.625 752002
9.75 8.39009e-05 2.87799e-05 2.30941e-05 9.625 9.875 1.98987e+06
10.00 0.000222539 8.24784e-05 9.4345e-05 9.875 10.125 3.057e+06
10.25 0.00309998 0.000711452 0.00117545 10.125 10.375 2.30721e+06
10.50 0.0126347 0.00266603 0.00358031 10.375 10.625 1.4688e+06
10.75 0.0214336 0.00467575 0.00417693 10.625 10.875 914529
11.00 0.0248632 0.00481084 0.00407679 10.875 11.125 566217
11.25 0.0247803 0.00293246 0.00433686 11.125 11.375 339560
11.50 0.0226228 0.000229867 0.00561649 11.375 11.625 202151
11.75 0.0244336 -0.000273621 0.00760393 11.625 11.875 120166
12.00 0.0376184 -0.00130359 0.0117123 11.875 12.125 70707
12.25 0.071993 -0.00327769 0.0222073 12.125 12.375 41437
12.50 0.134942 -0.00582565 0.036683 12.375 12.625 24145
12.75 0.236911 -0.00695343 0.0558609 12.625 12.875 14057
13.00 0.362162 -0.00745031 0.0724056 12.875 13.125 7945
13.25 0.494588 -0.00667948 0.0816604 13.125 13.375 4409
13.50 0.610332 -0.00316507 0.0804376 13.375 13.625 2385
13.75 0.71435 0.00438076 0.067086 13.625 13.875 1234
14.00 0.7848 0.0107749 0.0586785 13.875 14.125 599
14.25 0.829687 0.0169454 0.0445862 14.125 14.375 278
14.50 0.857234 0.0189976 0.0337855 14.375 14.625 89
14.75 0.913226 0.0132972 0.028522 14.625 14.875 34
15.00 0.908535 0.032311 0.0275219 14.875 15.125 3
15.25 0.948778 0.0155878 0.0130302 15.125 15.375 1
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
