#Peak halo masses in Msun
#Average fraction of mass accreted from galaxy mergers as opposed to formed in situ.
#Log10(HM) F_ex_situ Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 1.66913e-06 3.30267e-07 2.93954e-07 8.625 8.875 29559
9.00 3.38229e-06 1.41579e-08 3.2951e-08 8.875 9.125 53104
9.25 0.000162449 1.24645e-05 2.87142e-05 9.125 9.375 252266
9.50 0.000155674 2.48874e-05 2.43017e-05 9.375 9.625 1.01175e+06
9.75 0.000124346 4.77547e-05 2.75946e-05 9.625 9.875 2.80541e+06
10.00 0.000319579 0.000106553 0.000117383 9.875 10.125 3.68279e+06
10.25 0.00355157 0.000744215 0.00139062 10.125 10.375 2.57929e+06
10.50 0.0141912 0.00295976 0.00447699 10.375 10.625 1.60453e+06
10.75 0.0242578 0.00549289 0.00623569 10.625 10.875 989655
11.00 0.0281434 0.00598683 0.00661416 10.875 11.125 598690
11.25 0.0261163 0.0036478 0.00623724 11.125 11.375 348588
11.50 0.0209061 0.00116885 0.00614272 11.375 11.625 202961
11.75 0.0183555 0.000412026 0.00602251 11.625 11.875 117686
12.00 0.024205 -0.000600342 0.0085267 11.875 12.125 67729
12.25 0.0480685 -0.00244017 0.0174777 12.125 12.375 38590
12.50 0.0980467 -0.00503889 0.0333618 12.375 12.625 21652
12.75 0.185532 -0.00805926 0.0581374 12.625 12.875 11869
13.00 0.296719 -0.00860941 0.0787297 12.875 13.125 6323
13.25 0.420189 -0.00503176 0.092281 13.125 13.375 3258
13.50 0.538157 0.000815749 0.0969095 13.375 13.625 1571
13.75 0.622885 0.0132302 0.0805914 13.625 13.875 717
14.00 0.71362 0.0158505 0.0744367 13.875 14.125 285
14.25 0.774017 0.0293633 0.0625808 14.125 14.375 104
14.50 0.855993 0.0254664 0.0374886 14.375 14.625 17
14.75 0.897727 0.022545 0.0480207 14.625 14.875 4
15.00 0.854187 0.0608554 0.0494711 14.875 15.125 1
15.25 0 0 0 15.125 15.375 0
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
