#Peak halo masses in Msun
#Average fraction of mass accreted from galaxy mergers as opposed to formed in situ.
#Log10(HM) F_ex_situ Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 1.4131e-08 5.59779e-10 -2.15818e-10 8.625 8.875 35351
9.00 2.44667e-08 1.55887e-09 3.19427e-09 8.875 9.125 63854
9.25 0.000148649 3.3691e-06 3.91935e-05 9.125 9.375 306800
9.50 0.000157169 1.88355e-05 2.99338e-05 9.375 9.625 1.25565e+06
9.75 0.000147992 4.65554e-05 3.30508e-05 9.625 9.875 3.22044e+06
10.00 0.000381533 0.000126528 0.000137173 9.875 10.125 3.86506e+06
10.25 0.00380338 0.000792036 0.00151708 10.125 10.375 2.65627e+06
10.50 0.0150151 0.00350081 0.00493186 10.375 10.625 1.64444e+06
10.75 0.0257292 0.00587841 0.00725207 10.625 10.875 1.01092e+06
11.00 0.0303921 0.00615826 0.00757236 10.875 11.125 600138
11.25 0.0284133 0.0042366 0.00746461 11.125 11.375 346214
11.50 0.0232808 0.00166192 0.00718938 11.375 11.625 199053
11.75 0.0191129 0.000646446 0.00627666 11.625 11.875 113966
12.00 0.0218026 -6.77612e-05 0.00744943 11.875 12.125 64645
12.25 0.0393563 -0.00180403 0.0144117 12.125 12.375 36024
12.50 0.0841835 -0.00388534 0.0311391 12.375 12.625 19851
12.75 0.159705 -0.00892878 0.0532308 12.625 12.875 10466
13.00 0.263382 -0.00710136 0.0758012 12.875 13.125 5427
13.25 0.384351 -0.00355402 0.0949216 13.125 13.375 2654
13.50 0.489919 0.00105903 0.0997646 13.375 13.625 1208
13.75 0.568378 0.021221 0.0877397 13.625 13.875 496
14.00 0.685795 0.0212625 0.089044 13.875 14.125 183
14.25 0.765695 0.028966 0.0639234 14.125 14.375 47
14.50 0.823396 0.0236304 0.076264 14.375 14.625 7
14.75 0.894937 0.0172541 0.0459607 14.625 14.875 2
15.00 0 0 0 14.875 15.125 0
15.25 0 0 0 15.125 15.375 0
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
