#Peak halo masses in Msun
#Average fraction of mass accreted from galaxy mergers as opposed to formed in situ.
#Log10(HM) F_ex_situ Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 1.44015e-08 1.79354e-10 3.85452e-11 8.625 8.875 84249
9.00 5.57345e-08 6.02727e-09 2.49002e-08 8.875 9.125 145647
9.25 0.00016078 1.40744e-05 2.39247e-05 9.125 9.375 606276
9.50 0.000192114 2.38208e-05 3.95154e-05 9.375 9.625 2.10726e+06
9.75 0.000214429 4.84792e-05 4.86971e-05 9.625 9.875 4.26083e+06
10.00 0.000622046 0.000183776 0.000210168 9.875 10.125 4.05599e+06
10.25 0.00454087 0.00105904 0.00179624 10.125 10.375 2.67869e+06
10.50 0.0169899 0.00364203 0.00590353 10.375 10.625 1.65137e+06
10.75 0.0287941 0.00636774 0.00959617 10.625 10.875 993342
11.00 0.0341263 0.006774 0.0108215 10.875 11.125 557848
11.25 0.0324116 0.00572 0.0121312 11.125 11.375 307743
11.50 0.030263 0.00352491 0.0120238 11.375 11.625 170204
11.75 0.0275458 0.00149819 0.0111252 11.625 11.875 92637
12.00 0.0250602 0.000384372 0.00972436 11.875 12.125 49162
12.25 0.0299805 -0.00138753 0.0126167 12.125 12.375 25333
12.50 0.0542593 -0.00402881 0.023437 12.375 12.625 12705
12.75 0.104483 -0.00718568 0.0425269 12.625 12.875 5932
13.00 0.175482 -0.00345407 0.0606064 12.875 13.125 2575
13.25 0.253238 0.0048359 0.0777818 13.125 13.375 1049
13.50 0.341358 0.0193703 0.0846597 13.375 13.625 371
13.75 0.447905 0.035101 0.093559 13.625 13.875 110
14.00 0.552439 0.0317239 0.0981734 13.875 14.125 16
14.25 0.584156 0.0499412 0.0886431 14.125 14.375 3
14.50 0 0 0 14.375 14.625 0
14.75 0 0 0 14.625 14.875 0
15.00 0 0 0 14.875 15.125 0
15.25 0 0 0 15.125 15.375 0
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
