#Peak halo masses in Msun
#Average fraction of mass accreted from galaxy mergers as opposed to formed in situ.
#Log10(HM) F_ex_situ Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 1.41407e-08 5.77674e-10 -2.28753e-10 8.625 8.875 41169
9.00 1.46103e-08 1.27873e-10 9.7284e-11 8.875 9.125 74119
9.25 0.000160404 1.22025e-05 2.5896e-05 9.125 9.375 349751
9.50 0.000176387 2.16113e-05 3.52548e-05 9.375 9.625 1.39489e+06
9.75 0.000158561 4.58051e-05 3.62648e-05 9.625 9.875 3.41035e+06
10.00 0.000416526 0.000139991 0.000152781 9.875 10.125 3.93438e+06
10.25 0.00394114 0.000858592 0.00157054 10.125 10.375 2.68454e+06
10.50 0.015385 0.00359711 0.00508039 10.375 10.625 1.65819e+06
10.75 0.0264758 0.00642867 0.00757268 10.625 10.875 1.01757e+06
11.00 0.0314049 0.0063181 0.00822972 10.875 11.125 598408
11.25 0.0295265 0.00442385 0.00840354 11.125 11.375 342348
11.50 0.0248116 0.00194642 0.00805777 11.375 11.625 196016
11.75 0.0201405 0.00077096 0.00682025 11.625 11.875 111256
12.00 0.0213469 0.000132453 0.00740168 11.875 12.125 62711
12.25 0.0367222 -0.00161327 0.0139508 12.125 12.375 34441
12.50 0.0771541 -0.00407584 0.0292173 12.375 12.625 18765
12.75 0.148528 -0.00813824 0.0515795 12.625 12.875 9785
13.00 0.247877 -0.00721331 0.0763924 12.875 13.125 4922
13.25 0.364475 -0.00305477 0.0928473 13.125 13.375 2341
13.50 0.453738 0.00760978 0.094961 13.375 13.625 1013
13.75 0.557259 0.0179191 0.09496 13.625 13.875 415
14.00 0.662922 0.0272669 0.10259 13.875 14.125 142
14.25 0.774234 0.0264542 0.072601 14.125 14.375 26
14.50 0.658967 0.0745929 0.0915942 14.375 14.625 2
14.75 0.937089 0.0137946 0.0243531 14.625 14.875 1
15.00 0 0 0 14.875 15.125 0
15.25 0 0 0 15.125 15.375 0
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
