#Peak halo masses in Msun
#Average fraction of mass accreted from galaxy mergers as opposed to formed in situ.
#Log10(HM) F_ex_situ Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 1.46841e-08 -7.8284e-12 3.55486e-10 8.625 8.875 39946
9.00 1.4816e-08 -8.51683e-11 3.2871e-10 8.875 9.125 72257
9.25 0.000140865 1.11831e-05 2.52288e-05 9.125 9.375 342198
9.50 0.000171886 2.12772e-05 3.41169e-05 9.375 9.625 1.37122e+06
9.75 0.0001572 4.59296e-05 3.58795e-05 9.625 9.875 3.37709e+06
10.00 0.000410135 0.000138383 0.000150702 9.875 10.125 3.92278e+06
10.25 0.00392093 0.000847492 0.00156016 10.125 10.375 2.68033e+06
10.50 0.0153191 0.00361106 0.00505206 10.375 10.625 1.65614e+06
10.75 0.0263517 0.00635498 0.0075058 10.625 10.875 1.01694e+06
11.00 0.0312548 0.0063171 0.00813889 10.875 11.125 598833
11.25 0.0293608 0.00438034 0.00824527 11.125 11.375 343083
11.50 0.0245362 0.00186952 0.00789062 11.375 11.625 196561
11.75 0.019885 0.000773741 0.00673315 11.625 11.875 111754
12.00 0.021442 0.000132043 0.00740598 11.875 12.125 63101
12.25 0.0371012 -0.00158824 0.014058 12.125 12.375 34762
12.50 0.0783074 -0.00421503 0.0295635 12.375 12.625 18954
12.75 0.150405 -0.00829679 0.0521833 12.625 12.875 9875
13.00 0.25076 -0.00709832 0.0760397 12.875 13.125 5019
13.25 0.365676 -0.00151393 0.0924985 13.125 13.375 2385
13.50 0.462792 0.00707287 0.0967137 13.375 13.625 1057
13.75 0.557821 0.0188162 0.0937752 13.625 13.875 424
14.00 0.668212 0.0258517 0.0969764 13.875 14.125 152
14.25 0.777921 0.0221985 0.0778653 14.125 14.375 28
14.50 0.714072 0.0855691 0.0686239 14.375 14.625 2
14.75 0.817915 0.0624161 0.0370139 14.625 14.875 2
15.00 0 0 0 14.875 15.125 0
15.25 0 0 0 15.125 15.375 0
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
