#Scale: 0.683373
#h: 0.680000
#Stellar mass range: 10^10.00 - 10^10.50 Msun
#Assumed pi_max: 80.000000 Mpc/h
#Assumed redshift errors: 1447.7 km/s
#Quenched Threshold: SSFR < 1e-11 / yr.
#All units for R_p and w_p(R_p) are Mpc/h.
#Bin_center(0) W_p(all)(1) Err+(2) Err-(3) W_p(SF)(4) Err+(5) Err-(6) W_p(Q)(7) Err+(8) Err-(9) W_p(SFxQ)(10) Err+(11) Err-(12) Bin_left_edge(13) Bin_right_edge(14) 
0.132512 264.261 24.1172 8.50308 157.548 12.924 7.30835 603.591 88.5905 10.5533 294.413 24.6806 13.0187 0.1 0.158489
0.210017 203.179 13.1059 8.55836 127.667 7.9874 9.30373 456.355 41.7054 18.0454 221.388 14.9016 9.12079 0.158489 0.251189
0.332855 151.74 6.41411 7.82307 94.0884 4.38721 6.40599 331.26 25.5635 19.9556 168.94 7.69835 8.02722 0.251189 0.398107
0.52754 110.751 2.46266 6.14648 72.6544 2.69821 4.8316 229.922 13.5517 16.6677 121.986 2.78249 6.62709 0.398107 0.630957
0.836094 74.9368 1.65539 3.11773 52.0988 1.92406 2.18794 144.45 5.75987 9.81248 82.1338 2.01807 3.46551 0.630957 1
1.32512 48.5284 0.876884 1.56206 36.3391 0.990208 1.5496 81.8597 3.64529 3.78639 53.2723 1.01796 1.63718 1 1.58489
2.10017 32.7206 0.643784 0.654881 26.3791 0.708021 0.801804 48.3431 2.15006 1.27698 35.6003 0.72258 0.687115 1.58489 2.51189
3.32855 22.2631 0.536133 0.324736 18.1523 0.480188 0.460007 33.2851 1.04947 0.903431 23.9156 0.680719 0.204929 2.51189 3.98107
5.2754 15.4213 0.384259 0.147474 12.9284 0.239981 0.348973 21.4458 1.4258 0.131208 16.5812 0.463734 0.075695 3.98107 6.30957
8.36094 10.0151 0.187006 0.167441 8.26293 0.0963488 0.285391 14.2302 0.8633 0.132816 10.835 0.236581 0.1179 6.30957 10
