#Scale: 0.979529
#h: 0.680000
#Stellar mass range: 10^10.50 - 10^11.00 Msun
#Assumed pi_max: 80.000000 Mpc/h
#Assumed redshift errors: 1010.0 km/s
#Quenched Threshold: SSFR < 1e-11 / yr.
#All units for R_p and w_p(R_p) are Mpc/h.
#Bin_center(0) W_p(all)(1) Err+(2) Err-(3) W_p(SF)(4) Err+(5) Err-(6) W_p(Q)(7) Err+(8) Err-(9) W_p(SFxQ)(10) Err+(11) Err-(12) Bin_left_edge(13) Bin_right_edge(14) 
0.132512 444.872 32.2422 8.91205 209.341 4.78647 27.8018 729.375 43.0494 54.3989 371.749 12.6929 28.7607 0.1 0.158489
0.210017 338.525 17.2059 13.7996 154.542 1.2916 17.2228 577.554 15.506 60.0434 271.309 6.71411 26.226 0.158489 0.251189
0.332855 243.288 9.68233 11.9496 102.602 4.22559 9.86301 415.924 3.08713 48.8991 197.988 3.09842 21.4083 0.251189 0.398107
0.52754 174.734 4.25246 9.29752 87.3255 2.36511 7.86993 280.744 -0.374329 33.0036 147.34 0.429749 14.3632 0.398107 0.630957
0.836094 116.976 2.21661 5.41205 64.4114 1.31763 4.67919 181.696 -0.755814 20.3865 99.9195 -0.0420532 8.33819 0.630957 1
1.32512 72.363 0.935265 2.31873 46.197 0.451153 2.82172 103.189 -0.482338 9.51718 64.7088 0.188644 4.04843 1 1.58489
2.10017 46.293 0.348755 1.2439 32.5674 0.188683 2.05091 60.9423 0.0516777 3.93643 43.1923 -0.155849 2.42918 1.58489 2.51189
3.32855 30.8457 0.328287 0.510242 23.4787 0.101694 1.33879 38.2236 0.267933 1.45511 29.473 0.0404263 1.23194 2.51189 3.98107
5.2754 21.2046 0.203474 0.297287 16.4365 0.12973 0.685868 25.8566 0.182688 1.06732 20.3901 0.0223656 0.733166 3.98107 6.30957
8.36094 14.6189 0.0903711 0.245828 10.9515 0.0950737 0.526914 18.0277 0.0582161 0.856318 14.0942 -0.0244379 0.595851 6.30957 10
