#Scale: 0.827654
#h: 0.680000
#Stellar mass range: 10^11.00 - 10^14.00 Msun
#Assumed pi_max: 80.000000 Mpc/h
#Assumed redshift errors: 1195.3 km/s
#Quenched Threshold: SSFR < 1e-11 / yr.
#All units for R_p and w_p(R_p) are Mpc/h.
#Bin_center(0) W_p(all)(1) Err+(2) Err-(3) W_p(SF)(4) Err+(5) Err-(6) W_p(Q)(7) Err+(8) Err-(9) W_p(SFxQ)(10) Err+(11) Err-(12) Bin_left_edge(13) Bin_right_edge(14) 
0.132512 1028.74 92.0387 17.0937 436.205 49.185 62.9731 1313.59 99.4019 36.7649 637.029 63.9894 9.16742 0.1 0.158489
0.210017 674.348 18.7665 37.1652 173.154 33.6065 21.0224 871.807 18.7854 55.0942 416.228 11.9163 33.5218 0.158489 0.251189
0.332855 389.851 13.9093 14.6635 129.804 17.7091 34.2732 498.19 15.0638 24.8846 246.012 10.4782 10.9827 0.251189 0.398107
0.52754 239.402 5.0569 11.8339 81.0513 8.81088 14.3603 295.012 6.34995 16.0145 169.262 2.98607 13.196 0.398107 0.630957
0.836094 140.419 2.30966 6.44707 76.0498 -0.652519 12.4745 170.992 2.39072 9.50832 98.4883 3.90612 4.94504 0.630957 1
1.32512 86.1147 2.22318 2.041 55.8363 4.64172 0 99.5639 2.99741 1.88887 67.961 0.961044 4.44929 1 1.58489
2.10017 58.7052 0.787643 1.43965 39.1258 0.887959 3.7452 66.5241 1.03574 1.58443 48.4444 0.561852 2.00526 1.58489 2.51189
3.32855 40.6545 0.935837 0.647114 28.1877 -0.219717 2.12943 45.3345 1.36412 0.373585 34.6235 0.628563 1.79227 2.51189 3.98107
5.2754 28.2965 0.824911 0.27191 18.2376 0.698492 1.45781 31.2812 0.864058 0.266701 24.7632 0.894751 0.837385 3.98107 6.30957
8.36094 18.7683 0.366938 0.274063 13.1913 0.328431 1.23194 20.7744 0.289318 0.366491 16.2178 0.435041 0.419617 6.30957 10
