#Scale: 0.430247
#h: 0.680000
#Stellar mass range: 10^11.00 - 10^14.00 Msun
#Assumed pi_max: 80.000000 Mpc/h
#Assumed redshift errors: 2299.4 km/s
#Quenched Threshold: SSFR < 1e-11 / yr.
#All units for R_p and w_p(R_p) are Mpc/h.
#Bin_center(0) W_p(all)(1) Err+(2) Err-(3) W_p(SF)(4) Err+(5) Err-(6) W_p(Q)(7) Err+(8) Err-(9) W_p(SFxQ)(10) Err+(11) Err-(12) Bin_left_edge(13) Bin_right_edge(14) 
0.132512 1007.67 124.651 39.8205 409.372 30.9492 24.7596 2012.55 204.119 147.136 708.098 91.9565 37.8068 0.1 0.158489
0.210017 525.183 57.376 20.1959 266.883 31.6661 9.45673 974.924 108.277 58.7502 386.895 24.6549 20.1599 0.158489 0.251189
0.332855 283.556 40.9948 6.58224 115.858 10.9403 6.59074 510.297 71.4094 22.724 230.486 26.4541 10.1924 0.251189 0.398107
0.52754 163.187 13.0343 8.58582 104.212 6.98682 6.96837 250.721 23.0557 14.126 140.138 5.87202 10.7256 0.398107 0.630957
0.836094 107.112 7.84516 3.82993 64.343 2.35028 3.10328 151.056 12.7946 4.81865 101.388 5.06419 5.49186 0.630957 1
1.32512 68.9543 5.37119 2.0729 40.7949 3.69296 0.351997 94.7974 9.89094 3.47591 66.9247 1.80638 3.53417 1 1.58489
2.10017 49.1646 3.63726 1.00832 30.8961 1.46555 1.2501 67.4377 4.30361 1.93837 46.9998 3.35528 1.12607 1.58489 2.51189
3.32855 33.1893 2.2539 0.660973 22.9732 1.3476 0.297174 46.6336 1.95115 2.52159 30.1635 2.28245 0.23012 2.51189 3.98107
5.2754 21.0674 1.24221 0.577248 14.0062 0.832439 0.455399 29.5874 1.37052 1.54115 19.4106 0.941179 0.493181 3.98107 6.30957
8.36094 12.2973 0.794468 0.383561 9.40533 0.744088 0.211177 15.7007 0.64535 0.790169 11.667 0.819969 0.353515 6.30957 10
