#Scale: 0.774498
#h: 0.680000
#Stellar mass range: 10^10.00 - 10^10.50 Msun
#Assumed pi_max: 80.000000 Mpc/h
#Assumed redshift errors: 1277.4 km/s
#Quenched Threshold: SSFR < 1e-11 / yr.
#All units for R_p and w_p(R_p) are Mpc/h.
#Bin_center(0) W_p(all)(1) Err+(2) Err-(3) W_p(SF)(4) Err+(5) Err-(6) W_p(Q)(7) Err+(8) Err-(9) W_p(SFxQ)(10) Err+(11) Err-(12) Bin_left_edge(13) Bin_right_edge(14) 
0.132512 283.091 18.5268 12.4824 173.636 2.88239 12.6338 630.655 71.7267 15.8944 293.879 23.659 9.55807 0.1 0.158489
0.210017 228.155 10.6684 13.0639 132.088 7.16743 7.2162 514.637 33.0924 31.7755 242.554 12.5402 11.8295 0.158489 0.251189
0.332855 173.61 5.59705 10.6666 103.452 5.21146 4.85934 376.734 18.7612 30.0442 185.744 6.09288 10.6156 0.251189 0.398107
0.52754 126.875 2.06778 8.09975 76.722 3.54917 3.85271 265.549 7.59518 26.223 137.283 2.7887 8.6116 0.398107 0.630957
0.836094 85.7059 1.10484 4.72621 57.188 1.66501 3.07779 164.017 3.59538 15.6781 91.7672 1.885 4.31962 0.630957 1
1.32512 55.2905 0.550972 2.38389 39.9344 1.41413 1.18534 94.0903 0.527519 7.96278 59.4487 0.60931 2.4538 1 1.58489
2.10017 35.3289 0.465374 0.984177 27.4601 0.845894 0.488075 54.2335 0.268738 3.13178 37.7188 0.545311 0.933334 1.58489 2.51189
3.32855 24.446 0.413111 0.492092 19.6797 0.668591 0.329103 35.5021 0.526058 1.41685 25.9982 0.475355 0.447922 2.51189 3.98107
5.2754 16.8407 0.372324 0.171726 13.9263 0.388903 0.223278 23.2411 0.693842 0.359701 17.8853 0.444843 0.120176 3.98107 6.30957
8.36094 11.0451 0.200706 0.142192 9.02864 0.246644 0.167382 15.4431 0.297732 0.25162 11.7757 0.251029 0.108377 6.30957 10
