#Scale: 0.690967
#h: 0.680000
#Stellar mass range: 10^11.00 - 10^14.00 Msun
#Assumed pi_max: 80.000000 Mpc/h
#Assumed redshift errors: 1431.8 km/s
#Quenched Threshold: SSFR < 1e-11 / yr.
#All units for R_p and w_p(R_p) are Mpc/h.
#Bin_center(0) W_p(all)(1) Err+(2) Err-(3) W_p(SF)(4) Err+(5) Err-(6) W_p(Q)(7) Err+(8) Err-(9) W_p(SFxQ)(10) Err+(11) Err-(12) Bin_left_edge(13) Bin_right_edge(14) 
0.132512 978.887 56.3697 49.7263 232.013 34.0634 44.4577 1356.66 61.6619 68.8276 566.865 43.1124 31.8365 0.1 0.158489
0.210017 589.328 24.5857 26.0457 185.549 30.4959 14.524 780.898 37.2606 32.4689 384.753 2.40302 27.5471 0.158489 0.251189
0.332855 345.763 12.4344 15.8462 108.699 18.457 -1.07615 455.735 14.2141 19.4498 229.242 8.48155 15.0387 0.251189 0.398107
0.52754 212.42 8.17125 8.33231 105.848 11.2956 9.16689 261.755 12.1957 7.26625 160.186 1.39996 11.3526 0.398107 0.630957
0.836094 131.532 2.30333 6.96514 68.688 4.55345 4.83815 159.534 2.04123 7.80101 102.296 0.867874 6.76572 0.630957 1
1.32512 80.1934 0.883728 3.34423 48.359 0.279369 5.29099 93.2528 1.97603 2.25191 66.9977 0 4.88626 1 1.58489
2.10017 55.8366 1.19668 1.41095 45.2519 -0.104477 3.94849 62.0332 2.10759 0.913036 48.7876 0.422413 2.39498 1.58489 2.51189
3.32855 39.5911 0.970882 0.766769 27.4132 0.377094 1.93338 44.6057 1.42527 0.724373 34.5159 0.553802 1.1254 2.51189 3.98107
5.2754 26.7537 0.729729 0.466749 19.1974 -0.0552273 1.07811 29.8833 1.00317 0.144592 23.5785 0.47197 0.971275 3.98107 6.30957
8.36094 17.3053 0.538265 0.270376 11.9177 0.406865 0.483543 19.241 0.656437 0.16481 15.4658 0.375739 0.421393 6.30957 10
