#Scale: 0.470747
#h: 0.680000
#Stellar mass range: 10^10.50 - 10^11.00 Msun
#Assumed pi_max: 80.000000 Mpc/h
#Assumed redshift errors: 2101.6 km/s
#Quenched Threshold: SSFR < 1e-11 / yr.
#All units for R_p and w_p(R_p) are Mpc/h.
#Bin_center(0) W_p(all)(1) Err+(2) Err-(3) W_p(SF)(4) Err+(5) Err-(6) W_p(Q)(7) Err+(8) Err-(9) W_p(SFxQ)(10) Err+(11) Err-(12) Bin_left_edge(13) Bin_right_edge(14) 
0.132512 473.444 41.75 10.942 260.715 20.4158 19.3168 955.011 122.651 11.5594 444.884 33.8763 28.1622 0.1 0.158489
0.210017 293.652 19.2133 11.265 148.194 10.6705 12.5344 592.712 53.2018 19.9738 285.104 16.5277 19.7112 0.158489 0.251189
0.332855 174.218 9.71045 7.10373 96.4132 5.35207 7.97269 329.151 23.7901 10.5603 171.475 8.54439 10.2864 0.251189 0.398107
0.52754 106.255 4.64468 4.42112 69.3659 2.82719 4.98034 178.385 11.01 4.95432 105.437 3.88721 5.35941 0.398107 0.630957
0.836094 68.8324 2.44117 1.93237 50.6303 1.38924 2.03175 100.85 4.13584 2.20352 69.7267 2.48318 2.33791 0.630957 1
1.32512 48.9395 1.76411 0.822838 38.5149 1.32703 1.17974 69.2817 2.79693 0.887321 48.7233 1.61023 1.12461 1 1.58489
2.10017 35.4545 1.28357 0.465122 27.8119 1.07064 0.736591 49.5637 1.85146 0.797611 35.5883 1.12702 0.597126 1.58489 2.51189
3.32855 24.3199 0.649687 0.410187 18.7853 0.59248 0.517487 32.4854 0.901543 0.573681 25.1623 0.560076 0.495111 2.51189 3.98107
5.2754 15.4791 0.447409 0.201363 11.9426 0.321471 0.244658 20.596 0.599178 0.333065 16.0541 0.416986 0.261607 3.98107 6.30957
8.36094 8.75065 0.289944 0.103136 6.60312 0.198485 0.217854 12.3428 0.677254 0.106874 8.92379 0.236121 0.165124 6.30957 10
