#Scale: 0.820060
#h: 0.680000
#Stellar mass range: 10^10.00 - 10^10.50 Msun
#Assumed pi_max: 80.000000 Mpc/h
#Assumed redshift errors: 1206.4 km/s
#Quenched Threshold: SSFR < 1e-11 / yr.
#All units for R_p and w_p(R_p) are Mpc/h.
#Bin_center(0) W_p(all)(1) Err+(2) Err-(3) W_p(SF)(4) Err+(5) Err-(6) W_p(Q)(7) Err+(8) Err-(9) W_p(SFxQ)(10) Err+(11) Err-(12) Bin_left_edge(13) Bin_right_edge(14) 
0.132512 294.384 19.4957 11.1615 171.039 12.6672 5.78122 647.633 54.6411 20.7173 306.544 23.3759 7.65894 0.1 0.158489
0.210017 236.945 9.52275 14.146 137.745 8.20483 6.78409 522.895 34.1972 35.9352 246.209 10.3342 12.3607 0.158489 0.251189
0.332855 184.132 4.63966 12.0054 109.245 4.84543 6.6076 397.558 14.3688 33.9206 191.806 5.96107 11.0512 0.251189 0.398107
0.52754 134.941 2.31726 7.90913 80.8585 3.42151 4.46277 280.143 10.0263 24.7306 142.973 3.09331 7.52481 0.398107 0.630957
0.836094 92.1246 1.08521 4.93556 59.6614 2.64651 2.16085 174.26 4.28526 15.5176 98.3453 1.18246 5.47849 0.630957 1
1.32512 57.2166 0.769459 2.12357 41.9563 1.25862 1.27053 94.7565 1.83115 5.96004 60.439 0.983524 2.08947 1 1.58489
2.10017 36.7741 0.460335 0.932484 28.8021 0.759119 0.644796 54.6369 0.741982 2.38988 38.9445 0.777763 0.774807 1.58489 2.51189
3.32855 25.3097 0.371569 0.463522 20.5587 0.607546 0.33687 35.8104 0.62606 1.00135 26.6434 0.510838 0.383753 2.51189 3.98107
5.2754 17.2488 0.428646 0.155096 14.283 0.42989 0.207291 23.4563 0.720009 0.267607 18.178 0.545464 0.0655289 3.98107 6.30957
8.36094 11.4068 0.237048 0.136922 9.44097 0.21633 0.201791 15.4508 0.584484 0.127748 12.0423 0.328293 0.0913506 6.30957 10
