#Scale: 0.420122
#h: 0.680000
#Stellar mass range: 10^11.00 - 10^14.00 Msun
#Assumed pi_max: 80.000000 Mpc/h
#Assumed redshift errors: 2354.8 km/s
#Quenched Threshold: SSFR < 1e-11 / yr.
#All units for R_p and w_p(R_p) are Mpc/h.
#Bin_center(0) W_p(all)(1) Err+(2) Err-(3) W_p(SF)(4) Err+(5) Err-(6) W_p(Q)(7) Err+(8) Err-(9) W_p(SFxQ)(10) Err+(11) Err-(12) Bin_left_edge(13) Bin_right_edge(14) 
0.132512 1075 144.112 28.3545 596.748 85.1838 41.4716 2078.99 249.524 79.0505 757.022 66.0101 56.4802 0.1 0.158489
0.210017 522.893 77.5412 22.9742 233.513 23.9118 22.6141 960.335 133.805 38.7877 421.983 49.1729 33.7034 0.158489 0.251189
0.332855 282.215 29.9124 13.8553 84.0798 5.47034 10.6103 532.622 71.2966 23.6054 239.543 12.403 24.3011 0.251189 0.398107
0.52754 162.18 16.471 4.77144 106.879 10.9168 6.13582 242.649 29.2659 4.05159 144.578 7.65521 10.621 0.398107 0.630957
0.836094 107.014 7.87112 3.92199 59.9836 3.60053 1.1389 161.57 10.441 6.55841 99.5126 4.0602 6.16571 0.630957 1
1.32512 71.3831 5.11694 2.8901 38.9531 3.14683 0.635677 93.799 6.27644 3.48611 74.39 3.28793 4.62121 1 1.58489
2.10017 49.0834 4.11347 1.29365 31.8036 1.51515 2.19619 67.3047 5.15608 2.84535 47.308 3.35234 1.04537 1.58489 2.51189
3.32855 33.0499 2.21343 0.655518 23.1075 1.59867 0.212566 42.7751 3.05806 1.47108 32.4364 1.49818 1.06754 2.51189 3.98107
5.2754 20.8375 1.21965 0.637398 14.028 0.510768 0.629439 27.682 1.72415 1.32286 20.3186 0.836502 0.672297 3.98107 6.30957
8.36094 12.1725 0.866426 0.365487 8.66048 0.635195 0.127381 16.2165 1.0415 0.887119 11.6282 0.648102 0.397849 6.30957 10
