#Scale: 0.133248
#h: 0.680000
#Stellar mass range: 10^10.00 - 10^10.50 Msun
#Assumed pi_max: 80.000000 Mpc/h
#Assumed redshift errors: 7424.6 km/s
#Quenched Threshold: SSFR < 1e-11 / yr.
#All units for R_p and w_p(R_p) are Mpc/h.
#Bin_center(0) W_p(all)(1) Err+(2) Err-(3) W_p(SF)(4) Err+(5) Err-(6) W_p(Q)(7) Err+(8) Err-(9) W_p(SFxQ)(10) Err+(11) Err-(12) Bin_left_edge(13) Bin_right_edge(14) 
0.132512 9681.77 17548.3 4518.31 9688.99 17786.1 9848.99 -160 160 0 -160 6539.3 0 0.1 0.158489
0.210017 12157 10818.8 5044.56 12166.1 9499.89 5459.68 -160 160 0 -160 10639.1 -160 0.158489 0.251189
0.332855 2561.39 481.99 1124.95 2563.39 502.758 1176.42 -160 160 0 -160 160 0 0.251189 0.398107
0.52754 1044.62 378.89 283.259 1045.5 435.113 277.091 -160 160 0 -160 160 0 0.398107 0.630957
0.836094 513.701 61.0543 418.037 514.195 82.9224 419.614 -160 160 0 -160 160 0 0.630957 1
1.32512 372.361 212.363 171.224 372.751 216.502 158.117 -160 160 0 -160 160 0 1 1.58489
2.10017 -60.0927 35.0811 74.7267 -63.2262 37.6413 73.2387 -160 160 0 4212.14 -4203.73 4229.68 1.58489 2.51189
3.32855 34.7164 -4.07 71.466 34.8593 -4.69876 71.4252 -160 160 0 -160 160 -109.423 2.51189 3.98107
5.2754 41.5547 -3.30111 34.1401 41.7025 -1.5637 30.5316 -160 160 0 -160 160 -124.871 3.98107 6.30957
8.36094 31.645 7.70777 22.0795 31.5752 9.41927 21.6255 -160 160 0 126.814 -126.814 139.664 6.30957 10
