#Scale: 0.227748
#h: 0.680000
#Stellar mass range: 10^10.50 - 10^11.00 Msun
#Assumed pi_max: 80.000000 Mpc/h
#Assumed redshift errors: 4343.9 km/s
#Quenched Threshold: SSFR < 1e-11 / yr.
#All units for R_p and w_p(R_p) are Mpc/h.
#Bin_center(0) W_p(all)(1) Err+(2) Err-(3) W_p(SF)(4) Err+(5) Err-(6) W_p(Q)(7) Err+(8) Err-(9) W_p(SFxQ)(10) Err+(11) Err-(12) Bin_left_edge(13) Bin_right_edge(14) 
0.132512 1897.19 304.037 37.5863 1059.06 279.821 188.938 9117.61 3222.59 1888.9 2745.42 2901.39 548.043 0.1 0.158489
0.210017 863.037 89.9678 20.2314 611.166 30.1078 72.6851 3274.05 3159.5 531.72 1088.66 1025.61 133.653 0.158489 0.251189
0.332855 393.826 50.4199 5.63571 308.055 50.7151 19.9645 1231.64 654.365 279.936 468.617 270.748 24.0108 0.251189 0.398107
0.52754 200.047 16.0322 2.08914 159.467 23.5811 3.18109 414.011 177.268 69.8784 257.589 77.2932 30.0681 0.398107 0.630957
0.836094 147.617 8.51598 1.2467 123.765 9.94104 1.59722 315.796 92.0059 84.695 176.289 64.1873 8.57077 0.630957 1
1.32512 117.422 9.87108 1.969 104.379 12.9732 1.9552 124.092 51.6208 0.334984 143.459 25.613 9.26434 1 1.58489
2.10017 71.6198 6.79851 0.503479 62.059 6.55164 1.45292 150.017 87.9866 22.1495 81.7773 35.9334 4.18958 1.58489 2.51189
3.32855 39.2932 4.63188 -0.0212746 33.1649 5.58009 0 79.1645 38.1847 6.79907 47.0645 11.9988 4.52667 2.51189 3.98107
5.2754 20.9616 2.60445 0.141684 17.9849 3.3107 -0.108683 26.204 8.93879 8.04496 26.4519 4.46977 2.28818 3.98107 6.30957
8.36094 9.08734 1.03638 0.365835 7.09588 1.56442 0.213663 20.2241 9.88567 5.33511 11.8336 4.9259 1.19291 6.30957 10
