#Scale: 0.475810
#h: 0.680000
#Stellar mass range: 10^10.50 - 10^11.00 Msun
#Assumed pi_max: 80.000000 Mpc/h
#Assumed redshift errors: 2079.2 km/s
#Quenched Threshold: SSFR < 1e-11 / yr.
#All units for R_p and w_p(R_p) are Mpc/h.
#Bin_center(0) W_p(all)(1) Err+(2) Err-(3) W_p(SF)(4) Err+(5) Err-(6) W_p(Q)(7) Err+(8) Err-(9) W_p(SFxQ)(10) Err+(11) Err-(12) Bin_left_edge(13) Bin_right_edge(14) 
0.132512 485.92 40.7807 11.8062 256.754 13.5749 20.3402 983.549 124.425 9.08105 461.549 35.9116 30.2462 0.1 0.158489
0.210017 287.6 22.6416 7.98755 150.736 10.564 11.3667 574.759 62.941 12.2117 276.705 21.3887 16.7563 0.158489 0.251189
0.332855 173.209 10.2552 6.15712 97.6021 6.03464 6.65775 320.08 26.0797 4.4476 171.48 9.01303 11.8083 0.251189 0.398107
0.52754 106.272 4.54927 4.41747 69.2172 2.7449 4.65554 176.858 11.4129 3.62566 105.935 4.32572 6.17767 0.398107 0.630957
0.836094 68.9985 2.47582 1.69843 52.1831 1.46447 2.82879 99.0678 4.63092 1.93297 69.5606 2.89822 1.78859 0.630957 1
1.32512 48.9361 1.65352 0.941772 37.8287 1.17585 1.45007 69.8748 2.57011 0.995163 48.9149 1.66492 1.14345 1 1.58489
2.10017 35.309 1.31027 0.424927 27.9167 0.981754 0.981943 48.2844 2.73557 0 35.645 1.1471 0.673355 1.58489 2.51189
3.32855 24.2098 0.628082 0.373089 18.9019 0.450809 0.839348 32.6848 1.12741 0.359016 24.7579 0.641163 0.433611 2.51189 3.98107
5.2754 15.5401 0.428997 0.218278 12.0116 0.331914 0.468858 20.8243 0.625498 0.188158 16.0321 0.453955 0.246521 3.98107 6.30957
8.36094 8.83261 0.271985 0.11609 6.77007 0.174286 0.282486 12.0358 0.680043 -0.0287638 9.07847 0.229256 0.203275 6.30957 10
