#Scale: 0.273310
#h: 0.680000
#Stellar mass range: 10^10.00 - 10^10.50 Msun
#Assumed pi_max: 80.000000 Mpc/h
#Assumed redshift errors: 3619.8 km/s
#Quenched Threshold: SSFR < 1e-11 / yr.
#All units for R_p and w_p(R_p) are Mpc/h.
#Bin_center(0) W_p(all)(1) Err+(2) Err-(3) W_p(SF)(4) Err+(5) Err-(6) W_p(Q)(7) Err+(8) Err-(9) W_p(SFxQ)(10) Err+(11) Err-(12) Bin_left_edge(13) Bin_right_edge(14) 
0.132512 686.001 65.8351 56.0435 481.774 50.4523 43.0203 2084.01 1644.97 133.878 910.413 355.007 85.6631 0.1 0.158489
0.210017 339.239 16.2303 27.2474 226.772 23.9987 13.5384 899.47 537.353 -24.4064 489.449 137.52 70.1533 0.158489 0.251189
0.332855 172.433 15.7789 4.98393 125.788 16.4567 10.1431 472.237 255.068 25.9295 226.165 80.703 6.71088 0.251189 0.398107
0.52754 115.87 5.01324 4.79786 96.9327 5.13937 7.06922 266.323 89.0814 24.4631 134.034 32.1379 1.18672 0.398107 0.630957
0.836094 81.8663 4.61773 0.718147 71.6493 5.90482 1.6293 144.034 29.8831 3.1434 94.08 15.8639 1.62107 0.630957 1
1.32512 55.7809 2.00877 1.46776 50.3243 2.14865 1.77596 94.9893 29.577 4.95626 61.5406 9.2331 1.35629 1 1.58489
2.10017 36.009 1.30412 0.765644 29.685 2.61017 0.551464 70.3287 14.5437 8.75729 44.097 5.61378 0.469833 1.58489 2.51189
3.32855 21.4962 0.659605 0.610332 18.2077 1.15333 0.785162 33.8509 16.3765 0 26.3995 3.01289 1.03733 2.51189 3.98107
5.2754 11.9353 0.354889 0.373315 10.1601 0.54934 0.4322 18.5634 3.40415 -0.124426 14.5875 1.62563 0.361387 3.98107 6.30957
8.36094 4.58664 0.304624 0.115087 3.34563 0.349396 0.221689 9.992 5.19044 -0.0999699 6.34239 1.40098 0.0909948 6.30957 10
