#Scale: 0.683373
#h: 0.680000
#Stellar mass range: 10^10.50 - 10^11.00 Msun
#Assumed pi_max: 80.000000 Mpc/h
#Assumed redshift errors: 1447.7 km/s
#Quenched Threshold: SSFR < 1e-11 / yr.
#All units for R_p and w_p(R_p) are Mpc/h.
#Bin_center(0) W_p(all)(1) Err+(2) Err-(3) W_p(SF)(4) Err+(5) Err-(6) W_p(Q)(7) Err+(8) Err-(9) W_p(SFxQ)(10) Err+(11) Err-(12) Bin_left_edge(13) Bin_right_edge(14) 
0.132512 397.592 28.4553 13.6202 198.857 7.61517 9.84891 712.734 71.6432 15.1453 336 19.5182 19.3263 0.1 0.158489
0.210017 279.896 13.9189 11.1378 145.715 3.89113 10.7211 495.91 31.2167 21.9354 236.67 13.072 12.7844 0.158489 0.251189
0.332855 187.575 7.74562 8.81273 96.7355 3.57233 6.50719 329.636 19.1714 16.7002 160.428 7.22432 9.7704 0.251189 0.398107
0.52754 130.186 2.76775 6.86157 77.2497 1.66615 4.84591 211.049 7.14455 13.0837 115.339 2.44035 7.6619 0.398107 0.630957
0.836094 85.6558 0.991142 4.02675 54.1371 1.13796 3.33987 129.458 1.82979 7.58206 79.0175 0.932533 4.05753 0.630957 1
1.32512 55.5073 0.867298 1.81452 38.0706 0.933975 1.53765 76.614 1.37331 2.8379 53.4181 0.835644 1.92403 1 1.58489
2.10017 37.7338 0.609215 0.867699 28.5666 0.726328 0.803535 48.0008 1.03931 0.899574 37.0557 0.523689 1.12521 1.58489 2.51189
3.32855 26.3708 0.515814 0.482916 20.7583 0.454836 0.651453 32.8397 0.78511 0.471397 25.863 0.524925 0.517111 2.51189 3.98107
5.2754 18.0967 0.318653 0.308014 14.1413 0.318865 0.326141 22.211 0.444386 0.353371 17.9639 0.321865 0.325653 3.98107 6.30957
8.36094 11.6254 0.145483 0.220828 9.17546 0.153329 0.243369 14.3257 0.226382 0.260079 11.4661 0.14516 0.261366 6.30957 10
