#Scale: 0.339122
#h: 0.680000
#Stellar mass range: 10^10.50 - 10^11.00 Msun
#Assumed pi_max: 80.000000 Mpc/h
#Assumed redshift errors: 2917.3 km/s
#Quenched Threshold: SSFR < 1e-11 / yr.
#All units for R_p and w_p(R_p) are Mpc/h.
#Bin_center(0) W_p(all)(1) Err+(2) Err-(3) W_p(SF)(4) Err+(5) Err-(6) W_p(Q)(7) Err+(8) Err-(9) W_p(SFxQ)(10) Err+(11) Err-(12) Bin_left_edge(13) Bin_right_edge(14) 
0.132512 802.701 59.032 50.1526 415.024 25.9043 47.0538 1954.59 267.312 109.12 820.491 99.576 81.9611 0.1 0.158489
0.210017 422.879 25.7407 26.2024 242.758 10.6525 23.7848 952.003 135.93 34.7448 432.858 35.4083 40.874 0.158489 0.251189
0.332855 219.401 8.0276 13.8795 137.238 7.5808 16.0657 485.625 37.6975 23.5159 216.929 13.7267 18.1733 0.251189 0.398107
0.52754 127.478 3.62796 5.65301 94.6557 2.81627 4.84788 198.518 22.6607 5.36922 136.464 5.00899 10.4149 0.398107 0.630957
0.836094 86.9205 3.4464 2.81791 64.7603 2.76032 2.83486 132.141 15.6853 2.23929 93.7626 3.95409 4.48885 0.630957 1
1.32512 60.5592 1.89868 1.48393 48.5882 1.61364 2.39625 88.1058 6.22456 2.51685 63.3742 2.43684 1.4455 1 1.58489
2.10017 41.6981 1.17999 0.998066 32.6781 0.810139 1.46658 60.6703 4.0545 1.08678 44.3228 1.92838 1.32963 1.58489 2.51189
3.32855 27.7015 0.789286 0.728855 22.3805 0.718283 0.968721 39.1478 2.03086 0.871601 29.178 1.20051 0.885826 2.51189 3.98107
5.2754 16.1327 0.557142 0.380634 12.6332 0.575467 0.63184 22.4874 1.71634 0.153803 17.4349 0.615177 0.418259 3.98107 6.30957
8.36094 8.49078 0.413424 0.305785 6.16993 0.344426 0.467601 12.8846 1.21206 0.284188 9.30358 0.543041 0.294933 6.30957 10
