#Scale: 0.663123
#h: 0.680000
#Stellar mass range: 10^11.00 - 10^14.00 Msun
#Assumed pi_max: 80.000000 Mpc/h
#Assumed redshift errors: 1491.9 km/s
#Quenched Threshold: SSFR < 1e-11 / yr.
#All units for R_p and w_p(R_p) are Mpc/h.
#Bin_center(0) W_p(all)(1) Err+(2) Err-(3) W_p(SF)(4) Err+(5) Err-(6) W_p(Q)(7) Err+(8) Err-(9) W_p(SFxQ)(10) Err+(11) Err-(12) Bin_left_edge(13) Bin_right_edge(14) 
0.132512 920.114 74.2661 28.5196 251.024 33.0298 6.75929 1290.48 108.04 48.4449 535.969 39.1583 24.965 0.1 0.158489
0.210017 574.81 33.8623 25.1492 151.432 31.427 -2.49586 781.601 45.6379 31.5335 369.426 23.2026 30.7675 0.158489 0.251189
0.332855 349.48 12.015 15.4836 163.24 9.01099 22.5231 462.528 16.4243 19.2641 228.937 9.58556 13.7483 0.251189 0.398107
0.52754 213.676 7.28603 10.0397 100.659 5.51472 13.1541 276.927 9.88647 11.6734 147.843 4.97734 9.06563 0.398107 0.630957
0.836094 127.848 3.62614 5.03165 65.4647 5.60854 5.13778 158.809 6.0849 4.33719 96.9127 0.235573 6.86099 0.630957 1
1.32512 77.9331 1.12951 3.21669 49.4978 1.33162 6.49502 89.8274 2.58652 1.52254 66.8662 0.0627365 5.94622 1 1.58489
2.10017 54.8153 1.19861 1.59766 38.5687 -0.00573349 3.0887 62.7813 1.6093 1.23431 46.892 1.06266 2.27783 1.58489 2.51189
3.32855 39.1927 0.757996 1.0669 25.906 0.301355 1.95713 44.7991 0.911541 1.00694 33.955 0.69989 1.17872 2.51189 3.98107
5.2754 26.6674 0.729807 0.595007 17.1325 0.287039 1.09664 30.0196 1.12906 0.231699 23.8265 0.333807 1.13746 3.98107 6.30957
8.36094 17.086 0.457275 0.41464 11.3134 0.0824881 1.28302 19.4933 0.739376 0.221968 14.8493 0.13064 0.719314 6.30957 10
