#Scale: 0.506185
#h: 0.680000
#Stellar mass range: 10^10.00 - 10^10.50 Msun
#Assumed pi_max: 80.000000 Mpc/h
#Assumed redshift errors: 1954.5 km/s
#Quenched Threshold: SSFR < 1e-11 / yr.
#All units for R_p and w_p(R_p) are Mpc/h.
#Bin_center(0) W_p(all)(1) Err+(2) Err-(3) W_p(SF)(4) Err+(5) Err-(6) W_p(Q)(7) Err+(8) Err-(9) W_p(SFxQ)(10) Err+(11) Err-(12) Bin_left_edge(13) Bin_right_edge(14) 
0.132512 279.289 38.937 7.1022 177.413 16.8916 13.3709 685.168 145.326 0.344482 317.881 50.8219 5.53436 0.1 0.158489
0.210017 191.591 21.4315 3.74132 128.74 10.1995 7.52202 444.494 84.5559 2.57401 214.883 29.9273 4.35742 0.158489 0.251189
0.332855 127.385 11.0692 3.7004 90.6614 7.62336 4.74249 271.44 33.6538 10.4407 141.765 14.2858 4.23555 0.251189 0.398107
0.52754 88.5044 4.97994 2.49719 64.4844 4.0017 4.05661 164.814 17.8245 5.81287 101.625 5.86992 2.30763 0.398107 0.630957
0.836094 57.3532 2.64206 1.15045 43.9175 2.05318 1.81719 101.135 8.10679 1.38048 64.4649 2.93349 1.31314 0.630957 1
1.32512 39.1576 1.8492 0.421299 31.1514 2.01951 0.585119 63.4002 4.1721 2.02108 43.7787 1.96747 0.563408 1 1.58489
2.10017 28.2012 1.19866 0.259008 23.3571 1.1254 0.524035 42.8892 2.85015 0.133579 30.9929 1.24804 0.161297 1.58489 2.51189
3.32855 19.3465 0.876635 0.0247612 16.1177 0.858112 0.233949 28.4697 1.58642 0.187765 21.3457 1.01825 -0.0362759 2.51189 3.98107
5.2754 12.834 0.465828 0.0619793 10.9841 0.418363 0.244073 18.066 1.05434 0.183901 13.9784 0.612439 -0.013299 3.98107 6.30957
8.36094 8.00493 0.41434 0.0215631 6.96091 0.379002 0.144487 10.8544 0.854813 0.00254345 8.67239 0.473281 -0.04638 6.30957 10
