#Scale: 0.668185
#h: 0.680000
#Stellar mass range: 10^10.00 - 10^10.50 Msun
#Assumed pi_max: 80.000000 Mpc/h
#Assumed redshift errors: 1480.6 km/s
#Quenched Threshold: SSFR < 1e-11 / yr.
#All units for R_p and w_p(R_p) are Mpc/h.
#Bin_center(0) W_p(all)(1) Err+(2) Err-(3) W_p(SF)(4) Err+(5) Err-(6) W_p(Q)(7) Err+(8) Err-(9) W_p(SFxQ)(10) Err+(11) Err-(12) Bin_left_edge(13) Bin_right_edge(14) 
0.132512 257.742 23.7438 7.98354 157.763 9.65306 9.03389 613.273 86.3237 12.8489 280.354 28.5528 9.39392 0.1 0.158489
0.210017 205.136 12.8313 8.61519 125.564 8.5349 7.42992 455.718 42.8582 28.6987 230.75 16.1537 8.90036 0.158489 0.251189
0.332855 150.548 5.54567 8.21443 92.5293 5.02455 5.81154 338.327 20.4775 26.3446 168.033 6.72845 8.4218 0.251189 0.398107
0.52754 107.086 2.81274 5.56969 69.6003 3.43631 4.2574 224.451 14.3245 16.6305 119.312 2.88679 5.95306 0.398107 0.630957
0.836094 73.382 1.51445 3.30599 51.8393 1.73439 2.64176 139.704 6.31424 9.65269 80.6741 1.51348 3.55662 0.630957 1
1.32512 47.6623 1.07649 1.40379 36.1089 1.04543 1.03648 81.2705 3.05627 4.21848 52.0341 1.32942 1.38678 1 1.58489
2.10017 32.367 0.913418 0.447678 26.3173 0.736588 0.741768 48.4896 2.58831 0.702271 35.0033 1.05633 0.353867 1.58489 2.51189
3.32855 21.916 0.68943 0.218807 18.0666 0.507978 0.41379 32.6531 1.83261 0.235657 23.481 0.852736 0.173006 2.51189 3.98107
5.2754 15.2462 0.42419 0.108154 12.6744 0.376443 0.228691 21.5099 1.00838 0.177076 16.5058 0.488495 0.0681953 3.98107 6.30957
8.36094 9.78979 0.270185 0.126117 8.06663 0.15763 0.241066 14.0038 0.884194 0.091506 10.6297 0.336123 0.0579672 6.30957 10
