#Scale: 0.485935
#h: 0.680000
#Stellar mass range: 10^10.50 - 10^11.00 Msun
#Assumed pi_max: 80.000000 Mpc/h
#Assumed redshift errors: 2035.9 km/s
#Quenched Threshold: SSFR < 1e-11 / yr.
#All units for R_p and w_p(R_p) are Mpc/h.
#Bin_center(0) W_p(all)(1) Err+(2) Err-(3) W_p(SF)(4) Err+(5) Err-(6) W_p(Q)(7) Err+(8) Err-(9) W_p(SFxQ)(10) Err+(11) Err-(12) Bin_left_edge(13) Bin_right_edge(14) 
0.132512 468.556 44.5974 8.35242 250.527 13.3661 19.2377 967.692 123.845 8.33392 431.069 41.3564 20.1273 0.1 0.158489
0.210017 285.995 21.2295 8.478 146.345 7.31189 10.2623 583.59 60.9 12.6503 270.167 18.9225 15.8014 0.158489 0.251189
0.332855 171.868 10.2006 7.03313 99.8847 4.57313 7.76188 317.639 28.599 10.8549 166.533 9.60141 11.3948 0.251189 0.398107
0.52754 106.798 4.25918 4.23972 69.3703 2.12272 4.62616 175.593 9.9985 5.45935 106.614 4.13985 5.76953 0.398107 0.630957
0.836094 68.606 2.42408 1.87376 48.7289 1.45186 1.9064 101.143 4.90295 2.21647 69.9884 2.15392 2.5331 0.630957 1
1.32512 49.0495 1.64206 0.90416 36.0228 1.50845 0.882713 71.0001 2.36404 1.66352 49.7234 1.40639 1.36236 1 1.58489
2.10017 35.346 1.21758 0.448036 27.3543 0.964901 0.644669 48.8599 1.99537 0.405754 35.742 1.06888 0.709026 1.58489 2.51189
3.32855 24.1597 0.652897 0.355844 18.7411 0.500992 0.546974 32.1247 0.903965 0.401947 24.8714 0.649162 0.443748 2.51189 3.98107
5.2754 15.6181 0.447331 0.202661 12.0033 0.298265 0.406651 21.1416 0.657875 0.160406 16.0153 0.482225 0.248989 3.98107 6.30957
8.36094 8.96766 0.276568 0.100166 6.8832 0.210599 0.253939 12.0452 0.446667 0.000380516 9.2366 0.281798 0.169209 6.30957 10
