#Scale: 0.415060
#h: 0.680000
#Stellar mass range: 10^10.00 - 10^10.50 Msun
#Assumed pi_max: 80.000000 Mpc/h
#Assumed redshift errors: 2383.5 km/s
#Quenched Threshold: SSFR < 1e-11 / yr.
#All units for R_p and w_p(R_p) are Mpc/h.
#Bin_center(0) W_p(all)(1) Err+(2) Err-(3) W_p(SF)(4) Err+(5) Err-(6) W_p(Q)(7) Err+(8) Err-(9) W_p(SFxQ)(10) Err+(11) Err-(12) Bin_left_edge(13) Bin_right_edge(14) 
0.132512 339.706 44.1968 11.2625 206.247 24.2809 15.561 885.904 195.634 -3.97235 401.43 56.6415 20.3962 0.1 0.158489
0.210017 210.592 23.2989 7.00641 128.023 15.3261 6.36929 498.325 104.072 -5.59012 258.668 27.3841 15.6696 0.158489 0.251189
0.332855 133.366 10.2731 4.405 94.1933 6.06608 6.75349 278.174 54.7618 -1.9444 154.538 13.8861 5.07074 0.251189 0.398107
0.52754 84.1513 4.93475 2.59882 62.4816 4.49929 3.87609 170.034 19.7098 4.83397 94.7257 6.17598 2.5248 0.398107 0.630957
0.836094 56.8163 2.1625 1.20078 44.9277 1.14293 2.42268 103.31 8.24815 1.43433 62.7409 4.39399 0.562355 0.630957 1
1.32512 38.984 1.65314 0.609322 31.0692 1.8713 0.68301 62.5174 5.33719 -0.0612564 44.3899 1.48923 1.00129 1 1.58489
2.10017 27.6572 1.61403 0.168758 22.8226 1.21388 0.491774 44.1522 4.4519 0.222809 30.5415 2.31343 -0.0473785 1.58489 2.51189
3.32855 18.5832 1.10173 0.0509548 15.4425 1.01273 0.296251 28.1354 2.66886 -0.256237 20.6861 1.42355 -0.0308838 2.51189 3.98107
5.2754 11.5251 0.644784 0.0237789 9.53577 0.618878 0.185817 17.0804 1.22785 -0.206137 12.9547 0.8003 -0.0516119 3.98107 6.30957
8.36094 6.01351 0.340614 0.0719838 4.77458 0.195796 0.287705 9.81017 0.935517 -0.0602121 6.83736 0.601207 -0.0173216 6.30957 10
