#Scale: 0.842842
#h: 0.680000
#Stellar mass range: 10^11.00 - 10^14.00 Msun
#Assumed pi_max: 80.000000 Mpc/h
#Assumed redshift errors: 1173.8 km/s
#Quenched Threshold: SSFR < 1e-11 / yr.
#All units for R_p and w_p(R_p) are Mpc/h.
#Bin_center(0) W_p(all)(1) Err+(2) Err-(3) W_p(SF)(4) Err+(5) Err-(6) W_p(Q)(7) Err+(8) Err-(9) W_p(SFxQ)(10) Err+(11) Err-(12) Bin_left_edge(13) Bin_right_edge(14) 
0.132512 1048.61 53.327 57.0185 314.108 38.3431 25.2593 1368.11 38.9857 92.6875 607.428 58.9561 21.9669 0.1 0.158489
0.210017 681.377 33.5203 26.5297 202.141 42.6073 13.7265 898.959 28.5409 48.3149 377.881 33.6435 16.1963 0.158489 0.251189
0.332855 380.514 13.7488 14.135 152.044 1.25725 24.151 478.865 15.1835 22.1649 245.054 18.3533 14.1478 0.251189 0.398107
0.52754 241.84 7.42178 8.8069 61.0606 21.5243 -1.17925 301.689 8.34778 16.5935 165.492 8.61908 6.82112 0.398107 0.630957
0.836094 142.355 2.03094 6.73875 66.8592 4.00083 2.4218 170.747 2.43037 10.2907 104.641 1.93331 5.71025 0.630957 1
1.32512 86.3797 1.95168 2.06457 45.2927 10.6336 -2.55683 102.112 1.63696 3.64935 65.373 2.52582 2.35816 1 1.58489
2.10017 58.3808 0.588799 1.60976 37.7846 3.30851 1.81937 66.5414 0.545441 2.40527 47.3802 0.673122 1.37059 1.58489 2.51189
3.32855 41.1283 0.764652 0.768936 22.7374 2.29859 -0.0370941 47.7309 0.399887 1.80332 32.4796 1.71146 0.536703 2.51189 3.98107
5.2754 28.1794 0.789444 0.2752 15.5993 2.47491 0.0172367 32.3206 0.591549 0.848335 22.9072 1.17558 0.31579 3.98107 6.30957
8.36094 18.7425 0.451237 0.19998 11.7013 0.8841 0.397842 21.2336 0.457727 0.439463 15.4948 0.470588 0.167825 6.30957 10
