#Scale: 0.455560
#h: 0.680000
#Stellar mass range: 10^11.00 - 10^14.00 Msun
#Assumed pi_max: 80.000000 Mpc/h
#Assumed redshift errors: 2171.6 km/s
#Quenched Threshold: SSFR < 1e-11 / yr.
#All units for R_p and w_p(R_p) are Mpc/h.
#Bin_center(0) W_p(all)(1) Err+(2) Err-(3) W_p(SF)(4) Err+(5) Err-(6) W_p(Q)(7) Err+(8) Err-(9) W_p(SFxQ)(10) Err+(11) Err-(12) Bin_left_edge(13) Bin_right_edge(14) 
0.132512 987.647 114.996 32.4753 454.953 52.2618 15.5918 1735.72 221.353 80.7947 731.06 41.33 48.4382 0.1 0.158489
0.210017 565.843 77.4504 14.8771 204.554 36.2714 -3.65341 1036.76 120.278 48.2065 414.671 47.4934 21.9166 0.158489 0.251189
0.332855 301.316 29.1749 10.2463 132.664 11.7964 7.05393 489.535 51.4442 25.8459 250.564 15.548 11.9776 0.251189 0.398107
0.52754 161.733 13.8923 5.23347 73.911 5.03304 6.24144 254.073 19.0954 11.7515 138.861 9.92259 6.78592 0.398107 0.630957
0.836094 103.932 7.53303 3.17554 69.4496 5.12354 4.6224 139.42 13.1398 3.07948 95.4319 2.54859 6.19129 0.630957 1
1.32512 67.7938 4.34284 1.60861 40.6284 1.30511 4.01218 95.407 5.79061 2.81664 61.3143 3.42803 2.16971 1 1.58489
2.10017 50.4321 2.69835 1.14166 33.6632 1.70799 1.02499 65.3703 3.84692 1.39633 47.7535 2.03308 2.07692 1.58489 2.51189
3.32855 34.0681 1.86164 0.79285 23.3347 1.09118 0.535078 44.7448 2.52802 1.4374 31.6542 1.2684 0.865648 2.51189 3.98107
5.2754 21.9923 1.14038 0.602318 15.2957 0.48782 0.619199 28.4951 2.00619 0.987141 20.5857 0.640556 0.724041 3.98107 6.30957
8.36094 12.8068 0.62796 0.401487 9.37978 0.403977 0.399461 16.6701 0.713459 0.647678 11.7512 0.486121 0.407228 6.30957 10
