#Scale: 0.298623
#h: 0.680000
#Stellar mass range: 10^10.00 - 10^10.50 Msun
#Assumed pi_max: 80.000000 Mpc/h
#Assumed redshift errors: 3312.9 km/s
#Quenched Threshold: SSFR < 1e-11 / yr.
#All units for R_p and w_p(R_p) are Mpc/h.
#Bin_center(0) W_p(all)(1) Err+(2) Err-(3) W_p(SF)(4) Err+(5) Err-(6) W_p(Q)(7) Err+(8) Err-(9) W_p(SFxQ)(10) Err+(11) Err-(12) Bin_left_edge(13) Bin_right_edge(14) 
0.132512 582.391 46.4697 58.424 371.404 21.4373 36.2239 1812.81 494.069 90.7887 743.255 239.752 61.2794 0.1 0.158489
0.210017 298.12 25.1232 21.2448 201.549 23.6325 18.8754 769.741 323.49 4.79163 385.642 73.7326 23.0557 0.158489 0.251189
0.332855 161.166 7.6987 7.88667 124.074 6.55132 7.62808 320.182 106.096 -1.15897 198.139 30.6346 8.59987 0.251189 0.398107
0.52754 107.507 4.87369 3.69872 91.8487 4.91724 4.96109 186.063 70.632 1.38858 121.381 12.1568 2.05419 0.398107 0.630957
0.836094 67.6486 1.92403 2.32839 57.3022 3.24085 2.76128 108.775 29.8454 -5.01192 78.4523 4.69436 3.24325 0.630957 1
1.32512 48.5206 1.90363 1.07237 41.0983 3.36972 1.52147 81.9695 10.5592 0.998016 55.6722 3.5425 1.68528 1 1.58489
2.10017 34.6907 0.609821 1.38021 30.5932 0.211842 1.46676 51.6951 12.9257 -0.83297 38.8603 3.26085 0.91367 1.58489 2.51189
3.32855 22.0974 0.427315 0.753927 19.5446 0.515535 0.920317 30.9752 7.1737 0.861307 24.9555 1.74226 0.739002 2.51189 3.98107
5.2754 12.4519 0.23491 0.530897 11.0033 0.235903 0.628335 17.3491 3.51269 0.797329 14.0952 1.2835 0.328289 3.98107 6.30957
8.36094 5.46054 0.249903 0.270115 4.43811 0.109392 0.440993 9.46767 3.88652 -0.113738 6.53665 1.31802 0.164999 6.30957 10
