#Scale: 0.759310
#h: 0.680000
#Stellar mass range: 10^10.50 - 10^11.00 Msun
#Assumed pi_max: 80.000000 Mpc/h
#Assumed redshift errors: 1302.9 km/s
#Quenched Threshold: SSFR < 1e-11 / yr.
#All units for R_p and w_p(R_p) are Mpc/h.
#Bin_center(0) W_p(all)(1) Err+(2) Err-(3) W_p(SF)(4) Err+(5) Err-(6) W_p(Q)(7) Err+(8) Err-(9) W_p(SFxQ)(10) Err+(11) Err-(12) Bin_left_edge(13) Bin_right_edge(14) 
0.132512 408.295 23.8911 15.1825 211.065 5.1145 14.1205 703.021 47.8556 24.4476 332.647 16.1684 13.2178 0.1 0.158489
0.210017 287.551 13.0976 11.6355 145.44 4.53801 10.3366 485.819 31.5672 20.3923 240.893 6.70569 13.4755 0.158489 0.251189
0.332855 205.06 6.2838 9.5141 100.965 3.44224 4.88482 342.049 12.9142 19.6062 175.473 4.58833 10.1246 0.251189 0.398107
0.52754 142.104 2.20943 8.23303 77.5745 2.77451 4.19005 226.181 4.20068 16.306 124.233 0.864952 8.48647 0.398107 0.630957
0.836094 95.6319 0.785286 5.06228 58.0219 1.25244 3.41694 144.208 0.962799 10.0378 85.4542 0.839279 4.66231 0.630957 1
1.32512 60.0345 0.733101 2.22557 40.5556 0.878639 1.6818 81.7523 0.975342 4.16102 56.6796 0.715828 2.01617 1 1.58489
2.10017 39.3981 0.664711 0.928123 29.4737 0.508509 1.09626 49.8996 0.892605 1.0984 38.0027 0.595654 0.961884 1.58489 2.51189
3.32855 27.3356 0.574392 0.467394 20.9675 0.512505 0.472073 33.6363 0.894646 0.417751 26.684 0.409542 0.562649 2.51189 3.98107
5.2754 18.9549 0.381536 0.308479 15.3799 0.198014 0.542389 22.4684 0.616495 0.0735683 18.6022 0.375814 0.302679 3.98107 6.30957
8.36094 12.5275 0.156143 0.225737 10.0277 0.114204 0.428772 15.0596 0.276327 0.120335 12.239 0.160308 0.246504 6.30957 10
