#Scale: 0.308748
#h: 0.680000
#Stellar mass range: 10^10.00 - 10^10.50 Msun
#Assumed pi_max: 80.000000 Mpc/h
#Assumed redshift errors: 3204.3 km/s
#Quenched Threshold: SSFR < 1e-11 / yr.
#All units for R_p and w_p(R_p) are Mpc/h.
#Bin_center(0) W_p(all)(1) Err+(2) Err-(3) W_p(SF)(4) Err+(5) Err-(6) W_p(Q)(7) Err+(8) Err-(9) W_p(SFxQ)(10) Err+(11) Err-(12) Bin_left_edge(13) Bin_right_edge(14) 
0.132512 539.809 46.0526 51.1226 342.517 29.3156 28.6533 1307.26 482.845 34.309 737.319 139.636 66.8417 0.1 0.158489
0.210017 288.321 24.9036 17.1605 198.889 22.6521 17.8688 763.137 210.402 36.9278 358.098 69.0007 10.9203 0.158489 0.251189
0.332855 159.059 12.1228 6.18663 117.256 12.0856 8.60777 365.544 108.798 0.554077 194.08 31.1984 5.01866 0.251189 0.398107
0.52754 101.575 4.45925 3.06959 84.017 3.80447 3.78046 180.915 48.5281 -4.17542 117.434 14.6228 4.70086 0.398107 0.630957
0.836094 68.0173 1.88882 1.46081 56.1598 3.97443 1.99822 113.028 19.5629 0.245583 80.0613 4.1404 2.11869 0.630957 1
1.32512 49.1696 1.02801 1.72821 41.7228 2.08909 1.92618 80.0996 7.45599 3.15921 56.3188 2.50879 1.3229 1 1.58489
2.10017 33.8983 0.627682 0.95052 29.7826 1.12047 1.08334 52.8457 4.38605 2.20106 37.5612 2.12236 0.770649 1.58489 2.51189
3.32855 20.8567 0.195253 0.582083 18.1299 0.682508 0.270649 31.1056 1.93019 1.98396 23.6421 0.778679 0.847321 2.51189 3.98107
5.2754 11.5514 0.31135 0.264213 9.93388 0.259254 0.471909 16.9634 2.9594 0.0158043 13.3076 1.24921 0.0285835 3.98107 6.30957
8.36094 4.815 0.348312 0.0699325 3.79012 0.256832 0.283254 8.53205 2.88194 -0.487488 5.88285 1.05954 -0.0603886 6.30957 10
