#Scale: 0.812467
#h: 0.680000
#Stellar mass range: 10^10.50 - 10^11.00 Msun
#Assumed pi_max: 80.000000 Mpc/h
#Assumed redshift errors: 1217.7 km/s
#Quenched Threshold: SSFR < 1e-11 / yr.
#All units for R_p and w_p(R_p) are Mpc/h.
#Bin_center(0) W_p(all)(1) Err+(2) Err-(3) W_p(SF)(4) Err+(5) Err-(6) W_p(Q)(7) Err+(8) Err-(9) W_p(SFxQ)(10) Err+(11) Err-(12) Bin_left_edge(13) Bin_right_edge(14) 
0.132512 429.83 26.0921 15.3484 218.52 2.70041 18.4679 723.537 58.2371 22.868 350.984 16.1713 15.5291 0.1 0.158489
0.210017 301.438 10.8563 14.8549 144.592 3.17809 10.8573 519.169 21.8711 32.9321 243.073 7.74174 13.6258 0.158489 0.251189
0.332855 219.741 6.06526 11.2085 108.95 3.91595 5.15318 367.092 11.8699 26.7534 182.247 3.36961 11.2979 0.251189 0.398107
0.52754 150.49 2.61784 8.76605 76.3253 3.32686 3.17274 243.764 3.57541 20.3047 128.497 2.02991 7.89761 0.398107 0.630957
0.836094 100.169 0.698334 5.45218 57.0257 1.67501 2.75209 151.905 0.160721 11.9261 88.8377 0.740814 5.05998 0.630957 1
1.32512 62.9997 0.522827 2.31514 43.0248 0.979439 1.63726 86.1038 0.494606 4.44037 58.2449 0.35894 2.42344 1 1.58489
2.10017 40.8878 0.461609 0.992092 29.687 0.914555 0.539021 53.1686 -0.163677 2.51539 38.6121 0.578861 0.744858 1.58489 2.51189
3.32855 27.9913 0.434574 0.489506 21.1401 0.459114 0.404325 35.0538 0.32415 0.895409 26.8597 0.475315 0.475227 2.51189 3.98107
5.2754 19.4268 0.328674 0.260473 15.4789 0.289296 0.421455 23.2213 0.460629 0.286806 18.9341 0.287611 0.282887 3.98107 6.30957
8.36094 13.0449 0.132136 0.252581 10.0154 0.15154 0.315417 16.0485 0.138157 0.406041 12.6136 0.139044 0.250747 6.30957 10
