#Scale: 0.842842
#h: 0.680000
#Stellar mass range: 10^10.00 - 10^10.50 Msun
#Assumed pi_max: 80.000000 Mpc/h
#Assumed redshift errors: 1173.8 km/s
#Quenched Threshold: SSFR < 1e-11 / yr.
#All units for R_p and w_p(R_p) are Mpc/h.
#Bin_center(0) W_p(all)(1) Err+(2) Err-(3) W_p(SF)(4) Err+(5) Err-(6) W_p(Q)(7) Err+(8) Err-(9) W_p(SFxQ)(10) Err+(11) Err-(12) Bin_left_edge(13) Bin_right_edge(14) 
0.132512 296.668 18.942 12.7053 164.447 13.9853 5.21158 668.873 64.7828 19.8672 314.273 19.1549 11.4825 0.1 0.158489
0.210017 240.441 10.2422 13.501 142.928 7.87842 7.13454 533.28 32.43 35.7866 248.378 14.3348 10.7526 0.158489 0.251189
0.332855 188.378 5.19112 12.1413 111.361 6.33582 5.7672 405.178 16.9196 34.8085 198.636 5.99275 12.0047 0.251189 0.398107
0.52754 137.772 3.00804 8.11336 83.0929 4.64713 3.96861 286.272 9.05136 27.8822 146.546 3.92342 8.28899 0.398107 0.630957
0.836094 93.3399 1.48043 4.89865 60.1317 2.96439 2.2556 178.402 4.15968 16.6027 100.08 1.88506 5.1827 0.630957 1
1.32512 58.1894 0.920399 2.02613 42.1577 1.69281 1.08317 97.07 2.79459 6.08823 62.0445 1.12806 2.18439 1 1.58489
2.10017 37.1932 0.605175 0.798916 28.9202 0.968718 0.475307 55.9334 0.9016 2.45903 39.5471 0.897682 0.664227 1.58489 2.51189
3.32855 25.5722 0.526348 0.34734 20.6323 0.652782 0.268929 36.3262 0.88961 0.845085 27.098 0.728907 0.206026 2.51189 3.98107
5.2754 17.447 0.462736 0.117088 14.1892 0.484661 0.115274 24.3416 0.890059 0.132698 18.5075 0.55142 0.0584087 3.98107 6.30957
8.36094 11.6015 0.236875 0.12165 9.40589 0.270619 0.0935688 16.4026 0.341961 0.291042 12.2736 0.343474 0.059247 6.30957 10
