#Scale: 0.865623
#h: 0.680000
#Stellar mass range: 10^11.00 - 10^14.00 Msun
#Assumed pi_max: 80.000000 Mpc/h
#Assumed redshift errors: 1142.9 km/s
#Quenched Threshold: SSFR < 1e-11 / yr.
#All units for R_p and w_p(R_p) are Mpc/h.
#Bin_center(0) W_p(all)(1) Err+(2) Err-(3) W_p(SF)(4) Err+(5) Err-(6) W_p(Q)(7) Err+(8) Err-(9) W_p(SFxQ)(10) Err+(11) Err-(12) Bin_left_edge(13) Bin_right_edge(14) 
0.132512 1075.32 70.0981 38.5533 341.493 59.5184 7.59756 1432.8 37.7915 96.6078 565.781 106.286 -11.0764 0.1 0.158489
0.210017 639.659 26.7501 28.472 307.145 0.575317 62.9725 830.058 19.741 59.6132 359.818 42.2679 -0.486847 0.158489 0.251189
0.332855 412.849 13.3824 18.0083 144.048 19.2906 9.51865 522.564 15.5679 33.3348 262.794 13.0338 14.3534 0.251189 0.398107
0.52754 239.949 4.98329 10.7806 94.4586 16.338 -2.49542 299.325 4.04858 18.4701 158.745 6.93608 10.046 0.398107 0.630957
0.836094 146.966 2.66309 6.67958 72.094 4.53452 3.72826 176.597 2.90895 8.90042 106.77 1.93425 6.88729 0.630957 1
1.32512 87.9286 1.33939 2.43131 52.1681 3.15366 3.82149 102.903 0.185616 4.21491 67.3145 3.64838 2.13798 1 1.58489
2.10017 58.3362 0.793846 1.48676 38.691 2.90416 0.830212 65.8278 1.21291 1.61631 48.2771 0.0434341 2.5215 1.58489 2.51189
3.32855 41.3737 0.379269 1.04877 22.0092 2.09646 0.466387 47.2606 0.385147 1.43243 34.0388 0.526089 1.90071 2.51189 3.98107
5.2754 28.2155 0.870573 0.179411 17.1958 0.994528 0.818819 31.7579 1.06553 0.409319 23.7101 0.804592 0.535522 3.98107 6.30957
8.36094 18.8768 0.539124 0.183157 12.8283 0.425679 0.679242 21.0325 0.589043 0.397245 16.0396 0.531586 0.267843 6.30957 10
