#Scale: 0.389747
#h: 0.680000
#Stellar mass range: 10^10.00 - 10^10.50 Msun
#Assumed pi_max: 80.000000 Mpc/h
#Assumed redshift errors: 2538.4 km/s
#Quenched Threshold: SSFR < 1e-11 / yr.
#All units for R_p and w_p(R_p) are Mpc/h.
#Bin_center(0) W_p(all)(1) Err+(2) Err-(3) W_p(SF)(4) Err+(5) Err-(6) W_p(Q)(7) Err+(8) Err-(9) W_p(SFxQ)(10) Err+(11) Err-(12) Bin_left_edge(13) Bin_right_edge(14) 
0.132512 381.456 36.1955 22.5663 250.099 21.3986 21.471 913.792 190.45 6.20288 448.486 49.3948 29.707 0.1 0.158489
0.210017 224.684 18.3177 11.3806 144.195 10.6396 10.7891 501.628 115.521 -17.2726 275.277 23.5371 18.7528 0.158489 0.251189
0.332855 136.702 11.6334 3.21111 93.2166 7.87283 6.89917 308.711 43.871 6.47992 159.708 20.7353 1.5909 0.251189 0.398107
0.52754 86.241 5.07204 1.84896 67.4491 3.96357 3.20348 161.804 21.1382 2.81999 95.9447 8.11723 1.62508 0.398107 0.630957
0.836094 55.2628 2.70302 0.724308 44.3128 2.45849 1.49091 92.2496 8.54324 0.34552 62.2781 3.84644 0.757595 0.630957 1
1.32512 38.8948 2.12315 0.384708 31.2707 2.27407 0.587486 61.711 6.16986 0.342758 44.3468 2.47057 0.501614 1 1.58489
2.10017 27.8322 1.93968 0.0219955 22.8461 1.46494 0.538782 45.7568 5.97633 -1.01945 30.8172 2.79673 -0.273367 1.58489 2.51189
3.32855 18.6465 1.07901 0.0908928 15.5737 0.726099 0.558549 29.2758 2.86202 -0.28919 20.5667 1.85957 -0.330475 2.51189 3.98107
5.2754 11.1991 0.703307 -0.00292587 9.19913 0.700666 0.184137 16.7692 1.45281 -0.128029 12.709 0.875344 -0.0902634 3.98107 6.30957
8.36094 5.45872 0.432113 -0.0457473 4.07938 0.345142 0.125902 10.1762 1.67882 -0.305157 6.33089 0.673265 -0.152655 6.30957 10
