#Scale: 0.420122
#h: 0.680000
#Stellar mass range: 10^10.50 - 10^11.00 Msun
#Assumed pi_max: 80.000000 Mpc/h
#Assumed redshift errors: 2354.8 km/s
#Quenched Threshold: SSFR < 1e-11 / yr.
#All units for R_p and w_p(R_p) are Mpc/h.
#Bin_center(0) W_p(all)(1) Err+(2) Err-(3) W_p(SF)(4) Err+(5) Err-(6) W_p(Q)(7) Err+(8) Err-(9) W_p(SFxQ)(10) Err+(11) Err-(12) Bin_left_edge(13) Bin_right_edge(14) 
0.132512 552.21 43.4501 21.5375 288.35 19.0889 20.586 1237.24 144.39 29.5316 518.398 43.401 36.883 0.1 0.158489
0.210017 317.884 24.4492 12.642 173.71 10.0625 15.2229 648.109 81.4459 6.55151 314.217 22.0852 23.3153 0.158489 0.251189
0.332855 186.267 9.31775 8.487 104.252 5.02926 9.99675 362.204 27.1734 8.83014 188.185 8.61185 13.4954 0.251189 0.398107
0.52754 108.009 4.71716 4.58253 70.503 4.15211 5.06893 182.95 11.7453 4.93344 110.739 3.61687 6.35847 0.398107 0.630957
0.836094 69.9664 2.96225 1.42525 50.7192 2.13931 2.53587 110.548 5.01367 2.57679 70.6542 3.21134 1.85529 0.630957 1
1.32512 49.9529 2.27463 0.657738 37.9661 1.68172 1.10529 71.0262 3.98639 0.178192 51.7925 2.23151 1.34318 1 1.58489
2.10017 36.1875 1.58268 0.464359 27.7076 1.14172 1.19799 51.8141 3.53927 -0.214664 37.2474 1.41371 0.724995 1.58489 2.51189
3.32855 24.6 0.819317 0.300716 18.8215 0.723248 0.597883 33.8415 2.08226 0.0530701 25.795 0.619349 0.552292 2.51189 3.98107
5.2754 15.2751 0.546098 0.160349 11.8098 0.406215 0.452972 20.7685 0.776505 0.208958 16.0083 0.606899 0.138056 3.98107 6.30957
8.36094 8.16377 0.380486 0.0758057 5.97778 0.230052 0.199845 11.8746 0.881819 -0.00921059 8.54369 0.37606 0.130038 6.30957 10
