#Scale: 0.268248
#h: 0.680000
#Stellar mass range: 10^11.00 - 10^14.00 Msun
#Assumed pi_max: 80.000000 Mpc/h
#Assumed redshift errors: 3688.1 km/s
#Quenched Threshold: SSFR < 1e-11 / yr.
#All units for R_p and w_p(R_p) are Mpc/h.
#Bin_center(0) W_p(all)(1) Err+(2) Err-(3) W_p(SF)(4) Err+(5) Err-(6) W_p(Q)(7) Err+(8) Err-(9) W_p(SFxQ)(10) Err+(11) Err-(12) Bin_left_edge(13) Bin_right_edge(14) 
0.132512 2052.9 580.577 206.755 1054.35 476.987 285.028 6151.39 1666.29 1415.01 1985.6 674.903 184.872 0.1 0.158489
0.210017 894.103 112.006 32.4321 822.185 95.6581 208.434 1113.54 760.478 -103.531 908.582 112.616 45.1272 0.158489 0.251189
0.332855 325.708 93.8681 30.4596 220.508 51.6992 35.0551 528.385 331.062 107.065 377.074 102.027 47.5165 0.251189 0.398107
0.52754 209.555 22.7834 4.05135 129.962 23.8919 1.94554 450.1 4.30716 121.526 226.167 59.8138 3.34967 0.398107 0.630957
0.836094 159.477 13.2686 10.5052 129.985 11.7272 17.0253 260.832 30.5587 20.7087 162.513 21.0123 14.4613 0.630957 1
1.32512 126.207 12.6639 5.41973 107.175 7.78076 11.469 188.271 35.339 11.7944 129.019 16.908 6.2207 1 1.58489
2.10017 66.6574 12.3005 3.69338 45.0595 6.61609 3.0608 124.1 27.3356 12.4 73.1631 17.6116 7.73863 1.58489 2.51189
3.32855 44.6733 4.70521 1.63731 35.038 3.50638 2.98793 76.5776 11.9359 9.64881 45.9738 5.76741 1.41226 2.51189 3.98107
5.2754 25.2235 3.13692 1.59092 19.1497 3.39001 2.45773 42.1787 4.52473 4.36809 26.8487 3.40096 1.75344 3.98107 6.30957
8.36094 11.1939 2.43616 1.1061 9.31301 1.97711 2.43423 14.4492 6.80591 -1.18805 12.2062 2.42442 1.2213 6.30957 10
