#Scale: 0.354310
#h: 0.680000
#Stellar mass range: 10^10.00 - 10^10.50 Msun
#Assumed pi_max: 80.000000 Mpc/h
#Assumed redshift errors: 2792.2 km/s
#Quenched Threshold: SSFR < 1e-11 / yr.
#All units for R_p and w_p(R_p) are Mpc/h.
#Bin_center(0) W_p(all)(1) Err+(2) Err-(3) W_p(SF)(4) Err+(5) Err-(6) W_p(Q)(7) Err+(8) Err-(9) W_p(SFxQ)(10) Err+(11) Err-(12) Bin_left_edge(13) Bin_right_edge(14) 
0.132512 411.659 45.838 22.8736 249.276 34.9572 14.9496 1090.54 244.883 34.5884 508.95 71.5475 27.5718 0.1 0.158489
0.210017 244.284 22.7954 11.1228 155.801 17.2704 8.85007 608.661 137.637 0 298.315 35.7765 16.6362 0.158489 0.251189
0.332855 139.728 11.8801 3.4446 100.929 10.9963 3.22356 312.008 63.6578 -0.7966 161.13 18.8773 4.55551 0.251189 0.398107
0.52754 89.4418 5.63821 1.40965 69.081 6.80331 1.24815 168.332 27.0669 -0.480377 102.783 8.65488 2.05414 0.398107 0.630957
0.836094 58.069 3.1622 0.896961 47.4987 3.28728 0.846584 94.0976 17.2446 -0.894615 65.8979 4.71634 1.41936 0.630957 1
1.32512 39.9978 2.41169 0.480328 33.1632 2.53528 0.795185 65.0242 9.49062 0.503944 44.7428 3.73704 0.120159 1 1.58489
2.10017 29.3732 2.0375 -0.0525246 25.0312 1.98584 0.222223 44.7158 5.07309 -0.0802269 32.4897 3.19114 -0.34499 1.58489 2.51189
3.32855 19.5531 1.27999 0.0163155 16.4611 1.24672 0.0333252 28.0386 3.63779 -0.310646 22.2193 1.78044 0.106464 2.51189 3.98107
5.2754 11.02 0.755606 0.0420952 9.2107 0.817257 0.079134 16.5193 2.13283 0.0284081 12.4824 1.04551 -0.0205078 3.98107 6.30957
8.36094 4.8483 0.543578 -0.0640516 3.6242 0.504287 0.109406 9.00941 1.85794 -0.105619 5.75715 0.923633 -0.1229 6.30957 10
