#Observed stellar mass range: 11 < log10(M*/Msun) < 11.2
#Quenched threshold: Obs. SFR / Obs. SM < 1e-11 / yr
#SFHs in units of observed Msun/yr.
#True SFHs rescaled by average systematic offset of -0.00913601 dex to be consistent with average observed stellar mass in bin.
#See documentation for explanation of true vs. observed SFRs and SMs.
#Bestfit galaxies in bin: 9069
#Bestfit SF galaxies in bin: 3792
#Bestfit Q galaxies in bin: 5277
#Bestfit central galaxies in bin: 7336
#Bestfit satellite galaxies in bin: 1733
#Avg_scale_factor <SFH_all> Err+ Err- <SFH_SF> Err+ Err- <SFH_Q> Err+ Err- <SFH_Cen> Err+ Err- <SFH_Sat> Err+ Err- Scale_factor_begin Scale_factor_end
0.028936 2.30693e-06 0.00102106 2.30684e-06 2.6223e-09 0.000780877 2.62218e-09 3.96278e-06 0.00109325 3.96263e-06 2.85057e-06 0.000951672 2.85046e-06 5.61786e-09 0.00168453 5.61656e-09 0.000000 0.057873
0.059561 0.000613089 0.0134618 0.000604197 0.000232351 0.00635662 0.000230752 0.000886684 0.0198885 0.000874455 0.000626398 0.0128742 0.000618033 0.00055675 0.0186616 0.000550943 0.057873 0.061248
0.062373 0.00443285 0.0256075 0.00421497 0.00157016 0.00833978 0.00149359 0.00648995 0.0356546 0.00618139 0.00451755 0.0251582 0.00428971 0.00407429 0.0283405 0.00392395 0.061248 0.063498
0.064623 0.0130019 0.0457955 0.0114579 0.00525284 0.0195321 0.00458878 0.0185704 0.0605246 0.0166534 0.0134774 0.0433535 0.0119429 0.0109891 0.0552429 0.00966366 0.063498 0.065748
0.066873 0.0314411 0.0525064 0.0267821 0.0134656 0.021755 0.0114749 0.0443581 0.0710111 0.0384027 0.0330596 0.0512606 0.028426 0.0245895 0.0615619 0.0202732 0.065748 0.067998
0.069123 0.0663851 0.0482619 0.0559941 0.0286256 0.0222556 0.0236914 0.0935187 0.0697384 0.0790625 0.0698348 0.048813 0.0589981 0.051782 0.0565616 0.0422406 0.067998 0.070248
0.071373 0.109996 0.0612114 0.0857531 0.050483 0.0279032 0.0391212 0.152762 0.0747097 0.121249 0.114195 0.0600433 0.0896518 0.092223 0.0758658 0.0705717 0.070248 0.072498
0.073623 0.164187 0.0841917 0.118027 0.0732988 0.041773 0.0508573 0.229498 0.110958 0.164466 0.169445 0.0846556 0.121254 0.14193 0.0644919 0.101919 0.072498 0.074748
0.075873 0.22921 0.0756575 0.14508 0.107417 0.0465579 0.065693 0.316729 0.0952422 0.208221 0.23267 0.0764327 0.146895 0.214564 0.0585438 0.144246 0.074748 0.076998
0.078123 0.306519 0.0989656 0.178476 0.143473 0.0533204 0.0791034 0.423682 0.124415 0.2467 0.312834 0.107657 0.180477 0.279788 0.0824659 0.168822 0.076998 0.079248
0.080373 0.388016 0.145487 0.206633 0.176192 0.0677262 0.0854064 0.54023 0.167549 0.295787 0.391998 0.154812 0.209215 0.371158 0.112465 0.213037 0.079248 0.081498
0.082904 0.441987 0.130693 0.222474 0.201733 0.0742618 0.0949205 0.614632 0.158528 0.318509 0.451752 0.143128 0.224191 0.400653 0.0970937 0.214433 0.081498 0.084311
0.085998 0.644098 0.17138 0.286044 0.307516 0.109618 0.130328 0.885962 0.244054 0.404245 0.659372 0.181742 0.28917 0.579438 0.147257 0.27871 0.084311 0.087685
0.089373 0.834194 0.251341 0.329397 0.401981 0.129434 0.149216 1.14478 0.322637 0.457993 0.854154 0.278435 0.332092 0.749703 0.173438 0.333425 0.087685 0.091061
0.092748 1.06044 0.243604 0.372243 0.496506 0.144963 0.162668 1.46568 0.306226 0.530792 1.07944 0.259558 0.368563 0.98003 0.184477 0.408806 0.091061 0.094435
0.096123 1.30209 0.297303 0.411995 0.622169 0.165271 0.187691 1.79068 0.324877 0.594301 1.32475 0.324568 0.406546 1.20617 0.231654 0.454552 0.094435 0.097811
0.099498 1.62146 0.311096 0.458793 0.737034 0.199856 0.197688 2.25699 0.35028 0.70415 1.64963 0.321491 0.458801 1.50219 0.229587 0.526166 0.097811 0.101186
0.102873 1.95737 0.302247 0.504835 0.876787 0.216637 0.215668 2.73387 0.340604 0.802861 2.00329 0.340586 0.4948 1.76301 0.244802 0.587924 0.101186 0.104560
0.106248 2.32525 0.317036 0.599006 1.02723 0.234494 0.230492 3.25801 0.355002 0.944919 2.3627 0.34162 0.593337 2.16674 0.281177 0.705592 0.104560 0.107936
0.109623 2.7703 0.352167 0.708535 1.20399 0.256872 0.258045 3.89583 0.350759 1.06915 2.84798 0.367596 0.710226 2.44147 0.378782 0.727238 0.107936 0.111310
0.112998 3.22654 0.346374 0.797773 1.4052 0.256667 0.292667 4.53535 0.377087 1.24263 3.32373 0.388542 0.795703 2.81515 0.262559 0.826796 0.111310 0.114686
0.116373 3.70263 0.336384 0.894786 1.64313 0.253268 0.35976 5.18257 0.411913 1.42155 3.82852 0.370364 0.943446 3.16973 0.333253 0.849934 0.114686 0.118060
0.119748 4.14391 0.391217 0.932661 1.85516 0.259825 0.393933 5.78859 0.472593 1.50792 4.27502 0.428916 0.947714 3.58893 0.377057 0.955854 0.118060 0.121435
0.123123 4.69258 0.367279 1.095 2.12041 0.240854 0.458256 6.54092 0.503509 1.70052 4.8731 0.405495 1.10057 3.92843 0.43088 0.980866 0.121435 0.124811
0.126498 5.31088 0.354591 1.25664 2.37077 0.251843 0.550314 7.42361 0.454343 1.98796 5.52907 0.36443 1.31505 4.38725 0.397971 1.0693 0.124811 0.128185
