#Observed stellar mass range: 10.2 < log10(M*/Msun) < 10.4
#Quenched threshold: Obs. SFR / Obs. SM < 1e-11 / yr
#SFHs in units of observed Msun/yr.
#True SFHs rescaled by average systematic offset of 4.99707e-05 dex to be consistent with average observed stellar mass in bin.
#See documentation for explanation of true vs. observed SFRs and SMs.
#Bestfit galaxies in bin: 51697
#Bestfit SF galaxies in bin: 32618
#Bestfit Q galaxies in bin: 19079
#Bestfit central galaxies in bin: 35736
#Bestfit satellite galaxies in bin: 15961
#Avg_scale_factor <SFH_all> Err+ Err- <SFH_SF> Err+ Err- <SFH_Q> Err+ Err- <SFH_Cen> Err+ Err- <SFH_Sat> Err+ Err- Scale_factor_begin Scale_factor_end
0.028936 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000000 0.057873
0.059561 1.13611e-05 8.71686e-05 1.12175e-05 1.13381e-05 3.26256e-06 1.13159e-05 1.14005e-05 0.000225987 1.13628e-05 3.97096e-06 0.000111786 3.92145e-06 2.79073e-05 2.50679e-05 2.77629e-05 0.057873 0.061248
0.062373 7.06766e-05 0.000354894 6.80959e-05 7.24714e-05 0.00010297 7.17417e-05 6.76082e-05 0.000716549 6.44234e-05 5.41078e-05 0.000368939 5.25926e-05 0.000107774 0.000224406 0.000104303 0.061248 0.063498
0.064623 0.000264703 0.000411735 0.000245521 0.000208317 0.000226254 0.000197207 0.000361101 0.000809629 0.000327517 0.00020244 0.000394312 0.000182479 0.000404106 0.000442154 0.000378988 0.063498 0.065748
0.066873 0.000659827 0.000525926 0.000574412 0.000487998 0.000313982 0.000431615 0.000953589 0.000890997 0.000812662 0.00053667 0.000478258 0.00047279 0.00093557 0.000693725 0.000815096 0.065748 0.067998
0.069123 0.00166758 0.000862494 0.00137228 0.00120746 0.000579281 0.000995887 0.0024542 0.00139375 0.00201288 0.00143232 0.000646733 0.00118728 0.00219431 0.00130319 0.00179472 0.067998 0.070248
0.071373 0.0031104 0.00151823 0.00232293 0.0020202 0.000987301 0.00150671 0.00497422 0.00247807 0.00370462 0.00269113 0.00105991 0.00205281 0.00404913 0.00199354 0.00300103 0.070248 0.072498
0.073623 0.00514989 0.00240242 0.00339633 0.00313958 0.00185675 0.00209586 0.00858677 0.00381155 0.00573285 0.00421208 0.00229456 0.00277665 0.0072496 0.00331036 0.00490751 0.072498 0.074748
0.075873 0.00760611 0.00524628 0.00460953 0.00491371 0.00295849 0.00298955 0.0122091 0.00811317 0.00729149 0.00627026 0.0041812 0.00380987 0.010597 0.00668252 0.00646174 0.074748 0.076998
0.078123 0.0109698 0.00752176 0.00605407 0.00716357 0.00461459 0.00408472 0.0174769 0.0109208 0.00973063 0.00880498 0.00623042 0.00474862 0.0158166 0.0090619 0.00910447 0.076998 0.079248
0.080373 0.0144179 0.010121 0.00685767 0.00971964 0.0062626 0.00499035 0.0224503 0.0146831 0.0104467 0.0119153 0.00846961 0.00553526 0.0200212 0.0129853 0.00998053 0.079248 0.081498
0.082904 0.0186644 0.0113226 0.00878282 0.0125292 0.00840851 0.00583123 0.0291532 0.0172949 0.0134264 0.0151203 0.00918932 0.00702713 0.0265993 0.0147881 0.0128694 0.081498 0.084311
0.085998 0.0294097 0.0152074 0.0127985 0.0209665 0.0115182 0.00882755 0.0438444 0.0243718 0.0199048 0.0244338 0.013591 0.0108035 0.0405504 0.0201315 0.0182561 0.084311 0.087685
0.089373 0.0419213 0.0220611 0.0156221 0.030097 0.0172231 0.0111202 0.0621366 0.0310961 0.0241362 0.0352545 0.0194441 0.0133147 0.0568481 0.0261055 0.0218665 0.087685 0.091061
0.092748 0.0576397 0.0293986 0.0186613 0.0421075 0.0236935 0.0141607 0.084194 0.0400081 0.0285064 0.0492584 0.0270866 0.0169944 0.0764052 0.0341022 0.0262189 0.091061 0.094435
0.096123 0.0747272 0.0373994 0.0230052 0.0549651 0.0293163 0.0171145 0.108513 0.0492727 0.0353971 0.0644023 0.0334236 0.022471 0.0978443 0.042318 0.0300389 0.094435 0.097811
0.099498 0.0917587 0.0410011 0.029201 0.0677143 0.0334262 0.0205471 0.132866 0.0523997 0.0439954 0.0791948 0.0358753 0.0263915 0.119889 0.0475628 0.0371854 0.097811 0.101186
0.102873 0.11187 0.0448159 0.0340594 0.0821494 0.0387824 0.0227762 0.162681 0.0556889 0.0502478 0.0968554 0.0408354 0.0301657 0.145486 0.0484161 0.0445088 0.101186 0.104560
0.106248 0.132288 0.0482476 0.0355827 0.0972252 0.04322 0.0245502 0.192232 0.0605958 0.0553802 0.114692 0.0473685 0.0328095 0.171683 0.0539708 0.0475361 0.104560 0.107936
0.109623 0.155318 0.0499172 0.0378519 0.113877 0.0480436 0.0264695 0.226167 0.0602362 0.0585993 0.134554 0.0474389 0.0348431 0.201808 0.0573224 0.0493393 0.107936 0.111310
0.112998 0.178356 0.051649 0.0392109 0.13076 0.049673 0.0287524 0.259727 0.0634872 0.0603307 0.153956 0.0493582 0.0357754 0.232985 0.0582534 0.0540154 0.111310 0.114686
0.116373 0.201342 0.0564272 0.0411734 0.147719 0.0503179 0.0306884 0.293018 0.0717619 0.0606513 0.174429 0.0518302 0.0377812 0.2616 0.0633643 0.0530621 0.114686 0.118060
0.119748 0.225261 0.0600675 0.0419634 0.166014 0.0547358 0.0322755 0.326552 0.0746228 0.0638443 0.194159 0.0531209 0.0419599 0.294897 0.0652753 0.0539427 0.118060 0.121435
0.123123 0.248397 0.0615231 0.0421633 0.182317 0.0553614 0.0311502 0.361368 0.079692 0.0622242 0.21427 0.0545739 0.0440661 0.324803 0.0710764 0.0538496 0.121435 0.124811
0.126498 0.269259 0.0633554 0.0452265 0.19823 0.0562892 0.0297373 0.390692 0.0864045 0.0633987 0.234821 0.0580785 0.0443832 0.346365 0.0750582 0.0542005 0.124811 0.128185
0.129873 0.291957 0.0649237 0.0442816 0.215347 0.0585111 0.0292939 0.422931 0.0861293 0.065135 0.254399 0.0572992 0.0444448 0.376046 0.0802506 0.0581006 0.128185 0.131561
0.133248 0.315216 0.0670417 0.0456094 0.232865 0.0623391 0.0300759 0.456005 0.087361 0.072215 0.274179 0.0579823 0.0443259 0.407095 0.0834952 0.0624543 0.131561 0.134935
0.137045 0.338833 0.0708836 0.0479979 0.25118 0.0640863 0.0309022 0.488687 0.0938561 0.0752594 0.293932 0.0637634 0.0446301 0.439364 0.0837627 0.0644301 0.134935 0.139154
0.141685 0.38021 0.0697058 0.0529328 0.277206 0.0659489 0.0314555 0.556308 0.0912387 0.0910597 0.326204 0.0607906 0.0475133 0.501126 0.0759384 0.0731757 0.139154 0.144217
0.146748 0.41734 0.0697446 0.0557326 0.301998 0.0683542 0.0323859 0.614531 0.0896033 0.0986703 0.35648 0.0615358 0.0479028 0.553602 0.0735007 0.0843071 0.144217 0.149279
0.151810 0.452237 0.0660461 0.0604003 0.325633 0.0648851 0.0347837 0.668683 0.0775151 0.114194 0.384667 0.0618233 0.0523679 0.603523 0.0629245 0.0986079 0.149279 0.154342
0.156873 0.484773 0.0687622 0.0688638 0.347867 0.0628209 0.038537 0.71883 0.081087 0.128387 0.41109 0.0619567 0.0607328 0.649746 0.0725359 0.107495 0.154342 0.159404
