#Observed stellar mass range: 11 < log10(M*/Msun) < 11.2
#Quenched threshold: Obs. SFR / Obs. SM < 1e-11 / yr
#SFHs in units of observed Msun/yr.
#True SFHs rescaled by average systematic offset of 4.99707e-05 dex to be consistent with average observed stellar mass in bin.
#See documentation for explanation of true vs. observed SFRs and SMs.
#Bestfit galaxies in bin: 12018
#Bestfit SF galaxies in bin: 3335
#Bestfit Q galaxies in bin: 8683
#Bestfit central galaxies in bin: 9276
#Bestfit satellite galaxies in bin: 2742
#Avg_scale_factor <SFH_all> Err+ Err- <SFH_SF> Err+ Err- <SFH_Q> Err+ Err- <SFH_Cen> Err+ Err- <SFH_Sat> Err+ Err- Scale_factor_begin Scale_factor_end
0.028936 1.77481e-06 0.000821076 1.77473e-06 0 1.30428e-05 0 2.45649e-06 0.00108139 2.45639e-06 2.29942e-06 0.000512226 2.29932e-06 7.98703e-11 0.0014939 7.86068e-11 0.000000 0.057873
0.059561 0.000424473 0.00821669 0.000418612 0.000183673 0.00261452 0.000183001 0.000516961 0.0104541 0.000509498 0.000453016 0.00665229 0.000446963 0.000327917 0.0123417 0.000320925 0.057873 0.061248
0.062373 0.00293367 0.0139962 0.002803 0.00101027 0.0046329 0.000947562 0.00367242 0.0173089 0.00351181 0.00295951 0.0128766 0.0028338 0.00284627 0.0175496 0.00268622 0.061248 0.063498
0.064623 0.00867276 0.0279176 0.00782973 0.00404786 0.00622601 0.00371866 0.0104491 0.0337829 0.00943046 0.00854186 0.028147 0.00773193 0.00911559 0.0267544 0.00816395 0.063498 0.065748
0.066873 0.0224201 0.0342317 0.0194252 0.0111541 0.00887441 0.0098173 0.0267471 0.0423138 0.0232526 0.0221056 0.034135 0.0191928 0.0234838 0.0407295 0.0203074 0.065748 0.067998
0.069123 0.047443 0.0336584 0.0400994 0.024788 0.00905227 0.0214469 0.0561444 0.0402 0.0471866 0.0460228 0.0303582 0.0386455 0.0522476 0.0384881 0.0441401 0.067998 0.070248
0.071373 0.0792817 0.0348093 0.0608661 0.0439465 0.0113429 0.0354567 0.0928534 0.0410384 0.0713937 0.0773755 0.0313384 0.0607699 0.0857303 0.0466258 0.066469 0.070248 0.072498
0.073623 0.117112 0.0599303 0.0803929 0.0599362 0.0269382 0.0416846 0.139072 0.0645357 0.0961423 0.113213 0.0530133 0.0771927 0.130302 0.0745407 0.0915352 0.072498 0.074748
0.075873 0.166003 0.0714887 0.101196 0.085981 0.0311607 0.054513 0.196739 0.0784022 0.121624 0.160258 0.0619871 0.098352 0.185441 0.0933981 0.114505 0.074748 0.076998
0.078123 0.232021 0.0842767 0.132599 0.117061 0.0443311 0.0667138 0.276176 0.0955634 0.160517 0.226219 0.0869815 0.129302 0.251651 0.118251 0.143365 0.076998 0.079248
0.080373 0.291971 0.115737 0.157085 0.164651 0.0456745 0.0912909 0.340872 0.131814 0.180686 0.286834 0.105323 0.153366 0.309347 0.122381 0.163761 0.079248 0.081498
0.082904 0.331029 0.0974405 0.169355 0.172922 0.0664586 0.0887584 0.391755 0.112059 0.197702 0.32311 0.096746 0.162102 0.357818 0.13148 0.185617 0.081498 0.084311
0.085998 0.483201 0.132987 0.221455 0.252718 0.113824 0.115175 0.571726 0.151632 0.266912 0.477501 0.140571 0.222202 0.502483 0.168345 0.240325 0.084311 0.087685
0.089373 0.638437 0.189064 0.280013 0.346755 0.119322 0.137349 0.750468 0.194873 0.328866 0.633113 0.179204 0.273062 0.65645 0.210657 0.278488 0.087685 0.091061
0.092748 0.814737 0.234342 0.29489 0.457261 0.15085 0.158941 0.952039 0.258448 0.368242 0.801711 0.220835 0.289307 0.858807 0.261818 0.310087 0.091061 0.094435
0.096123 1.0336 0.249074 0.337117 0.597686 0.163411 0.18978 1.20103 0.251375 0.404647 1.02566 0.242415 0.324373 1.06046 0.26495 0.345294 0.094435 0.097811
0.099498 1.28466 0.271803 0.390407 0.725654 0.195503 0.206688 1.49937 0.288594 0.473518 1.27362 0.283184 0.379263 1.32201 0.314335 0.429345 0.097811 0.101186
0.102873 1.56735 0.29465 0.448875 0.890256 0.210472 0.235283 1.82741 0.301112 0.541607 1.55821 0.300399 0.439925 1.59824 0.309646 0.496243 0.101186 0.104560
