#Observed stellar mass range: 9.6 < log10(M*/Msun) < 9.8
#Quenched threshold: Obs. SFR / Obs. SM < 1e-11 / yr
#SFHs in units of observed Msun/yr.
#True SFHs rescaled by average systematic offset of -0.0162477 dex to be consistent with average observed stellar mass in bin.
#See documentation for explanation of true vs. observed SFRs and SMs.
#Bestfit galaxies in bin: 18680
#Bestfit SF galaxies in bin: 17608
#Bestfit Q galaxies in bin: 1072
#Bestfit central galaxies in bin: 15079
#Bestfit satellite galaxies in bin: 3601
#Avg_scale_factor <SFH_all> Err+ Err- <SFH_SF> Err+ Err- <SFH_Q> Err+ Err- <SFH_Cen> Err+ Err- <SFH_Sat> Err+ Err- Scale_factor_begin Scale_factor_end
0.028936 6.73104e-10 0.000103339 6.72912e-10 7.14083e-10 0.000108514 7.13886e-10 0 0 0 9.18156e-13 5.93933e-05 9.18145e-13 3.48785e-09 0.000251928 3.48772e-09 0.000000 0.057873
0.059561 0.000124105 0.00126914 0.000121552 0.000123983 0.00124051 0.000121429 0.000126106 0.00145352 0.000126106 7.945e-05 0.00107739 7.86586e-05 0.000311096 0.00188585 0.000304921 0.057873 0.061248
0.062373 0.000792964 0.00347459 0.000748067 0.000758269 0.00324659 0.000713691 0.00136285 0.00779833 0.00135298 0.000692098 0.00260762 0.000655413 0.00121534 0.00642707 0.00115471 0.061248 0.063498
0.064623 0.00281443 0.0055235 0.00254922 0.00263977 0.00554995 0.00237933 0.00568332 0.0140544 0.00524119 0.00243141 0.00553094 0.00217187 0.00441831 0.00709969 0.00409894 0.063498 0.065748
0.066873 0.00704063 0.0083059 0.00625225 0.00648469 0.0068014 0.00569921 0.0161721 0.0200406 0.0142314 0.00641531 0.00551419 0.00571063 0.00965912 0.0142224 0.00841082 0.065748 0.067998
0.069123 0.0140719 0.00847593 0.011772 0.0132715 0.00764238 0.0110976 0.027219 0.0234955 0.0223379 0.0124618 0.00669474 0.0104576 0.0208142 0.0150223 0.0174749 0.067998 0.070248
0.071373 0.0235628 0.0111603 0.0177943 0.022296 0.0110015 0.0170009 0.0443699 0.0456925 0.0318711 0.0217607 0.00838863 0.016739 0.031109 0.0262515 0.0232592 0.070248 0.072498
0.073623 0.0343584 0.0160128 0.02336 0.0323969 0.0152672 0.0216274 0.0665763 0.0559998 0.0438498 0.0311908 0.0121622 0.0212467 0.0476227 0.0268849 0.0320332 0.072498 0.074748
0.075873 0.0477368 0.0242246 0.0282233 0.0453064 0.0236438 0.0266606 0.0876561 0.0794935 0.0504851 0.0447442 0.0213781 0.0268132 0.0602681 0.0358128 0.0360921 0.074748 0.076998
0.078123 0.0628683 0.035369 0.0333131 0.0595236 0.0336066 0.0311804 0.117806 0.0899136 0.060158 0.0596632 0.0325732 0.0322608 0.0762892 0.0494982 0.038665 0.076998 0.079248
0.080373 0.0816828 0.0479663 0.040632 0.0774298 0.0456089 0.0380463 0.15154 0.104663 0.0665101 0.0782488 0.0441537 0.0397258 0.096063 0.0609962 0.0440809 0.079248 0.081498
0.082904 0.0986448 0.0456783 0.0469548 0.0939628 0.0433645 0.0431057 0.175549 0.144097 0.0627319 0.0931752 0.041062 0.0452611 0.121548 0.064108 0.0511647 0.081498 0.084311
0.085998 0.14039 0.0606965 0.0605932 0.132813 0.0558498 0.0544791 0.264846 0.185633 0.102369 0.131218 0.0549424 0.0585455 0.178798 0.0826856 0.071526 0.084311 0.087685
0.089373 0.182005 0.067696 0.0690767 0.170704 0.0679203 0.0641041 0.367633 0.177956 0.12721 0.169436 0.0599885 0.0673257 0.234638 0.0912796 0.08373 0.087685 0.091061
0.092748 0.227955 0.0818478 0.0722944 0.214564 0.0828715 0.0683487 0.447907 0.265515 0.107009 0.212886 0.0743768 0.0702039 0.291056 0.104118 0.0892603 0.091061 0.094435
0.096123 0.28293 0.094933 0.0832868 0.265461 0.097962 0.0841965 0.569851 0.290892 0.158074 0.266741 0.0924854 0.0779969 0.35072 0.102088 0.0978188 0.094435 0.097811
0.099498 0.350259 0.101157 0.0917852 0.331277 0.108816 0.0896717 0.66204 0.328077 0.155898 0.333489 0.0943251 0.0922379 0.420481 0.117766 0.0971976 0.097811 0.101186
0.102873 0.420763 0.114001 0.0950213 0.396606 0.120572 0.0961064 0.817557 0.366839 0.192251 0.398898 0.1013 0.0963998 0.512323 0.139225 0.0964582 0.101186 0.104560
0.106248 0.496069 0.113073 0.104352 0.469325 0.118775 0.104274 0.935361 0.550067 0.181638 0.467222 0.10081 0.112692 0.616866 0.147378 0.108476 0.104560 0.107936
0.109623 0.577689 0.111357 0.116475 0.547808 0.121144 0.11174 1.06851 0.762822 0.178312 0.54162 0.102981 0.123049 0.728728 0.144851 0.132709 0.107936 0.111310
0.112998 0.66972 0.107856 0.130252 0.634438 0.126654 0.126356 1.24923 0.822176 0.196644 0.627134 0.0998152 0.134398 0.848046 0.163536 0.137355 0.111310 0.114686
0.116373 0.761493 0.117608 0.135882 0.725044 0.132538 0.129516 1.36018 1.12084 0.133783 0.70527 0.106551 0.14038 0.996924 0.18528 0.156913 0.114686 0.118060
0.119748 0.853663 0.135646 0.142646 0.812428 0.148313 0.12151 1.53096 0.921945 0.180083 0.791559 0.11094 0.149492 1.11372 0.20662 0.148418 0.118060 0.121435
0.123123 0.961502 0.138837 0.150404 0.909979 0.167931 0.120017 1.80779 0.817256 0.31338 0.884227 0.132659 0.148659 1.28509 0.2126 0.187475 0.121435 0.124811
0.126498 1.06529 0.145533 0.153596 0.999448 0.178782 0.121775 2.14681 0.91717 0.41916 0.973351 0.128277 0.157604 1.45029 0.236854 0.192905 0.124811 0.128185
0.129873 1.16491 0.145293 0.157583 1.09744 0.177768 0.136519 2.27307 0.906756 0.376016 1.08089 0.124513 0.173115 1.51671 0.262805 0.161751 0.128185 0.131561
0.133248 1.26513 0.145164 0.16079 1.18978 0.176923 0.150105 2.50273 1.14496 0.344313 1.17986 0.128306 0.173645 1.62216 0.25209 0.188804 0.131561 0.134935
0.137045 1.36643 0.163872 0.179821 1.2885 0.182168 0.162455 2.64647 1.30533 0.296525 1.2716 0.132949 0.182497 1.76353 0.271333 0.2205 0.134935 0.139154
0.141685 1.53381 0.194608 0.201227 1.43201 0.214016 0.170356 3.20589 1.59523 0.459212 1.42974 0.149924 0.208916 1.96959 0.316046 0.224959 0.139154 0.144217
0.146748 1.71326 0.206344 0.217445 1.59807 0.22875 0.196416 3.60539 2.24252 0.534235 1.58344 0.175648 0.231786 2.25689 0.335977 0.253174 0.144217 0.149279
0.151810 1.8795 0.223658 0.231206 1.75246 0.240947 0.212395 3.96613 2.52171 0.600226 1.73929 0.184668 0.252477 2.46661 0.352834 0.275732 0.149279 0.154342
0.156873 2.07543 0.229293 0.267219 1.94243 0.245701 0.247145 4.26002 2.69206 0.544046 1.9135 0.187863 0.274932 2.75352 0.372226 0.339058 0.154342 0.159404
0.161935 2.29366 0.214366 0.302697 2.14388 0.254465 0.281165 4.75394 2.33802 0.750815 2.12122 0.197975 0.314762 3.01575 0.389992 0.409097 0.159404 0.164467
0.166998 2.47435 0.263886 0.352077 2.29941 0.269732 0.303453 5.34777 2.71034 0.949215 2.29891 0.223204 0.340037 3.20897 0.417439 0.458615 0.164467 0.169529
0.172060 2.67365 0.282718 0.402203 2.49108 0.260936 0.337358 5.67245 3.18664 0.900848 2.4996 0.257673 0.375279 3.40244 0.358522 0.544894 0.169529 0.174591
0.177123 2.9049 0.297942 0.456644 2.69814 0.273365 0.370743 6.30107 3.46863 0.965214 2.72006 0.271433 0.421985 3.6789 0.364431 0.657399 0.174591 0.179654
0.182185 3.09744 0.321737 0.478514 2.89587 0.312191 0.398526 6.40819 3.66625 0.994783 2.94529 0.273849 0.455446 3.73453 0.342975 0.655794 0.179654 0.184716
0.187248 3.33839 0.284406 0.543278 3.12428 0.355728 0.45249 6.85515 3.62787 1.17586 3.20483 0.268848 0.532326 3.89766 0.312206 0.693883 0.184716 0.189779
0.192310 3.56855 0.288235 0.615572 3.33567 0.368697 0.525171 7.39373 4.57697 1.51508 3.45555 0.266546 0.593387 4.04174 0.30654 0.792076 0.189779 0.194842
0.197373 3.77844 0.298356 0.685213 3.52487 0.391686 0.560187 7.94332 6.216 1.69343 3.68372 0.287259 0.656147 4.17505 0.311126 0.838732 0.194842 0.199904
0.202435 3.97788 0.330827 0.761608 3.72137 0.429125 0.612637 8.19126 5.06337 1.88405 3.91418 0.326675 0.726602 4.24464 0.328782 0.879919 0.199904 0.204967
0.207498 4.19654 0.359695 0.794921 3.92314 0.492806 0.656061 8.68732 5.60484 2.01999 4.17543 0.379716 0.779821 4.28496 0.365941 0.876321 0.204967 0.210029
0.212560 4.45377 0.419245 0.837583 4.1608 0.542997 0.697169 9.26603 5.26607 2.14374 4.46585 0.450214 0.841731 4.40321 0.410012 0.911235 0.210029 0.215091
0.217623 4.70819 0.488692 0.91606 4.42606 0.591376 0.785588 9.34219 5.76862 1.99864 4.76859 0.537329 0.907132 4.45524 0.461026 0.934455 0.215091 0.220154
0.222685 4.95225 0.555219 0.96439 4.66439 0.642638 0.823983 9.68031 6.50932 2.05181 5.08942 0.553465 0.977888 4.37785 0.575261 0.869197 0.220154 0.225217
0.227748 5.23191 0.584264 1.0518 4.95142 0.66077 0.917938 9.83895 8.13375 2.29588 5.38546 0.608514 1.06555 4.58888 0.483329 0.989557 0.225217 0.230279
0.232810 5.54187 0.638044 1.08899 5.29579 0.701493 0.994384 9.58387 9.57721 2.19764 5.77041 0.678596 1.10482 4.58489 0.587135 0.936491 0.230279 0.235342
0.237873 5.79567 0.721221 1.1376 5.64386 0.779446 1.0702 8.28919 8.24311 1.67847 6.07027 0.787807 1.15742 4.64576 0.658282 0.964833 0.235342 0.240404
0.242935 6.13161 0.83396 1.19044 6.06506 0.810408 1.13947 7.22478 7.65393 1.34509 6.44897 0.906784 1.19723 4.8027 0.639973 1.04327 0.240404 0.245467
0.247998 6.49715 0.952451 1.20643 6.51744 0.989608 1.21979 6.16388 6.93246 1.38867 6.86796 1.03842 1.2152 4.94442 0.66862 1.06957 0.245467 0.250529
0.253060 6.96023 1.11087 1.22058 7.12002 1.1182 1.34507 4.33557 5.70744 0.820491 7.42276 1.25564 1.27468 5.02343 0.727879 1.0465 0.250529 0.255592
