#Peak halo mass range: 12.375 < log10(Mh/Msun) < 12.625
#Quenched threshold: True SFR / True SM < 1e-11 / yr
#True SFHs in units of Msun/yr.
#See documentation for explanation of true vs. observed SFRs and SMs.
#Bestfit halos in bin: 22023
#Bestfit SF halos in bin: 8160
#Bestfit Q halos in bin: 13863
#Bestfit central halos in bin: 17321
#Bestfit satellite halos in bin: 4702
#Avg_scale_factor <SFH_all> Err+ Err- <SFH_SF> Err+ Err- <SFH_Q> Err+ Err- <SFH_Cen> Err+ Err- <SFH_Sat> Err+ Err- Scale_factor_begin Scale_factor_end
0.028936 3.27746e-08 0.000124764 3.27712e-08 8.81791e-08 4.08615e-05 8.81712e-08 1.6258e-10 0.000181202 1.62449e-10 4.16465e-08 2.16429e-05 4.16422e-08 9.28616e-11 0.000455172 9.27155e-11 0.000000 0.057873
0.059561 0.000110099 0.00167582 0.000107901 8.45811e-05 0.000716198 8.34191e-05 0.00012512 0.00223128 0.000122315 8.21486e-05 0.0012944 7.9802e-05 0.000213062 0.0021514 0.000210764 0.057873 0.061248
0.062373 0.00076528 0.00385186 0.000735064 0.000695237 0.00239097 0.000677099 0.000806508 0.00438304 0.000768247 0.000602751 0.00292249 0.00057796 0.00136399 0.00549673 0.00131473 0.061248 0.063498
0.064623 0.00270069 0.00646271 0.00247975 0.00213895 0.00410173 0.00195729 0.00303133 0.00778097 0.00276275 0.00216044 0.00567514 0.00196838 0.0046908 0.00925916 0.00430538 0.063498 0.065748
0.066873 0.00766979 0.00685992 0.00684102 0.00587801 0.00598128 0.00519256 0.00872447 0.00734913 0.0077937 0.00624139 0.00533839 0.00555418 0.0129317 0.0116154 0.0115227 0.065748 0.067998
0.069123 0.0167036 0.00816321 0.014205 0.012132 0.00751534 0.0101597 0.0193945 0.00926525 0.0166164 0.0136653 0.0073282 0.0115741 0.0278959 0.0110253 0.0240726 0.067998 0.070248
0.071373 0.0270888 0.0100709 0.0214791 0.0192571 0.0068207 0.0151204 0.0316987 0.0112327 0.0250103 0.022695 0.00888677 0.0177359 0.0432743 0.0129099 0.0347666 0.070248 0.072498
0.073623 0.0394847 0.0144323 0.0276741 0.0293973 0.0104062 0.0207467 0.0454223 0.0185931 0.031841 0.0337977 0.0109369 0.0237854 0.0604341 0.0254606 0.0428845 0.072498 0.074748
0.075873 0.0560878 0.0204987 0.0349104 0.0438371 0.0173081 0.0266599 0.0632989 0.0235673 0.0392001 0.0491172 0.0201588 0.0305927 0.0817661 0.0303523 0.0519791 0.074748 0.076998
0.078123 0.0785574 0.0334514 0.0445725 0.0571674 0.0288449 0.0308679 0.0911479 0.0360596 0.0521238 0.0680636 0.0328888 0.0383088 0.117214 0.0402895 0.0674457 0.076998 0.079248
0.080373 0.0986227 0.0489098 0.0497482 0.0738519 0.038159 0.0370619 0.113203 0.0541473 0.0575573 0.0864025 0.0438431 0.0429047 0.143639 0.0580359 0.0771791 0.079248 0.081498
0.082904 0.120995 0.0495977 0.0600554 0.090072 0.0384205 0.0457148 0.139196 0.0575414 0.0683048 0.106108 0.0453502 0.0532386 0.175835 0.0628808 0.0903089 0.081498 0.084311
0.085998 0.183615 0.0745601 0.0827739 0.138703 0.0559508 0.0626614 0.21005 0.085628 0.095104 0.15993 0.0696013 0.0716174 0.270862 0.0857043 0.12359 0.084311 0.087685
0.089373 0.238043 0.0904456 0.0983508 0.186394 0.0677501 0.0755649 0.268444 0.101332 0.11195 0.213055 0.078667 0.0858392 0.330092 0.0965711 0.142172 0.087685 0.091061
0.092748 0.312408 0.10182 0.10498 0.243003 0.0887997 0.0819936 0.353261 0.108018 0.119549 0.278921 0.0977122 0.0917152 0.435767 0.116756 0.156197 0.091061 0.094435
0.096123 0.392531 0.122126 0.11585 0.315795 0.105739 0.0971099 0.437699 0.134312 0.12676 0.354651 0.116163 0.105024 0.532071 0.133194 0.169607 0.094435 0.097811
0.099498 0.471999 0.126738 0.138293 0.378574 0.114674 0.12268 0.52699 0.140084 0.143128 0.422455 0.130895 0.13259 0.654506 0.143271 0.195696 0.097811 0.101186
0.102873 0.567262 0.151505 0.15833 0.463677 0.121706 0.138854 0.628234 0.165051 0.171268 0.512888 0.144922 0.143767 0.767562 0.163762 0.212984 0.101186 0.104560
0.106248 0.676858 0.158337 0.172435 0.553177 0.133541 0.152643 0.749659 0.179209 0.184468 0.612914 0.152925 0.159389 0.912412 0.176632 0.232441 0.104560 0.107936
0.109623 0.787976 0.159002 0.184685 0.646878 0.135703 0.170688 0.871028 0.176641 0.197198 0.707709 0.152525 0.177126 1.08366 0.165306 0.261433 0.107936 0.111310
0.112998 0.906208 0.161112 0.211004 0.750391 0.142764 0.175348 0.997925 0.175933 0.224394 0.820004 0.157848 0.191868 1.22376 0.164709 0.295991 0.111310 0.114686
0.116373 1.03023 0.168329 0.212684 0.860425 0.151336 0.179974 1.13019 0.179003 0.234328 0.934358 0.160082 0.198917 1.38342 0.180425 0.305537 0.114686 0.118060
0.119748 1.14639 0.168164 0.222102 0.932126 0.15838 0.182538 1.2725 0.202304 0.247404 1.03911 0.161825 0.207895 1.54157 0.206093 0.322367 0.118060 0.121435
0.123123 1.27702 0.191965 0.246461 1.03212 0.160149 0.19793 1.42118 0.212278 0.255471 1.15483 0.177509 0.218539 1.72716 0.228455 0.344022 0.121435 0.124811
0.126498 1.4069 0.197845 0.252832 1.1352 0.17705 0.206122 1.56683 0.22579 0.28196 1.2624 0.179241 0.230003 1.93922 0.234777 0.384103 0.124811 0.128185
0.129873 1.54333 0.19603 0.270058 1.23991 0.174834 0.22637 1.72193 0.225346 0.311882 1.36991 0.182208 0.236378 2.18215 0.231127 0.425407 0.128185 0.131561
0.133248 1.6873 0.192212 0.297199 1.34815 0.171209 0.247639 1.88692 0.232836 0.328575 1.48665 0.1816 0.253946 2.42642 0.24194 0.476573 0.131561 0.134935
0.137045 1.84495 0.200317 0.322741 1.47994 0.170322 0.270232 2.05981 0.232927 0.343794 1.61757 0.176936 0.279116 2.68258 0.237446 0.532122 0.134935 0.139154
0.141685 2.08195 0.223809 0.354832 1.62957 0.182592 0.297107 2.34823 0.272982 0.399388 1.7955 0.189353 0.315692 3.13716 0.215655 0.623968 0.139154 0.144217
0.146748 2.28173 0.252939 0.389 1.82281 0.18076 0.324365 2.55186 0.280033 0.423715 1.99057 0.210987 0.343637 3.3543 0.249815 0.658436 0.144217 0.149279
0.151810 2.52604 0.256153 0.436159 2.01882 0.206145 0.349171 2.82459 0.281787 0.469455 2.19769 0.236917 0.388955 3.73559 0.265017 0.738976 0.149279 0.154342
0.156873 2.79609 0.261098 0.498808 2.19621 0.215227 0.408324 3.14919 0.283392 0.555535 2.41863 0.228119 0.43452 4.18656 0.282826 0.834043 0.154342 0.159404
0.161935 3.06339 0.266915 0.564755 2.39594 0.223203 0.454061 3.45626 0.28961 0.630881 2.62534 0.243085 0.479851 4.67705 0.336442 0.91842 0.159404 0.164467
0.166998 3.28875 0.238082 0.628897 2.55728 0.223248 0.50789 3.7193 0.264709 0.699332 2.83963 0.245282 0.539274 4.94317 0.268093 1.03886 0.164467 0.169529
0.172060 3.54884 0.234912 0.679454 2.76106 0.212346 0.573673 4.01254 0.283351 0.754266 3.06935 0.220749 0.573445 5.31515 0.216542 1.13593 0.169529 0.174591
0.177123 3.86076 0.238935 0.725838 3.00812 0.173485 0.626234 4.36264 0.30591 0.819955 3.32484 0.195846 0.650059 5.83498 0.358009 1.24587 0.174591 0.179654
0.182185 4.22849 0.257309 0.862921 3.24651 0.150109 0.67689 4.80651 0.32566 0.951871 3.58742 0.234797 0.705177 6.59006 0.322432 1.44624 0.179654 0.184716
0.187248 4.57496 0.267508 0.941069 3.57397 0.165339 0.756271 5.16416 0.336658 1.0561 3.84744 0.21533 0.802722 7.25496 0.290744 1.60124 0.184716 0.189779
0.192310 4.95829 0.248734 0.99292 3.81601 0.154578 0.838975 5.63066 0.374198 1.14165 4.11526 0.225744 0.866099 8.06383 0.324858 1.88324 0.189779 0.194842
0.197373 5.36124 0.306995 1.11183 4.13156 0.213471 0.918324 6.08505 0.409475 1.20532 4.43686 0.224846 0.960602 8.76641 0.383489 1.99155 0.194842 0.199904
0.202435 5.72012 0.314198 1.23018 4.43565 0.21634 1.0063 6.47618 0.374452 1.35473 4.73425 0.236148 1.09255 9.35179 0.451174 2.12317 0.199904 0.204967
0.207498 6.08964 0.343991 1.32347 4.68636 0.194603 1.09553 6.91564 0.378286 1.4784 5.04188 0.272628 1.17201 9.94932 0.566108 2.31887 0.204967 0.210029
0.212560 6.47057 0.375167 1.42787 4.95465 0.190687 1.1572 7.36287 0.47644 1.61107 5.40448 0.320923 1.26638 10.3978 0.669121 2.40204 0.210029 0.215091
0.217623 6.959 0.434714 1.5655 5.23593 0.214995 1.18734 7.97323 0.527414 1.77062 5.802 0.297621 1.33364 11.2211 0.743083 2.59362 0.215091 0.220154
0.222685 7.35142 0.492707 1.59815 5.45636 0.257137 1.23956 8.46688 0.702962 1.77881 6.13358 0.395465 1.40233 11.8376 0.945669 2.56644 0.220154 0.225217
0.227748 7.86119 0.581018 1.63483 5.78249 0.344357 1.2896 9.08475 0.879487 1.79152 6.54949 0.449163 1.45789 12.6932 1.43438 2.5232 0.225217 0.230279
0.232810 8.3875 0.670686 1.74108 6.16224 0.49854 1.38642 9.69733 1.00774 1.951 6.98346 0.516378 1.54134 13.5597 1.60773 2.57982 0.230279 0.235342
0.237873 8.94703 0.818998 1.76404 6.5519 0.571969 1.45333 10.3568 1.18699 1.98212 7.46223 0.58875 1.64107 14.4167 1.7845 2.58584 0.235342 0.240404
0.242935 9.61499 0.938622 1.89477 6.92135 0.650536 1.49679 11.2005 1.38593 2.09817 7.99928 0.63528 1.70526 15.5669 2.08618 2.59207 0.240404 0.245467
0.247998 10.2337 1.08584 1.88162 7.39268 0.781641 1.54902 11.906 1.55691 2.07929 8.55114 0.743146 1.8407 16.432 2.49519 2.41881 0.245467 0.250529
0.253060 11.0489 1.26391 1.99936 8.00906 0.822626 1.64271 12.8382 1.82432 2.1977 9.24635 0.815416 1.9536 17.6889 2.70426 2.60442 0.250529 0.255592
0.258123 11.9042 1.4135 1.96047 8.75173 0.941546 1.71823 13.7598 2.02009 2.25511 10.0438 0.925074 2.01373 18.7576 2.91133 2.47834 0.255592 0.260654
0.263185 12.9971 1.649 2.01987 9.58931 1.07568 1.73904 15.0029 2.19031 2.37983 10.9268 1.02287 2.04392 20.6234 3.19463 2.73773 0.260654 0.265716
0.268248 13.907 1.88316 2.18079 10.5604 1.29528 1.90285 15.8768 2.47423 2.27124 11.7939 1.18518 2.18679 21.6911 3.64596 2.68781 0.265716 0.270779
0.273310 14.8263 2.1573 2.16854 11.4341 1.3587 1.97087 16.823 2.83909 2.26104 12.655 1.3713 2.18341 22.8247 3.86151 2.64707 0.270779 0.275842
0.278373 15.9328 2.43557 2.33696 12.3844 1.54993 2.21505 18.0214 3.016 2.48284 13.6127 1.65356 2.34975 24.4794 3.93657 3.05225 0.275842 0.280904
0.283435 16.9386 2.54327 2.51433 13.2684 1.7724 2.36614 19.0989 3.10869 2.75215 14.574 1.95494 2.46819 25.649 4.03615 3.32602 0.280904 0.285967
0.288498 18.0372 2.65805 2.69978 14.2317 1.92691 2.55146 20.2771 3.20508 2.96432 15.6689 2.25377 2.71134 26.7611 4.19609 3.45501 0.285967 0.291029
0.293560 19.0379 2.81019 2.92764 15.2601 2.01553 2.71871 21.2616 3.34275 3.19495 16.8133 2.39128 2.87509 27.2326 4.23635 3.47659 0.291029 0.296091
0.298623 20.2366 3.00449 3.16495 16.4259 2.16945 2.97837 22.4796 3.40224 3.39787 18.0568 2.49918 3.10155 28.2663 4.26113 3.63072 0.296091 0.301154
0.303685 21.2225 3.12717 3.2662 17.3194 2.20159 3.1961 23.5199 3.58358 3.52894 19.0504 2.54201 3.26265 29.2239 4.37966 3.72158 0.301154 0.306217
0.308748 22.3961 3.17253 3.47099 18.6186 2.06116 3.46421 24.6196 3.73098 3.61601 20.3656 2.46734 3.55832 29.876 4.57357 3.7249 0.306217 0.311279
0.313810 23.438 3.20218 3.6767 19.5786 2.02831 3.61685 25.7097 3.73252 3.76603 21.5134 2.46068 3.75896 30.5278 4.51867 3.85019 0.311279 0.316341
0.318873 24.6235 3.22154 3.81231 20.5883 2.05248 3.85042 26.9986 3.63565 3.92082 22.821 2.49099 3.92126 31.2635 4.62794 4.14192 0.316341 0.321404
0.323935 25.6802 3.14918 3.95095 22.0446 2.11811 4.13052 27.8202 3.65294 4.07907 23.9819 2.50363 3.97531 31.9364 4.57718 4.31586 0.321404 0.326466
0.328997 27.0317 3.18203 4.02191 23.7877 2.22627 4.30678 28.9411 3.84574 4.08503 25.4695 2.64945 4.20994 32.7863 4.4231 4.49163 0.326466 0.331528
0.334060 28.024 3.37104 4.27365 24.7726 2.17547 4.37572 29.9379 3.96004 4.30456 26.6757 2.76574 4.3846 32.9911 4.00502 4.85379 0.331528 0.336591
0.339122 28.7967 3.38885 4.50762 25.5848 2.21243 4.4554 30.6873 3.99357 4.63774 27.7439 3.03745 4.42932 32.6751 3.97763 4.90481 0.336591 0.341653
0.344185 29.2681 3.38921 4.5126 26.6838 2.09805 4.77898 30.7892 3.68734 4.7443 28.3294 3.14631 4.52802 32.7259 3.61514 5.01371 0.341653 0.346716
0.349247 29.7011 3.28061 4.75722 27.3303 2.38808 4.69474 31.0966 3.71529 4.77228 28.9415 3.18106 4.72665 32.4993 3.54602 4.86839 0.346716 0.351779
0.354310 29.8588 3.28686 4.82312 27.7243 2.47581 4.71618 31.1152 3.61345 4.85002 29.4435 3.06288 4.88182 31.3888 3.6082 4.81769 0.351779 0.356841
0.359372 29.9388 3.01738 4.9667 28.03 2.43676 4.85392 31.0623 3.17997 4.96772 29.6465 3.05378 4.965 31.0155 3.45406 4.88837 0.356841 0.361903
0.364435 30.0245 2.80152 4.96123 28.467 2.59114 4.97719 30.9413 3.15473 5.05474 29.8755 2.9506 5.19582 30.5733 3.24426 5.14691 0.361903 0.366966
0.369497 29.8014 2.76662 5.02615 28.5714 2.40506 5.07755 30.5253 3.03536 5.18268 29.9518 2.87818 5.22316 29.2472 3.42942 4.80639 0.366966 0.372028
0.374560 29.2429 2.86746 5.10053 28.1025 2.36088 4.97773 29.9142 2.91425 5.09039 29.4679 2.83059 5.10426 28.414 3.58233 4.74924 0.372028 0.377091
0.379622 28.9507 2.72631 4.96139 27.7822 2.58015 4.94375 29.6384 2.93963 5.17282 29.2346 2.80209 5.19753 27.9048 3.80583 4.84104 0.377091 0.382154
0.384685 28.2302 2.68563 5.0124 27.5883 2.58157 5.06962 28.6081 3.00369 5.0404 28.696 2.61444 5.09527 26.5143 3.86038 4.63693 0.382154 0.387216
0.389747 27.6594 2.8077 4.97222 27.2206 2.53119 5.00637 27.9176 3.19507 4.86968 28.4097 2.70969 5.1253 24.8952 3.84326 4.30543 0.387216 0.392278
0.394810 26.935 2.90141 4.8235 26.9679 2.48231 4.9995 26.9156 3.32415 4.84827 27.896 2.77565 5.07465 23.3952 3.92385 4.06648 0.392278 0.397341
0.399872 26.2958 3.1864 4.78283 26.5101 2.69686 4.90806 26.1696 3.57493 4.75091 27.4445 2.99598 5.02713 22.0641 3.70595 3.91718 0.397341 0.402404
0.404935 25.5114 3.40038 4.66204 25.7511 2.90876 4.76738 25.3704 3.70247 4.68216 26.7303 3.27136 4.95484 21.0215 3.70727 3.88564 0.402404 0.407466
0.409997 24.5471 3.54285 4.47072 25.2551 3.06555 4.72046 24.1303 3.89316 4.47845 25.8355 3.50344 4.69544 19.8008 3.76518 3.56141 0.407466 0.412529
0.415060 23.6972 3.65518 4.29561 24.798 3.20541 4.64581 23.0492 3.87883 4.28961 25.0391 3.59667 4.67548 18.7537 3.87335 3.29849 0.412529 0.417591
0.420122 22.7445 3.71942 4.22246 24.0839 3.39049 4.48385 21.956 3.96828 4.0187 24.1784 3.74607 4.42294 17.4621 3.89734 2.98185 0.417591 0.422653
0.425185 21.9757 3.94822 4.05313 23.5037 3.53734 4.37431 21.0763 4.13115 3.90071 23.455 3.98055 4.27037 16.5261 3.79343 2.78666 0.422653 0.427716
0.430247 21.0115 3.97264 3.87525 22.7323 3.637 4.28335 19.9986 4.08574 3.61289 22.4624 4.10055 4.1389 15.6665 3.57234 2.7213 0.427716 0.432779
0.435310 19.9804 4.02264 3.58514 21.8096 3.70176 4.08186 18.9037 4.05 3.32726 21.432 4.20038 3.88601 14.6331 3.46622 2.38763 0.432779 0.437841
0.440372 19.1603 4.01793 3.41841 21.238 3.85015 3.90237 17.9373 3.99411 3.15662 20.6228 4.29334 3.65539 13.7726 3.33841 2.2149 0.437841 0.442903
0.445435 18.3474 3.99184 3.23223 20.4055 3.94914 3.68772 17.136 3.89174 2.90869 19.7829 4.26598 3.43083 13.0594 3.29294 1.97795 0.442903 0.447966
0.450497 17.4023 3.9311 2.91292 19.6653 4.04844 3.48422 16.0702 3.78286 2.66418 18.8161 4.19996 3.23146 12.1941 3.27479 1.68167 0.447966 0.453029
0.455560 16.5652 3.89643 2.68468 18.9889 4.17078 3.21595 15.1385 3.59648 2.3948 17.9135 4.17709 2.92192 11.5984 3.28784 1.52338 0.453029 0.458091
0.460622 15.7068 3.81969 2.49263 18.1892 4.28607 2.97224 14.2456 3.44605 2.11477 17.0287 4.11321 2.69627 10.8375 3.14737 1.35703 0.458091 0.463154
0.465685 14.9066 3.64238 2.26896 17.4492 4.36769 2.72404 13.4099 3.32096 1.88212 16.1735 4.03215 2.4881 10.2395 2.95894 1.19788 0.463154 0.468216
0.470747 14.2546 3.56015 1.98264 16.8225 4.32213 2.52345 12.7431 3.26442 1.72367 15.3933 3.86045 2.26528 10.0601 2.93821 1.23013 0.468216 0.473278
0.475810 13.6181 3.42295 1.891 16.1405 4.18934 2.31999 12.1333 3.17755 1.65793 14.6856 3.74583 2.03607 9.68549 2.69992 1.25587 0.473278 0.478341
0.480872 12.8972 3.49396 1.71006 15.4505 4.07031 2.12135 11.3942 3.18301 1.55364 13.96 3.77918 1.7754 8.98205 2.56224 1.129 0.478341 0.483404
0.485935 12.3406 3.41989 1.61703 14.935 4.03491 2.10786 10.8135 3.10561 1.43165 13.3872 3.73114 1.68545 8.48515 2.38075 1.09557 0.483404 0.488466
0.490997 11.6526 3.32842 1.51995 14.2755 3.9342 1.93824 10.1087 2.92382 1.26982 12.6586 3.70067 1.54065 7.94669 2.1837 1.03798 0.488466 0.493528
0.496060 11.0678 3.19038 1.37615 13.771 3.78621 1.88385 9.4766 2.71826 1.10766 12.0765 3.5904 1.46824 7.35171 2.00534 0.983815 0.493528 0.498591
0.501122 10.5231 3.06628 1.22981 13.3388 3.625 1.8092 8.86567 2.62902 1.04364 11.5101 3.5018 1.35661 6.88711 1.84233 0.917241 0.498591 0.503654
0.506185 10.0074 2.89328 1.15971 12.7667 3.53634 1.70854 8.38325 2.4629 1.04033 10.9351 3.28516 1.18649 6.58995 1.71848 0.870789 0.503654 0.508716
0.511247 9.50489 2.68882 1.03428 12.3215 3.50196 1.62126 7.84697 2.32442 0.972079 10.3724 3.0166 1.14489 6.30903 1.67019 0.898799 0.508716 0.513778
0.516310 9.00421 2.51558 1.02804 11.9066 3.39315 1.55988 7.29582 2.14249 0.868531 9.86585 2.85495 1.0481 5.83012 1.57534 0.773884 0.513778 0.518841
