#Observed stellar mass range: 9 < log10(M*/Msun) < 9.2
#Quenched threshold: Obs. SFR / Obs. SM < 1e-11 / yr
#SFHs in units of observed Msun/yr.
#True SFHs rescaled by average systematic offset of -0.0162477 dex to be consistent with average observed stellar mass in bin.
#See documentation for explanation of true vs. observed SFRs and SMs.
#Bestfit galaxies in bin: 49547
#Bestfit SF galaxies in bin: 48912
#Bestfit Q galaxies in bin: 635
#Bestfit central galaxies in bin: 37677
#Bestfit satellite galaxies in bin: 11870
#Avg_scale_factor <SFH_all> Err+ Err- <SFH_SF> Err+ Err- <SFH_Q> Err+ Err- <SFH_Cen> Err+ Err- <SFH_Sat> Err+ Err- Scale_factor_begin Scale_factor_end
0.028936 2.37441e-08 1.54254e-05 2.37437e-08 2.40523e-08 1.33636e-05 2.40523e-08 0 0 0 3.11702e-08 2.91605e-06 3.11702e-08 1.72469e-10 3.95872e-05 1.72394e-10 0.000000 0.057873
0.059561 2.90137e-05 0.000233662 2.86675e-05 2.93868e-05 0.000226314 2.90405e-05 2.74106e-07 0.000601065 2.74106e-07 2.16758e-05 0.000125237 2.14486e-05 5.23053e-05 0.00055588 5.18719e-05 0.057873 0.061248
0.062373 0.000208493 0.000760327 0.000200011 0.000210367 0.000590021 0.000202136 6.41144e-05 0.00253982 6.41144e-05 0.000158805 0.000377465 0.000155082 0.000366209 0.00176579 0.000350708 0.061248 0.063498
0.064623 0.000709654 0.00138777 0.000655509 0.000703083 0.00132228 0.000649047 0.00121579 0.00734897 0.00121579 0.000579327 0.000789384 0.00054927 0.00112333 0.00387662 0.00102107 0.063498 0.065748
0.066873 0.00174233 0.0022545 0.00150408 0.00171389 0.00209002 0.00147781 0.00393337 0.0135833 0.00393337 0.0014299 0.00153333 0.00123682 0.00273403 0.00447004 0.00237105 0.065748 0.067998
0.069123 0.00400829 0.00241042 0.00332594 0.00395367 0.00206871 0.00327602 0.00821566 0.0216274 0.0080243 0.00322514 0.00169293 0.0026699 0.00649413 0.00441117 0.00538163 0.067998 0.070248
0.071373 0.00716076 0.00335255 0.00540625 0.00709869 0.00336235 0.00535452 0.0119417 0.0301782 0.00997153 0.0058903 0.00237172 0.00450611 0.0111934 0.00518738 0.0086254 0.070248 0.072498
0.073623 0.0109194 0.00544725 0.0073666 0.010792 0.00524655 0.00728063 0.0207297 0.0466429 0.0150778 0.00882838 0.0041121 0.00608107 0.0175564 0.00869039 0.0119343 0.072498 0.074748
0.075873 0.015403 0.00967638 0.00943649 0.0151877 0.00860881 0.00933436 0.0319894 0.0686438 0.0201111 0.0129294 0.00692475 0.00819103 0.0232546 0.0133024 0.0139166 0.074748 0.076998
0.078123 0.0212552 0.0153278 0.0117245 0.020833 0.0127164 0.0114813 0.0537753 0.083023 0.0298367 0.0174508 0.0125774 0.00970735 0.0333307 0.0196936 0.0182253 0.076998 0.079248
0.080373 0.0271388 0.0191358 0.0134867 0.0265579 0.0182356 0.013044 0.0718816 0.152902 0.0357106 0.0232756 0.0159005 0.0117749 0.039401 0.0265222 0.019239 0.079248 0.081498
0.082904 0.0333938 0.0213264 0.0163127 0.0328559 0.0203935 0.0157755 0.0748262 0.115337 0.0360808 0.0291521 0.0188372 0.0143279 0.0468575 0.0275856 0.0226076 0.081498 0.084311
0.085998 0.0502745 0.0289869 0.020525 0.0495947 0.0296667 0.0199654 0.102637 0.144854 0.0420496 0.0453842 0.0264118 0.019215 0.0657971 0.0378052 0.0264824 0.084311 0.087685
0.089373 0.0672927 0.0357038 0.0238491 0.0664617 0.036175 0.0252202 0.131309 0.168431 0.0401906 0.0607933 0.0316778 0.022017 0.0879229 0.0476718 0.0303368 0.087685 0.091061
0.092748 0.0871876 0.0443957 0.0273495 0.0863953 0.0439296 0.0311799 0.148218 0.167746 0.0325075 0.0796207 0.0382503 0.0275574 0.111206 0.0585527 0.0335842 0.091061 0.094435
0.096123 0.111091 0.0567382 0.03428 0.110178 0.0524982 0.0348243 0.181449 0.184017 0.0451904 0.101238 0.0498686 0.0329136 0.142366 0.0700048 0.0377844 0.094435 0.097811
0.099498 0.13452 0.0592087 0.0389657 0.133268 0.0571041 0.0416324 0.231017 0.191644 0.0572681 0.122825 0.0518569 0.0398379 0.171644 0.0798556 0.0427509 0.097811 0.101186
0.102873 0.161011 0.0644418 0.042259 0.159357 0.0630037 0.0425038 0.288431 0.257089 0.0610168 0.148467 0.0539605 0.0450995 0.200827 0.0895431 0.0413181 0.101186 0.104560
0.106248 0.188451 0.0682818 0.043272 0.186237 0.0674476 0.0451789 0.359013 0.302351 0.0888939 0.172759 0.0573524 0.0460927 0.238262 0.0961855 0.0431593 0.104560 0.107936
0.109623 0.218148 0.0705904 0.0461419 0.214623 0.0709816 0.0448481 0.489657 0.257625 0.142721 0.199174 0.0602461 0.0487117 0.278375 0.101499 0.0453503 0.107936 0.111310
0.112998 0.249631 0.0760848 0.0444978 0.246174 0.0725313 0.0458677 0.515988 0.307396 0.108369 0.227736 0.0597432 0.0495768 0.31913 0.105406 0.042183 0.111310 0.114686
0.116373 0.278038 0.0772165 0.0433742 0.274408 0.0775388 0.0493416 0.557592 0.41562 0.0918303 0.253761 0.0659356 0.0500136 0.355095 0.11201 0.0448099 0.114686 0.118060
0.119748 0.307621 0.0814538 0.0467985 0.303789 0.0799231 0.04996 0.602762 0.54305 0.0972711 0.279819 0.0656729 0.0497457 0.395868 0.116594 0.0427701 0.118060 0.121435
0.123123 0.341684 0.0830191 0.0465676 0.337419 0.0838259 0.0468055 0.670172 0.540096 0.0969511 0.308385 0.0664004 0.0505207 0.447378 0.120748 0.0452522 0.121435 0.124811
0.126498 0.372724 0.0823333 0.0447289 0.368058 0.084272 0.0449886 0.732096 0.391006 0.124561 0.336498 0.0648102 0.048689 0.487707 0.118245 0.0489258 0.124811 0.128185
0.129873 0.407137 0.086937 0.0435107 0.402248 0.0873726 0.0444719 0.783763 0.484454 0.130292 0.366119 0.0677422 0.0482881 0.537337 0.122391 0.0485759 0.128185 0.131561
0.133248 0.439611 0.090958 0.0458465 0.433906 0.0910012 0.0418845 0.879087 0.456196 0.170606 0.395552 0.0690344 0.0476046 0.579462 0.123275 0.0493848 0.131561 0.134935
0.137045 0.473561 0.0921465 0.0467942 0.467243 0.0958551 0.0429374 0.960298 0.546561 0.181078 0.426502 0.0731564 0.0471298 0.622936 0.131145 0.0495822 0.134935 0.139154
0.141685 0.515296 0.0989739 0.049369 0.508239 0.102418 0.0477305 1.05882 0.439789 0.252225 0.467657 0.0760338 0.0500543 0.666507 0.150436 0.0514026 0.139154 0.144217
0.146748 0.558588 0.106548 0.0544384 0.551489 0.106143 0.0526424 1.10536 0.510939 0.196293 0.511703 0.0793346 0.0576237 0.707406 0.162197 0.0515328 0.144217 0.149279
0.151810 0.605932 0.109265 0.0613655 0.597929 0.105064 0.0591291 1.22233 0.56481 0.262644 0.559247 0.0805158 0.0656593 0.754116 0.162159 0.062896 0.149279 0.154342
0.156873 0.648631 0.110168 0.0719771 0.639594 0.103603 0.0683147 1.34472 0.530457 0.336913 0.598876 0.0877217 0.0741976 0.806558 0.160032 0.073221 0.154342 0.159404
0.161935 0.696102 0.107989 0.0792649 0.685028 0.109707 0.0782562 1.5491 0.649867 0.360466 0.642579 0.0899482 0.0798856 0.86599 0.151329 0.0909146 0.159404 0.164467
