#Observed stellar mass range: 8.8 < log10(M*/Msun) < 9
#Quenched threshold: Obs. SFR / Obs. SM < 1e-11 / yr
#SFHs in units of observed Msun/yr.
#True SFHs rescaled by average systematic offset of -0.0184701 dex to be consistent with average observed stellar mass in bin.
#See documentation for explanation of true vs. observed SFRs and SMs.
#Bestfit galaxies in bin: 34640
#Bestfit SF galaxies in bin: 34615
#Bestfit Q galaxies in bin: 25
#Bestfit central galaxies in bin: 28510
#Bestfit satellite galaxies in bin: 6130
#Avg_scale_factor <SFH_all> Err+ Err- <SFH_SF> Err+ Err- <SFH_Q> Err+ Err- <SFH_Cen> Err+ Err- <SFH_Sat> Err+ Err- Scale_factor_begin Scale_factor_end
0.141685 0.923929 0.125392 0.119695 0.923244 0.107913 0.130644 1.87264 0.596471 1.87264 0.900788 0.121441 0.119525 1.03156 0.15091 0.137192 0.139154 0.144217
0.146748 1.01356 0.131951 0.138668 1.01228 0.11421 0.146176 2.78245 0.635976 2.78245 1.00455 0.127307 0.138452 1.05547 0.149724 0.139663 0.144217 0.149279
0.151810 1.10867 0.136099 0.152792 1.10728 0.115025 0.163522 3.02671 1.24342 3.02671 1.10711 0.13757 0.151927 1.1159 0.142936 0.174231 0.149279 0.154342
0.156873 1.1937 0.132297 0.183134 1.19187 0.115792 0.190711 3.73528 0.90547 3.73528 1.20273 0.133756 0.176501 1.15172 0.121344 0.204679 0.154342 0.159404
0.161935 1.28198 0.143274 0.211896 1.28008 0.142842 0.213126 3.92133 0.439061 3.92133 1.30493 0.154215 0.208251 1.17526 0.118306 0.226997 0.159404 0.164467
0.166998 1.37173 0.152253 0.24135 1.37012 0.151088 0.239713 3.60167 -0.0395133 3.60167 1.40962 0.165462 0.239917 1.19549 0.118428 0.254747 0.164467 0.169529
0.172060 1.44994 0.167787 0.276968 1.4491 0.16877 0.276593 2.61221 -0.0734502 2.61221 1.51371 0.18192 0.272422 1.15337 0.10193 0.264401 0.169529 0.174591
0.177123 1.55891 0.180475 0.3224 1.55895 0.215327 0.32291 1.51361 0.555713 1.51361 1.6482 0.203774 0.325694 1.14363 0.104704 0.279189 0.174591 0.179654
0.182185 1.69344 0.201155 0.388073 1.69399 0.26055 0.388587 0.929974 0.638437 0.929974 1.8156 0.226872 0.401761 1.12525 0.100649 0.304247 0.179654 0.184716
0.187248 1.87492 0.217544 0.470979 1.87627 0.30082 0.471372 0.00218046 0.000833602 0.00218046 2.0321 0.252168 0.499305 1.14387 0.105708 0.324994 0.184716 0.189779
0.192310 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.189779 0.194842
0.197373 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.194842 0.199904
0.202435 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.199904 0.204967
0.207498 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.204967 0.210029
0.212560 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.210029 0.215091
0.217623 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.215091 0.220154
0.222685 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.220154 0.225217
0.227748 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.225217 0.230279
0.232810 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.230279 0.235342
0.237873 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.235342 0.240404
0.242935 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.240404 0.245467
0.247998 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.245467 0.250529
0.253060 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.250529 0.255592
0.258123 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.255592 0.260654
0.263185 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.260654 0.265716
0.268248 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.265716 0.270779
0.273310 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.270779 0.275842
0.278373 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.275842 0.280904
0.283435 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.280904 0.285967
0.288498 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.285967 0.291029
0.293560 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.291029 0.296091
0.298623 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.296091 0.301154
0.303685 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.301154 0.306217
0.308748 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.306217 0.311279
0.313810 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.311279 0.316341
0.318873 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.316341 0.321404
0.323935 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.321404 0.326466
0.328997 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.326466 0.331528
0.334060 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.331528 0.336591
0.339122 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.336591 0.341653
0.344185 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.341653 0.346716
0.349247 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.346716 0.351779
0.354310 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.351779 0.356841
0.359372 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.356841 0.361903
