#Peak halo mass range: 13.625 < log10(Mh/Msun) < 13.875
#Quenched threshold: True SFR / True SM < 1e-11 / yr
#True SFHs in units of Msun/yr.
#See documentation for explanation of true vs. observed SFRs and SMs.
#Bestfit halos in bin: 291
#Bestfit SF halos in bin: 8
#Bestfit Q halos in bin: 283
#Bestfit central halos in bin: 269
#Bestfit satellite halos in bin: 22
#Avg_scale_factor <SFH_all> Err+ Err- <SFH_SF> Err+ Err- <SFH_Q> Err+ Err- <SFH_Cen> Err+ Err- <SFH_Sat> Err+ Err- Scale_factor_begin Scale_factor_end
0.028936 2.07388e-09 0.0119328 2.07178e-09 0 0 0 2.13251e-09 0.0123575 2.13036e-09 2.24349e-09 0.0129087 2.24122e-09 0 0 0 0.000000 0.057873
0.059561 0.00712291 0.133964 0.0070497 7.01898e-07 0.0867708 6.9339e-07 0.00732425 0.135163 0.00724923 0.00710867 0.144673 0.00703057 0.00729711 -0.00295117 0.0072914 0.057873 0.061248
0.062373 0.0323827 0.216447 0.0306261 0.0408965 0.305525 0.0407954 0.032142 0.216905 0.0303489 0.0309901 0.233156 0.0290959 0.0494107 -0.00175609 0.0493366 0.061248 0.063498
0.064623 0.109157 0.420168 0.0990981 0.0750813 0.439756 0.0661007 0.11012 0.415042 0.100042 0.113821 0.453357 0.103301 0.0521246 0.0173335 0.0503801 0.063498 0.065748
0.066873 0.247724 0.934027 0.209128 0.175588 1.05086 0.151261 0.249764 0.944321 0.210917 0.254401 1.0202 0.214887 0.166091 0.0755131 0.152846 0.065748 0.067998
0.069123 0.523263 0.900383 0.424349 0.46998 1.94798 0.388653 0.524769 0.88186 0.428059 0.54074 0.954176 0.437868 0.30956 0.325691 0.264667 0.067998 0.070248
0.071373 0.80261 0.559719 0.61735 0.721537 1.63989 0.53827 0.804902 0.540385 0.62021 0.824835 0.579841 0.637062 0.530862 0.26507 0.42647 0.070248 0.072498
0.073623 1.13663 0.706054 0.801936 1.09299 0.697293 0.846978 1.13786 0.696344 0.804165 1.16658 0.754963 0.818887 0.770338 0.238802 0.566809 0.072498 0.074748
0.075873 1.68533 1.06891 1.07929 1.65853 0.0722272 1.23613 1.68609 1.08328 1.07398 1.73765 1.09836 1.11381 1.04556 0.369515 0.714981 0.074748 0.076998
0.078123 2.21893 0.92191 1.29837 1.70065 0.226394 1.13209 2.23358 0.928409 1.30793 2.28592 0.96014 1.33409 1.39983 0.380204 0.86669 0.076998 0.079248
